date,total,accept,badge,comment,post,review,revision,suggest
1218300503,0,0,0,0,0,0,0,0
1218905303,0,0,0,0,0,0,0,0
1219510103,0,0,0,0,0,0,0,0
1220114903,0,0,0,0,0,0,0,0
1220719703,0,0,0,0,0,0,0,0
1221324503,0,0,0,0,0,0,0,0
1221929303,0,0,0,0,0,0,0,0
1222534103,0,0,0,0,0,0,0,0
1223138903,0,0,0,0,0,0,0,0
1223743703,0,0,0,0,0,0,0,0
1224348503,0,0,0,0,0,0,0,0
1224953303,0,0,0,0,0,0,0,0
1225558103,0,0,0,0,0,0,0,0
1226162903,0,0,0,0,0,0,0,0
1226767703,0,0,0,0,0,0,0,0
1227372503,0,0,0,0,0,0,0,0
1227977303,0,0,0,0,0,0,0,0
1228582103,0,0,0,0,0,0,0,0
1229186903,0,0,0,0,0,0,0,0
1229791703,0,0,0,0,0,0,0,0
1230396503,0,0,0,0,0,0,0,0
1231001303,0,0,0,0,0,0,0,0
1231606103,0,0,0,0,0,0,0,0
1232210903,0,0,0,0,0,0,0,0
1232815703,0,0,0,0,0,0,0,0
1233420503,0,0,0,0,0,0,0,0
1234025303,0,0,0,0,0,0,0,0
1234630103,0,0,0,0,0,0,0,0
1235234903,0,0,0,0,0,0,0,0
1235839703,0,0,0,0,0,0,0,0
1236444503,0,0,0,0,0,0,0,0
1237049303,0,0,0,0,0,0,0,0
1237654103,0,0,0,0,0,0,0,0
1238258903,0,0,0,0,0,0,0,0
1238863703,0,0,0,0,0,0,0,0
1239468503,0,0,0,0,0,0,0,0
1240073303,0,0,0,0,0,0,0,0
1240678103,0,0,0,0,0,0,0,0
1241282903,0,0,0,0,0,0,0,0
1241887703,0,0,0,0,0,0,0,0
1242492503,0,0,0,0,0,0,0,0
1243097303,6,0,3,1,1,0,1,0
1243702103,0,0,0,0,0,0,0,0
1244306903,0,0,0,0,0,0,0,0
1244911703,0,0,0,0,0,0,0,0
1245516503,0,0,0,0,0,0,0,0
1246121303,0,0,0,0,0,0,0,0
1246726103,0,0,0,0,0,0,0,0
1247330903,0,0,0,0,0,0,0,0
1247935703,0,0,0,0,0,0,0,0
1248540503,0,0,0,0,0,0,0,0
1249145303,0,0,0,0,0,0,0,0
1249750103,0,0,0,0,0,0,0,0
1250354903,0,0,0,0,0,0,0,0
1250959703,0,0,0,0,0,0,0,0
1251564503,0,0,0,0,0,0,0,0
1252169303,0,0,0,0,0,0,0,0
1252774103,0,0,0,0,0,0,0,0
1253378903,0,0,0,0,0,0,0,0
1253983703,0,0,0,0,0,0,0,0
1254588503,1,0,1,0,0,0,0,0
1255193303,1,1,0,0,0,0,0,0
1255798103,0,0,0,0,0,0,0,0
1256402903,0,0,0,0,0,0,0,0
1257007703,0,0,0,0,0,0,0,0
1257612503,11,0,1,3,7,0,0,0
1258217303,30,0,3,13,13,0,1,0
1258822103,35,0,0,14,20,0,1,0
1259426903,18,0,2,5,10,0,1,0
1260031703,19,0,0,5,14,0,0,0
1260636503,38,0,0,14,20,0,4,0
1261241303,26,0,1,8,15,0,2,0
1261846103,16,0,0,7,8,0,1,0
1262450903,10,0,2,2,5,0,1,0
1263055703,20,0,0,8,12,0,0,0
1263660503,9,0,0,3,5,0,1,0
1264265303,30,0,0,12,15,0,3,0
1264870103,23,0,0,13,8,0,2,0
1265474903,39,0,0,15,16,0,8,0
1266079703,17,0,0,4,10,0,3,0
1266684503,30,0,1,17,10,0,2,0
1267289303,31,0,0,10,18,0,3,0
1267894103,45,0,1,24,14,0,6,0
1268498903,36,0,1,13,16,0,6,0
1269103703,34,0,0,14,13,0,7,0
1269708503,37,0,0,16,19,0,2,0
1270313303,29,0,2,16,8,0,3,0
1270918103,45,0,1,23,14,0,7,0
1271522903,34,0,0,19,12,0,3,0
1272127703,22,0,0,10,10,0,2,0
1272732503,33,0,0,21,10,0,2,0
1273337303,32,0,0,18,10,0,4,0
1273942103,11,0,0,5,4,0,2,0
1274546903,30,0,3,12,12,0,3,0
1275151703,50,0,2,21,20,0,7,0
1275756503,34,0,1,20,9,0,4,0
1276361303,21,0,0,12,8,0,1,0
1276966103,26,0,0,13,8,0,5,0
1277570903,27,0,1,9,11,0,6,0
1278175703,34,0,0,20,8,0,6,0
1278780503,24,0,1,12,8,0,3,0
1279385303,27,0,1,14,8,0,4,0
1279990103,24,0,0,14,7,0,3,0
1280594903,16,0,0,7,7,0,2,0
1281199703,31,0,0,14,12,0,5,0
1281804503,8,0,0,6,2,0,0,0
1282409303,16,0,0,7,6,0,3,0
1283014103,5,0,0,3,1,0,1,0
1283618903,15,0,0,7,6,0,2,0
1284223703,32,0,0,21,6,0,5,0
1284828503,27,0,2,9,11,0,5,0
1285433303,20,0,0,10,5,0,5,0
1286038103,59,0,1,23,18,0,17,0
1286642903,12,0,0,6,6,0,0,0
1287247703,12,0,0,2,5,0,5,0
1287852503,53,0,3,19,12,0,19,0
1288457303,34,0,1,12,12,0,9,0
1289062103,26,0,1,7,11,0,7,0
1289666903,12,0,0,4,5,0,3,0
1290271703,47,0,0,20,13,0,14,0
1290876503,8,0,0,5,0,0,3,0
1291481303,61,0,1,5,4,0,51,0
1292086103,19,0,1,7,1,0,10,0
1292690903,14,0,0,4,4,0,6,0
1293295703,5,0,0,3,0,0,2,0
1293900503,8,0,0,2,4,0,2,0
1294505303,21,0,0,10,5,0,6,0
1295110103,37,0,0,15,10,0,12,0
1295714903,53,0,1,21,19,0,12,0
1296319703,19,0,0,5,3,1,10,0
1296924503,25,0,1,3,8,4,9,0
1297529303,18,0,0,5,6,3,4,0
1298134103,35,0,1,7,6,11,10,0
1298738903,24,0,0,7,5,10,2,0
1299343703,72,0,1,14,8,34,15,0
1299948503,45,0,0,4,2,26,13,0
1300553303,47,0,0,8,4,22,13,0
1301158103,91,0,1,9,4,53,24,0
1301762903,68,0,1,6,2,36,23,0
1302367703,34,0,0,3,6,18,7,0
1302972503,75,0,0,6,14,33,22,0
1303577303,46,0,0,12,8,12,14,0
1304182103,65,0,0,4,4,47,10,0
1304786903,108,0,1,15,17,62,13,0
1305391703,100,0,1,18,12,24,45,0
1305996503,48,0,2,14,9,3,20,0
1306601303,52,0,0,13,4,17,18,0
1307206103,43,0,0,5,7,20,11,0
1307810903,35,0,0,11,10,6,8,0
1308415703,18,0,0,7,5,0,6,0
1309020503,35,0,0,11,7,1,16,0
1309625303,39,0,0,12,7,6,14,0
1310230103,44,0,1,12,1,10,20,0
1310834903,89,0,2,13,14,9,51,0
1311439703,33,0,0,17,7,0,9,0
1312044503,28,0,1,7,3,11,6,0
1312649303,14,0,2,3,3,0,6,0
1313254103,11,0,0,2,4,0,5,0
1313858903,26,0,1,8,3,0,14,0
1314463703,9,0,0,2,2,0,5,0
1315068503,17,0,0,4,8,0,5,0
1315673303,4,0,0,1,1,0,2,0
1316278103,32,0,0,9,9,1,13,0
1316882903,17,0,0,4,4,0,9,0
1317487703,12,0,0,2,3,0,7,0
1318092503,36,0,0,6,6,11,13,0
1318697303,24,0,0,7,3,3,11,0
1319302103,34,0,2,6,3,10,13,0
1319906903,17,0,0,0,2,6,9,0
1320511703,0,0,0,0,0,0,0,0
1321116503,18,0,2,3,2,2,9,0
1321721303,66,0,0,13,9,12,32,0
1322326103,50,0,1,15,3,8,23,0
1322930903,20,0,1,4,1,7,7,0
1323535703,46,0,0,4,3,32,7,0
1324140503,30,1,0,8,5,0,16,0
1324745303,45,0,0,14,4,19,8,0
1325350103,20,0,0,1,2,13,4,0
1325954903,27,0,0,12,3,0,12,0
1326559703,12,0,0,4,1,0,7,0
1327164503,8,0,0,7,0,0,1,0
1327769303,11,0,0,0,7,0,4,0
1328374103,5,0,0,1,1,0,3,0
1328978903,10,0,0,5,0,0,5,0
1329583703,8,0,1,2,1,1,3,0
1330188503,16,0,0,8,2,1,5,0
1330793303,20,0,0,7,4,1,8,0
1331398103,5,0,0,2,1,0,2,0
