date,total,accept,badge,comment,post,review,revision,suggest
1218300503,0,0,0,0,0,0,0,0
1218905303,0,0,0,0,0,0,0,0
1219510103,0,0,0,0,0,0,0,0
1220114903,0,0,0,0,0,0,0,0
1220719703,0,0,0,0,0,0,0,0
1221324503,0,0,0,0,0,0,0,0
1221929303,0,0,0,0,0,0,0,0
1222534103,0,0,0,0,0,0,0,0
1223138903,0,0,0,0,0,0,0,0
1223743703,0,0,0,0,0,0,0,0
1224348503,0,0,0,0,0,0,0,0
1224953303,0,0,0,0,0,0,0,0
1225558103,0,0,0,0,0,0,0,0
1226162903,0,0,0,0,0,0,0,0
1226767703,0,0,0,0,0,0,0,0
1227372503,0,0,0,0,0,0,0,0
1227977303,0,0,0,0,0,0,0,0
1228582103,0,0,0,0,0,0,0,0
1229186903,0,0,0,0,0,0,0,0
1229791703,0,0,0,0,0,0,0,0
1230396503,0,0,0,0,0,0,0,0
1231001303,0,0,0,0,0,0,0,0
1231606103,0,0,0,0,0,0,0,0
1232210903,0,0,0,0,0,0,0,0
1232815703,0,0,0,0,0,0,0,0
1233420503,0,0,0,0,0,0,0,0
1234025303,0,0,0,0,0,0,0,0
1234630103,0,0,0,0,0,0,0,0
1235234903,0,0,0,0,0,0,0,0
1235839703,0,0,0,0,0,0,0,0
1236444503,0,0,0,0,0,0,0,0
1237049303,0,0,0,0,0,0,0,0
1237654103,0,0,0,0,0,0,0,0
1238258903,0,0,0,0,0,0,0,0
1238863703,0,0,0,0,0,0,0,0
1239468503,0,0,0,0,0,0,0,0
1240073303,0,0,0,0,0,0,0,0
1240678103,0,0,0,0,0,0,0,0
1241282903,0,0,0,0,0,0,0,0
1241887703,0,0,0,0,0,0,0,0
1242492503,0,0,0,0,0,0,0,0
1243097303,0,0,0,0,0,0,0,0
1243702103,0,0,0,0,0,0,0,0
1244306903,0,0,0,0,0,0,0,0
1244911703,0,0,0,0,0,0,0,0
1245516503,0,0,0,0,0,0,0,0
1246121303,0,0,0,0,0,0,0,0
1246726103,0,0,0,0,0,0,0,0
1247330903,0,0,0,0,0,0,0,0
1247935703,0,0,0,0,0,0,0,0
1248540503,0,0,0,0,0,0,0,0
1249145303,0,0,0,0,0,0,0,0
1249750103,0,0,0,0,0,0,0,0
1250354903,0,0,0,0,0,0,0,0
1250959703,0,0,0,0,0,0,0,0
1251564503,0,0,0,0,0,0,0,0
1252169303,0,0,0,0,0,0,0,0
1252774103,0,0,0,0,0,0,0,0
1253378903,0,0,0,0,0,0,0,0
1253983703,0,0,0,0,0,0,0,0
1254588503,0,0,0,0,0,0,0,0
1255193303,0,0,0,0,0,0,0,0
1255798103,0,0,0,0,0,0,0,0
1256402903,0,0,0,0,0,0,0,0
1257007703,0,0,0,0,0,0,0,0
1257612503,0,0,0,0,0,0,0,0
1258217303,0,0,0,0,0,0,0,0
1258822103,0,0,0,0,0,0,0,0
1259426903,0,0,0,0,0,0,0,0
1260031703,7,0,3,1,1,0,2,0
1260636503,91,0,6,53,23,0,9,0
1261241303,21,0,0,14,5,0,2,0
1261846103,9,0,0,4,3,0,2,0
1262450903,45,0,0,25,11,0,9,0
1263055703,27,0,0,13,6,0,8,0
1263660503,21,0,0,9,6,0,6,0
1264265303,7,0,0,3,2,0,2,0
1264870103,18,0,0,9,5,0,4,0
1265474903,35,0,0,17,11,0,7,0
1266079703,25,0,0,12,6,0,7,0
1266684503,15,0,0,10,4,0,1,0
1267289303,17,0,0,11,3,0,3,0
1267894103,15,0,0,8,2,0,5,0
1268498903,32,0,0,19,8,0,5,0
1269103703,39,0,0,28,8,0,3,0
1269708503,20,0,0,10,5,0,5,0
1270313303,42,0,0,23,8,0,11,0
1270918103,46,0,0,27,13,0,6,0
1271522903,10,0,1,5,3,0,1,0
1272127703,6,0,0,3,2,0,1,0
1272732503,17,0,0,12,3,0,2,0
1273337303,1,0,0,0,1,0,0,0
1273942103,13,0,0,7,3,0,3,0
1274546903,50,0,0,25,10,0,15,0
1275151703,16,0,0,6,2,0,8,0
1275756503,8,0,0,7,1,0,0,0
1276361303,21,0,0,13,6,0,2,0
1276966103,49,0,1,28,17,0,3,0
1277570903,41,0,1,19,9,0,12,0
1278175703,8,0,0,3,4,0,1,0
1278780503,4,0,2,1,1,0,0,0
1279385303,5,0,0,2,2,0,1,0
1279990103,1,0,0,1,0,0,0,0
1280594903,7,0,1,3,3,0,0,0
1281199703,0,0,0,0,0,0,0,0
1281804503,1,0,1,0,0,0,0,0
1282409303,14,0,0,8,4,0,2,0
1283014103,5,0,0,2,3,0,0,0
1283618903,22,0,0,7,5,0,10,0
1284223703,34,0,1,11,7,0,15,0
1284828503,25,0,0,15,4,0,6,0
1285433303,16,0,0,11,3,0,2,0
1286038103,55,0,1,25,18,0,11,0
1286642903,51,0,0,22,18,0,11,0
1287247703,45,0,0,32,8,0,5,0
1287852503,1,0,0,0,1,0,0,0
1288457303,9,0,0,3,6,0,0,0
1289062103,56,0,2,33,18,0,3,0
1289666903,111,0,1,44,27,0,39,0
1290271703,65,0,2,26,15,0,22,0
1290876503,33,0,0,11,6,0,16,0
1291481303,99,0,0,53,15,0,31,0
1292086103,126,0,5,50,26,0,45,0
1292690903,20,0,1,5,9,0,5,0
1293295703,42,0,0,24,10,0,8,0
1293900503,15,0,1,6,6,0,2,0
1294505303,98,0,4,37,25,0,32,0
1295110103,31,0,0,13,6,0,12,0
1295714903,31,0,2,15,8,0,6,0
1296319703,67,0,2,23,20,0,22,0
1296924503,110,0,1,38,27,0,44,0
1297529303,119,0,2,40,26,1,50,0
1298134103,25,0,0,6,4,1,14,0
1298738903,50,2,0,28,11,0,9,0
1299343703,33,0,1,10,10,0,12,0
1299948503,7,0,1,5,0,0,1,0
1300553303,14,0,0,1,5,0,8,0
1301158103,117,7,0,66,10,1,33,0
1301762903,78,1,1,52,5,1,18,0
1302367703,46,2,2,27,6,0,9,0
1302972503,106,1,2,45,16,1,41,0
1303577303,64,4,2,32,6,1,19,0
1304182103,36,2,1,12,7,1,13,0
1304786903,7,0,1,2,1,0,3,0
1305391703,12,0,0,5,5,0,2,0
1305996503,4,0,1,2,0,0,1,0
1306601303,17,1,0,9,3,0,4,0
1307206103,105,3,0,55,23,2,22,0
1307810903,11,0,1,4,4,0,2,0
1308415703,124,5,2,58,28,1,30,0
1309020503,69,1,1,39,12,2,14,0
1309625303,75,1,4,42,13,0,15,0
1310230103,55,3,1,39,5,0,7,0
1310834903,34,1,3,15,5,0,10,0
1311439703,20,1,4,8,3,0,4,0
1312044503,27,2,1,12,3,0,9,0
1312649303,61,3,0,31,8,1,18,0
1313254103,130,2,1,55,33,1,38,0
1313858903,139,1,3,18,9,76,32,0
1314463703,9,0,3,4,0,1,1,0
1315068503,16,1,2,4,1,6,2,0
1315673303,15,2,1,6,1,0,4,1
1316278103,28,1,1,14,7,0,5,0
1316882903,27,0,1,12,6,0,8,0
1317487703,9,0,4,1,1,0,3,0
1318092503,23,0,3,7,4,0,9,0
1318697303,14,0,1,9,1,0,3,0
1319302103,10,0,6,3,0,0,1,0
1319906903,8,0,2,4,0,1,1,0
1320511703,10,0,2,1,1,0,6,0
1321116503,46,0,4,13,5,0,24,0
1321721303,28,0,1,4,5,1,17,0
1322326103,30,0,2,10,5,0,13,0
1322930903,16,0,4,3,3,0,6,0
1323535703,24,0,6,5,4,1,8,0
1324140503,20,0,0,12,4,0,4,0
1324745303,15,0,3,4,4,1,3,0
1325350103,6,0,2,1,0,0,3,0
1325954903,22,0,3,6,3,0,10,0
1326559703,15,0,2,8,1,0,4,0
1327164503,8,0,0,5,2,0,1,0
1327769303,17,0,0,12,2,0,3,0
1328374103,21,0,5,6,3,0,7,0
1328978903,18,0,4,6,4,0,4,0
1329583703,13,0,5,4,3,0,1,0
1330188503,5,0,1,0,2,0,2,0
1330793303,11,0,2,5,2,0,2,0
1331398103,9,0,4,2,1,0,2,0
