date,total,accept,badge,comment,post,review,revision,suggest
1218300503,0,0,0,0,0,0,0,0
1218905303,0,0,0,0,0,0,0,0
1219510103,0,0,0,0,0,0,0,0
1220114903,0,0,0,0,0,0,0,0
1220719703,0,0,0,0,0,0,0,0
1221324503,0,0,0,0,0,0,0,0
1221929303,0,0,0,0,0,0,0,0
1222534103,0,0,0,0,0,0,0,0
1223138903,0,0,0,0,0,0,0,0
1223743703,0,0,0,0,0,0,0,0
1224348503,0,0,0,0,0,0,0,0
1224953303,0,0,0,0,0,0,0,0
1225558103,0,0,0,0,0,0,0,0
1226162903,0,0,0,0,0,0,0,0
1226767703,0,0,0,0,0,0,0,0
1227372503,0,0,0,0,0,0,0,0
1227977303,0,0,0,0,0,0,0,0
1228582103,0,0,0,0,0,0,0,0
1229186903,0,0,0,0,0,0,0,0
1229791703,0,0,0,0,0,0,0,0
1230396503,0,0,0,0,0,0,0,0
1231001303,0,0,0,0,0,0,0,0
1231606103,0,0,0,0,0,0,0,0
1232210903,0,0,0,0,0,0,0,0
1232815703,0,0,0,0,0,0,0,0
1233420503,0,0,0,0,0,0,0,0
1234025303,0,0,0,0,0,0,0,0
1234630103,0,0,0,0,0,0,0,0
1235234903,0,0,0,0,0,0,0,0
1235839703,0,0,0,0,0,0,0,0
1236444503,0,0,0,0,0,0,0,0
1237049303,0,0,0,0,0,0,0,0
1237654103,0,0,0,0,0,0,0,0
1238258903,0,0,0,0,0,0,0,0
1238863703,0,0,0,0,0,0,0,0
1239468503,0,0,0,0,0,0,0,0
1240073303,0,0,0,0,0,0,0,0
1240678103,0,0,0,0,0,0,0,0
1241282903,0,0,0,0,0,0,0,0
1241887703,0,0,0,0,0,0,0,0
1242492503,0,0,0,0,0,0,0,0
1243097303,0,0,0,0,0,0,0,0
1243702103,0,0,0,0,0,0,0,0
1244306903,0,0,0,0,0,0,0,0
1244911703,0,0,0,0,0,0,0,0
1245516503,0,0,0,0,0,0,0,0
1246121303,0,0,0,0,0,0,0,0
1246726103,0,0,0,0,0,0,0,0
1247330903,0,0,0,0,0,0,0,0
1247935703,0,0,0,0,0,0,0,0
1248540503,0,0,0,0,0,0,0,0
1249145303,0,0,0,0,0,0,0,0
1249750103,0,0,0,0,0,0,0,0
1250354903,0,0,0,0,0,0,0,0
1250959703,0,0,0,0,0,0,0,0
1251564503,0,0,0,0,0,0,0,0
1252169303,0,0,0,0,0,0,0,0
1252774103,0,0,0,0,0,0,0,0
1253378903,0,0,0,0,0,0,0,0
1253983703,0,0,0,0,0,0,0,0
1254588503,0,0,0,0,0,0,0,0
1255193303,0,0,0,0,0,0,0,0
1255798103,0,0,0,0,0,0,0,0
1256402903,0,0,0,0,0,0,0,0
1257007703,0,0,0,0,0,0,0,0
1257612503,0,0,0,0,0,0,0,0
1258217303,0,0,0,0,0,0,0,0
1258822103,0,0,0,0,0,0,0,0
1259426903,0,0,0,0,0,0,0,0
1260031703,0,0,0,0,0,0,0,0
1260636503,0,0,0,0,0,0,0,0
1261241303,0,0,0,0,0,0,0,0
1261846103,0,0,0,0,0,0,0,0
1262450903,0,0,0,0,0,0,0,0
1263055703,0,0,0,0,0,0,0,0
1263660503,0,0,0,0,0,0,0,0
1264265303,0,0,0,0,0,0,0,0
1264870103,0,0,0,0,0,0,0,0
1265474903,0,0,0,0,0,0,0,0
1266079703,0,0,0,0,0,0,0,0
1266684503,0,0,0,0,0,0,0,0
1267289303,0,0,0,0,0,0,0,0
1267894103,0,0,0,0,0,0,0,0
1268498903,0,0,0,0,0,0,0,0
1269103703,0,0,0,0,0,0,0,0
1269708503,0,0,0,0,0,0,0,0
1270313303,0,0,0,0,0,0,0,0
1270918103,0,0,0,0,0,0,0,0
1271522903,0,0,0,0,0,0,0,0
1272127703,0,0,0,0,0,0,0,0
1272732503,0,0,0,0,0,0,0,0
1273337303,0,0,0,0,0,0,0,0
1273942103,0,0,0,0,0,0,0,0
1274546903,0,0,0,0,0,0,0,0
1275151703,0,0,0,0,0,0,0,0
1275756503,0,0,0,0,0,0,0,0
1276361303,0,0,0,0,0,0,0,0
1276966103,0,0,0,0,0,0,0,0
1277570903,0,0,0,0,0,0,0,0
1278175703,14,1,5,6,2,0,0,0
1278780503,40,3,3,16,10,0,8,0
1279385303,40,1,3,15,9,0,12,0
1279990103,48,3,5,15,12,0,13,0
1280594903,56,2,2,24,11,0,17,0
1281199703,48,2,1,21,4,0,20,0
1281804503,48,4,3,19,5,0,17,0
1282409303,22,1,0,10,4,0,7,0
1283014103,49,2,0,35,3,0,9,0
1283618903,17,0,2,8,4,0,3,0
1284223703,23,3,0,14,2,0,4,0
1284828503,10,1,0,5,2,0,2,0
1285433303,21,3,0,10,3,0,5,0
1286038103,31,2,0,19,5,0,5,0
1286642903,18,2,0,10,2,0,4,0
1287247703,7,0,2,1,2,0,2,0
1287852503,2,0,1,0,0,0,1,0
1288457303,38,2,1,13,3,0,19,0
1289062103,35,1,1,13,4,0,16,0
1289666903,22,1,0,9,4,0,8,0
1290271703,34,1,1,16,5,0,11,0
1290876503,42,2,1,33,2,0,4,0
1291481303,29,4,2,14,7,0,2,0
1292086103,12,0,1,6,2,0,3,0
1292690903,16,2,0,8,3,0,3,0
1293295703,20,1,1,11,5,0,2,0
1293900503,1,0,0,0,1,0,0,0
1294505303,11,1,2,6,2,0,0,0
1295110103,13,1,0,7,3,0,2,0
1295714903,16,2,0,11,1,0,2,0
1296319703,15,1,0,6,3,0,5,0
1296924503,9,0,1,3,3,0,2,0
1297529303,18,2,0,9,5,0,2,0
1298134103,19,1,0,9,5,0,4,0
1298738903,28,2,3,18,1,0,4,0
1299343703,7,0,1,1,1,0,4,0
1299948503,10,0,1,4,4,0,1,0
1300553303,16,0,0,13,3,0,0,0
1301158103,2,0,2,0,0,0,0,0
1301762903,10,1,1,5,3,0,0,0
1302367703,12,1,1,8,2,0,0,0
1302972503,17,1,1,8,4,0,3,0
1303577303,12,0,3,6,1,0,2,0
1304182103,8,0,0,4,2,0,2,0
1304786903,12,0,0,6,3,1,2,0
1305391703,8,0,2,4,2,0,0,0
1305996503,12,0,1,5,5,0,1,0
1306601303,7,0,2,3,1,0,1,0
1307206103,41,0,1,21,11,1,7,0
1307810903,57,0,4,21,17,2,13,0
1308415703,17,0,1,11,4,1,0,0
1309020503,52,0,5,20,12,6,9,0
1309625303,26,0,2,11,9,1,3,0
1310230103,39,0,2,14,11,5,7,0
1310834903,35,0,3,14,6,1,11,0
1311439703,54,0,1,22,17,0,14,0
1312044503,37,0,3,13,8,0,13,0
1312649303,16,0,1,9,2,0,4,0
1313254103,17,0,3,6,1,1,4,2
1313858903,23,0,7,5,8,1,2,0
1314463703,12,0,0,5,2,0,5,0
1315068503,8,0,2,3,2,0,1,0
1315673303,14,0,1,6,4,1,2,0
1316278103,36,0,4,16,10,0,6,0
1316882903,41,0,3,18,8,1,11,0
1317487703,173,0,9,40,19,67,38,0
1318092503,2,0,2,0,0,0,0,0
1318697303,239,0,1,94,33,68,43,0
1319302103,202,0,1,70,40,45,44,2
1319906903,64,0,1,29,20,4,10,0
1320511703,205,0,1,89,63,8,44,0
1321116503,236,0,4,130,43,5,54,0
1321721303,152,0,1,69,16,44,22,0
1322326103,131,0,1,65,14,20,29,2
1322930903,60,0,1,32,11,4,12,0
1323535703,60,0,4,31,6,4,15,0
1324140503,102,0,0,52,21,13,16,0
1324745303,56,0,3,34,10,0,9,0
1325350103,126,0,5,69,19,0,33,0
1325954903,62,0,5,40,9,0,8,0
1326559703,13,0,1,3,1,6,2,0
1327164503,0,0,0,0,0,0,0,0
1327769303,0,0,0,0,0,0,0,0
1328374103,8,0,5,1,1,0,1,0
1328978903,47,0,4,22,4,13,4,0
1329583703,44,0,1,21,8,1,13,0
1330188503,61,0,2,35,11,0,13,0
1330793303,38,0,5,15,8,0,10,0
1331398103,33,0,3,14,6,1,9,0
