date,total,accept,badge,comment,post,review,revision,suggest
1218300503,0,0,0,0,0,0,0,0
1218905303,0,0,0,0,0,0,0,0
1219510103,0,0,0,0,0,0,0,0
1220114903,0,0,0,0,0,0,0,0
1220719703,0,0,0,0,0,0,0,0
1221324503,0,0,0,0,0,0,0,0
1221929303,0,0,0,0,0,0,0,0
1222534103,0,0,0,0,0,0,0,0
1223138903,0,0,0,0,0,0,0,0
1223743703,0,0,0,0,0,0,0,0
1224348503,0,0,0,0,0,0,0,0
1224953303,0,0,0,0,0,0,0,0
1225558103,0,0,0,0,0,0,0,0
1226162903,0,0,0,0,0,0,0,0
1226767703,0,0,0,0,0,0,0,0
1227372503,0,0,0,0,0,0,0,0
1227977303,0,0,0,0,0,0,0,0
1228582103,0,0,0,0,0,0,0,0
1229186903,0,0,0,0,0,0,0,0
1229791703,0,0,0,0,0,0,0,0
1230396503,0,0,0,0,0,0,0,0
1231001303,0,0,0,0,0,0,0,0
1231606103,0,0,0,0,0,0,0,0
1232210903,0,0,0,0,0,0,0,0
1232815703,0,0,0,0,0,0,0,0
1233420503,0,0,0,0,0,0,0,0
1234025303,0,0,0,0,0,0,0,0
1234630103,0,0,0,0,0,0,0,0
1235234903,0,0,0,0,0,0,0,0
1235839703,0,0,0,0,0,0,0,0
1236444503,0,0,0,0,0,0,0,0
1237049303,0,0,0,0,0,0,0,0
1237654103,0,0,0,0,0,0,0,0
1238258903,0,0,0,0,0,0,0,0
1238863703,0,0,0,0,0,0,0,0
1239468503,0,0,0,0,0,0,0,0
1240073303,0,0,0,0,0,0,0,0
1240678103,0,0,0,0,0,0,0,0
1241282903,0,0,0,0,0,0,0,0
1241887703,0,0,0,0,0,0,0,0
1242492503,0,0,0,0,0,0,0,0
1243097303,0,0,0,0,0,0,0,0
1243702103,0,0,0,0,0,0,0,0
1244306903,0,0,0,0,0,0,0,0
1244911703,0,0,0,0,0,0,0,0
1245516503,0,0,0,0,0,0,0,0
1246121303,0,0,0,0,0,0,0,0
1246726103,0,0,0,0,0,0,0,0
1247330903,0,0,0,0,0,0,0,0
1247935703,0,0,0,0,0,0,0,0
1248540503,0,0,0,0,0,0,0,0
1249145303,0,0,0,0,0,0,0,0
1249750103,0,0,0,0,0,0,0,0
1250354903,0,0,0,0,0,0,0,0
1250959703,0,0,0,0,0,0,0,0
1251564503,0,0,0,0,0,0,0,0
1252169303,0,0,0,0,0,0,0,0
1252774103,0,0,0,0,0,0,0,0
1253378903,0,0,0,0,0,0,0,0
1253983703,0,0,0,0,0,0,0,0
1254588503,0,0,0,0,0,0,0,0
1255193303,0,0,0,0,0,0,0,0
1255798103,0,0,0,0,0,0,0,0
1256402903,0,0,0,0,0,0,0,0
1257007703,0,0,0,0,0,0,0,0
1257612503,0,0,0,0,0,0,0,0
1258217303,0,0,0,0,0,0,0,0
1258822103,0,0,0,0,0,0,0,0
1259426903,0,0,0,0,0,0,0,0
1260031703,0,0,0,0,0,0,0,0
1260636503,0,0,0,0,0,0,0,0
1261241303,0,0,0,0,0,0,0,0
1261846103,0,0,0,0,0,0,0,0
1262450903,0,0,0,0,0,0,0,0
1263055703,0,0,0,0,0,0,0,0
1263660503,0,0,0,0,0,0,0,0
1264265303,0,0,0,0,0,0,0,0
1264870103,0,0,0,0,0,0,0,0
1265474903,0,0,0,0,0,0,0,0
1266079703,0,0,0,0,0,0,0,0
1266684503,1,0,0,0,1,0,0,0
1267289303,17,0,0,5,10,0,2,0
1267894103,0,0,0,0,0,0,0,0
1268498903,4,0,0,0,4,0,0,0
1269103703,12,0,0,3,9,0,0,0
1269708503,36,0,0,16,18,0,2,0
1270313303,58,0,0,27,26,0,5,0
1270918103,12,0,1,5,5,0,1,0
1271522903,0,0,0,0,0,0,0,0
1272127703,48,0,0,29,16,0,3,0
1272732503,50,0,0,23,20,0,7,0
1273337303,22,0,0,9,12,0,1,0
1273942103,45,1,0,18,17,0,9,0
1274546903,7,0,0,5,1,0,1,0
1275151703,12,0,0,6,4,0,2,0
1275756503,41,0,0,20,10,0,11,0
1276361303,44,0,0,18,17,0,9,0
1276966103,34,0,0,13,15,0,6,0
1277570903,9,0,0,4,1,0,4,0
1278175703,1,0,0,0,1,0,0,0
1278780503,4,0,0,4,0,0,0,0
1279385303,0,0,0,0,0,0,0,0
1279990103,14,0,0,5,5,0,4,0
1280594903,11,0,0,8,3,0,0,0
1281199703,7,0,0,3,4,0,0,0
1281804503,0,0,0,0,0,0,0,0
1282409303,0,0,0,0,0,0,0,0
1283014103,0,0,0,0,0,0,0,0
1283618903,0,0,0,0,0,0,0,0
1284223703,23,0,14,1,7,0,1,0
1284828503,2,0,0,2,0,0,0,0
1285433303,9,0,0,3,4,0,2,0
1286038103,24,0,1,8,11,0,4,0
1286642903,2,0,0,0,2,0,0,0
1287247703,11,0,0,6,4,0,1,0
1287852503,1,0,0,1,0,0,0,0
1288457303,11,0,0,5,4,0,2,0
1289062103,16,0,0,8,6,0,2,0
1289666903,0,0,0,0,0,0,0,0
1290271703,0,0,0,0,0,0,0,0
1290876503,21,0,0,10,7,0,4,0
1291481303,12,0,0,6,5,0,1,0
1292086103,18,0,0,5,7,0,6,0
1292690903,17,0,0,7,4,0,6,0
1293295703,0,0,0,0,0,0,0,0
1293900503,1,0,0,1,0,0,0,0
1294505303,8,0,0,4,1,0,3,0
1295110103,14,0,0,8,3,0,3,0
1295714903,14,0,0,4,8,0,2,0
1296319703,2,0,0,0,2,0,0,0
1296924503,0,0,0,0,0,0,0,0
1297529303,12,0,0,6,4,1,1,0
1298134103,8,0,1,1,3,0,3,0
1298738903,0,0,0,0,0,0,0,0
1299343703,8,0,0,2,3,0,3,0
1299948503,12,0,0,4,4,0,4,0
1300553303,1,0,0,0,0,0,1,0
1301158103,25,0,0,8,3,4,10,0
1301762903,18,0,0,7,4,0,7,0
1302367703,12,0,0,3,1,0,8,0
1302972503,1,0,0,0,0,0,1,0
1303577303,0,0,0,0,0,0,0,0
1304182103,1,0,0,1,0,0,0,0
1304786903,0,0,0,0,0,0,0,0
1305391703,5,0,0,1,3,0,1,0
1305996503,16,1,0,10,3,0,2,0
1306601303,26,0,1,13,6,1,5,0
1307206103,27,0,1,9,6,3,8,0
1307810903,7,0,0,4,2,0,1,0
1308415703,4,0,2,1,0,0,1,0
1309020503,1,0,0,0,0,0,1,0
1309625303,2,0,0,2,0,0,0,0
1310230103,4,0,1,2,1,0,0,0
1310834903,2,0,0,1,0,0,1,0
1311439703,3,0,0,0,0,1,2,0
1312044503,13,0,0,3,3,0,7,0
1312649303,87,0,1,42,18,1,25,0
1313254103,51,1,1,22,6,4,17,0
1313858903,54,0,3,13,4,17,16,1
1314463703,76,1,0,16,10,26,23,0
1315068503,1,0,0,0,0,0,1,0
1315673303,94,0,0,34,14,12,34,0
1316278103,48,1,1,18,11,7,10,0
1316882903,131,0,1,17,18,70,25,0
1317487703,23,0,0,1,2,13,7,0
1318092503,95,0,0,5,4,76,10,0
1318697303,222,0,1,18,17,152,34,0
1319302103,170,0,0,25,13,98,34,0
1319906903,29,0,0,12,6,0,11,0
1320511703,70,0,0,17,9,38,6,0
1321116503,76,0,1,21,11,31,12,0
1321721303,129,0,0,27,14,30,58,0
1322326103,88,0,0,22,14,31,21,0
1322930903,152,0,0,31,14,80,27,0
1323535703,46,0,2,7,13,13,11,0
1324140503,46,0,0,18,13,4,11,0
1324745303,80,0,0,16,13,37,14,0
1325350103,2,0,1,0,1,0,0,0
1325954903,81,0,1,20,15,24,21,0
1326559703,135,0,0,11,9,92,23,0
1327164503,59,0,1,21,13,16,8,0
1327769303,102,0,0,17,6,66,13,0
1328374103,99,0,1,28,9,45,16,0
1328978903,33,0,0,10,9,0,14,0
1329583703,157,0,7,14,14,87,33,2
1330188503,26,0,0,12,8,0,6,0
1330793303,9,0,0,3,0,5,1,0
1331398103,54,0,1,11,11,11,20,0
