date,total,accept,badge,comment,post,review,revision,suggest
1218300503,4,1,0,0,2,0,1,0
1218905303,0,0,0,0,0,0,0,0
1219510103,0,0,0,0,0,0,0,0
1220114903,0,0,0,0,0,0,0,0
1220719703,0,0,0,0,0,0,0,0
1221324503,0,0,0,0,0,0,0,0
1221929303,12,0,4,3,4,0,1,0
1222534103,1,0,0,0,1,0,0,0
1223138903,2,0,0,0,2,0,0,0
1223743703,0,0,0,0,0,0,0,0
1224348503,0,0,0,0,0,0,0,0
1224953303,4,1,1,2,0,0,0,0
1225558103,1,0,1,0,0,0,0,0
1226162903,0,0,0,0,0,0,0,0
1226767703,0,0,0,0,0,0,0,0
1227372503,0,0,0,0,0,0,0,0
1227977303,0,0,0,0,0,0,0,0
1228582103,0,0,0,0,0,0,0,0
1229186903,0,0,0,0,0,0,0,0
1229791703,0,0,0,0,0,0,0,0
1230396503,0,0,0,0,0,0,0,0
1231001303,0,0,0,0,0,0,0,0
1231606103,0,0,0,0,0,0,0,0
1232210903,0,0,0,0,0,0,0,0
1232815703,0,0,0,0,0,0,0,0
1233420503,0,0,0,0,0,0,0,0
1234025303,0,0,0,0,0,0,0,0
1234630103,2,0,0,1,1,0,0,0
1235234903,0,0,0,0,0,0,0,0
1235839703,0,0,0,0,0,0,0,0
1236444503,0,0,0,0,0,0,0,0
1237049303,0,0,0,0,0,0,0,0
1237654103,0,0,0,0,0,0,0,0
1238258903,0,0,0,0,0,0,0,0
1238863703,0,0,0,0,0,0,0,0
1239468503,0,0,0,0,0,0,0,0
1240073303,0,0,0,0,0,0,0,0
1240678103,0,0,0,0,0,0,0,0
1241282903,0,0,0,0,0,0,0,0
1241887703,0,0,0,0,0,0,0,0
1242492503,0,0,0,0,0,0,0,0
1243097303,0,0,0,0,0,0,0,0
1243702103,0,0,0,0,0,0,0,0
1244306903,0,0,0,0,0,0,0,0
1244911703,1,0,0,0,1,0,0,0
1245516503,2,1,0,1,0,0,0,0
1246121303,10,1,2,4,3,0,0,0
1246726103,47,1,2,21,14,0,9,0
1247330903,40,0,0,17,14,0,9,0
1247935703,42,0,0,22,13,0,7,0
1248540503,61,1,0,37,17,0,6,0
1249145303,71,1,2,23,28,0,17,0
1249750103,106,0,1,49,31,0,25,0
1250354903,31,1,0,15,10,0,5,0
1250959703,50,1,1,25,12,0,11,0
1251564503,65,0,0,29,22,0,14,0
1252169303,30,0,1,10,13,0,6,0
1252774103,25,0,0,10,11,0,4,0
1253378903,18,0,0,10,5,0,3,0
1253983703,1,0,0,0,1,0,0,0
1254588503,9,0,0,0,5,0,4,0
1255193303,3,0,0,2,1,0,0,0
1255798103,4,0,0,1,3,0,0,0
1256402903,28,0,0,12,10,0,6,0
1257007703,30,0,1,11,10,0,8,0
1257612503,25,0,0,12,10,0,3,0
1258217303,34,0,0,12,12,0,10,0
1258822103,38,0,0,19,12,0,7,0
1259426903,21,0,0,16,2,0,3,0
1260031703,14,1,0,6,6,0,1,0
1260636503,15,0,1,4,7,0,3,0
1261241303,30,0,0,14,5,0,11,0
1261846103,24,0,0,12,6,0,6,0
1262450903,17,0,1,7,4,0,5,0
1263055703,0,0,0,0,0,0,0,0
1263660503,8,0,1,2,3,0,2,0
1264265303,20,0,0,12,5,0,3,0
1264870103,12,0,0,7,4,0,1,0
1265474903,36,0,1,19,9,0,7,0
1266079703,34,0,1,15,13,0,5,0
1266684503,50,1,2,30,8,0,9,0
1267289303,76,0,1,36,20,0,19,0
1267894103,50,1,0,31,10,0,8,0
1268498903,87,0,1,37,26,0,23,0
1269103703,40,0,0,23,9,0,8,0
1269708503,51,0,1,25,14,0,11,0
1270313303,62,0,0,41,15,0,6,0
1270918103,82,1,2,50,13,0,16,0
1271522903,68,0,1,39,21,0,7,0
1272127703,111,1,1,61,27,0,21,0
1272732503,18,0,0,14,2,0,2,0
1273337303,34,0,0,24,8,0,2,0
1273942103,41,1,2,20,13,0,5,0
1274546903,48,0,0,30,9,0,9,0
1275151703,56,1,2,30,16,0,7,0
1275756503,51,0,0,28,15,0,8,0
1276361303,53,0,1,37,10,0,5,0
1276966103,52,0,2,27,18,0,5,0
1277570903,69,1,1,45,15,0,7,0
1278175703,74,0,1,41,24,0,8,0
1278780503,84,0,4,47,18,0,15,0
1279385303,107,0,1,71,21,0,14,0
1279990103,97,0,2,57,23,0,15,0
1280594903,107,0,0,67,28,0,12,0
1281199703,90,0,2,57,21,0,10,0
1281804503,2,0,1,1,0,0,0,0
1282409303,86,0,0,53,23,0,10,0
1283014103,76,0,2,51,18,0,5,0
1283618903,60,1,0,38,14,0,7,0
1284223703,60,0,1,35,18,0,6,0
1284828503,36,0,0,23,9,0,4,0
1285433303,82,0,3,54,19,0,6,0
1286038103,74,0,1,43,22,0,8,0
1286642903,80,0,0,48,18,0,14,0
1287247703,59,0,2,35,13,0,9,0
1287852503,83,1,3,52,17,0,10,0
1288457303,83,0,0,52,21,0,10,0
1289062103,49,0,1,21,12,0,15,0
1289666903,133,0,0,85,33,0,15,0
1290271703,94,0,1,55,23,0,15,0
1290876503,120,0,0,83,25,0,12,0
1291481303,119,0,0,70,34,0,15,0
1292086103,91,0,1,54,22,0,14,0
1292690903,115,0,0,75,25,0,15,0
1293295703,114,0,3,68,26,0,17,0
1293900503,59,0,0,31,18,0,10,0
1294505303,88,0,2,42,27,0,17,0
1295110103,74,0,2,46,18,0,8,0
1295714903,126,0,3,67,38,0,18,0
1296319703,125,0,2,74,31,5,13,0
1296924503,88,0,0,48,28,1,11,0
1297529303,140,0,0,76,26,14,24,0
1298134103,116,0,0,66,33,0,17,0
1298738903,77,0,1,38,24,1,13,0
1299343703,125,0,2,62,37,4,20,0
1299948503,96,0,0,57,27,1,11,0
1300553303,25,0,2,11,7,1,4,0
1301158103,91,0,1,54,23,1,12,0
1301762903,84,0,1,48,21,1,13,0
1302367703,131,0,0,78,29,4,20,0
1302972503,96,0,3,49,26,2,16,0
1303577303,104,0,0,60,28,4,12,0
1304182103,114,0,1,73,27,2,11,0
1304786903,69,0,1,36,17,3,12,0
1305391703,74,0,1,33,22,2,16,0
1305996503,155,0,3,83,43,2,24,0
1306601303,161,0,1,85,37,2,36,0
1307206103,101,0,1,55,28,1,16,0
1307810903,75,0,0,32,22,0,21,0
1308415703,103,0,2,47,30,2,22,0
1309020503,118,0,2,59,29,3,25,0
1309625303,129,0,2,71,28,4,24,0
1310230103,140,0,2,75,38,0,25,0
1310834903,166,0,0,87,41,1,37,0
1311439703,59,0,1,24,16,0,18,0
1312044503,80,0,1,46,21,1,11,0
1312649303,68,0,1,36,24,0,7,0
1313254103,113,0,2,70,27,1,13,0
1313858903,109,0,1,73,30,1,4,0
1314463703,122,0,4,75,23,2,18,0
1315068503,163,0,1,106,41,0,15,0
1315673303,124,0,3,69,33,0,19,0
1316278103,11,0,0,5,4,0,2,0
1316882903,21,0,2,11,4,0,4,0
1317487703,15,0,0,7,6,0,2,0
1318092503,83,0,1,49,20,0,13,0
1318697303,81,0,1,52,18,0,10,0
1319302103,107,0,1,63,29,1,13,0
1319906903,111,0,2,59,37,0,13,0
1320511703,85,0,2,51,22,1,9,0
1321116503,71,0,1,46,17,2,5,0
1321721303,91,0,1,54,22,1,13,0
1322326103,102,0,0,69,23,0,10,0
1322930903,103,0,2,59,25,0,17,0
1323535703,110,0,0,69,30,0,11,0
1324140503,128,0,2,83,28,1,14,0
1324745303,121,0,1,83,26,0,11,0
1325350103,89,0,1,54,21,1,12,0
1325954903,134,0,2,87,31,1,13,0
1326559703,151,0,2,93,39,1,16,0
1327164503,160,0,1,115,34,1,9,0
1327769303,201,0,2,143,36,3,17,0
1328374103,153,0,3,100,41,0,9,0
1328978903,114,0,3,75,26,1,9,0
1329583703,166,0,3,112,38,2,11,0
1330188503,123,0,3,78,30,0,12,0
1330793303,101,0,1,72,18,1,9,0
1331398103,102,0,4,62,25,0,11,0
1332002903,158,0,2,102,39,2,13,0
1332607703,94,0,0,60,26,0,8,0
1333212503,75,0,0,43,23,0,9,0
1333817303,112,0,0,80,25,0,7,0
1334422103,139,0,1,89,37,1,11,0
1335026903,104,0,3,66,26,2,7,0
1335631703,178,0,3,117,41,1,16,0
1336236503,73,0,2,47,18,2,4,0
1336841303,94,0,4,69,15,0,6,0
1337446103,62,0,1,41,13,1,6,0
1338050903,105,0,1,65,30,1,8,0
1338655703,54,0,1,33,14,1,5,0
1339260503,85,0,7,50,20,0,8,0
1339865303,104,0,2,64,32,0,6,0
1340470103,133,0,2,96,28,2,5,0
1341074903,160,0,2,101,40,3,14,0
1341679703,127,0,1,78,41,1,6,0
1342284503,134,0,3,86,34,2,9,0
1342889303,129,0,2,86,32,0,9,0
1343494103,90,0,1,66,18,0,5,0
1344098903,66,0,1,42,17,0,6,0
1344703703,83,0,3,57,17,3,3,0
1345308503,123,0,7,78,30,1,7,0
1345913303,64,0,1,46,15,0,2,0
1346518103,132,0,3,88,24,11,6,0
1347122903,174,0,3,123,35,3,10,0
1347727703,161,0,3,109,36,4,9,0
1348332503,102,0,4,70,15,2,11,0
1348937303,66,0,7,44,13,0,2,0
1349542103,134,0,2,95,30,0,7,0
1350146903,38,0,3,22,9,0,4,0
1350751703,107,0,2,69,26,0,10,0
1351356503,155,0,4,98,38,0,15,0
1351961303,143,0,4,92,27,7,13,0
1352566103,205,0,3,146,42,2,12,0
1353170903,126,0,1,87,28,0,10,0
1353775703,193,0,4,140,39,1,9,0
1354380503,182,0,2,126,37,3,14,0
1354985303,210,0,1,153,41,4,11,0
1355590103,228,0,1,164,41,1,21,0
1356194903,167,0,4,118,31,1,13,0
