date,total,accept,badge,comment,post,review,revision,suggest
1218300503,3,1,0,1,1,0,0,0
1218905303,16,4,0,0,8,0,4,0
1219510103,33,6,0,0,26,0,1,0
1220114903,39,10,0,3,24,0,2,0
1220719703,41,10,0,1,22,0,8,0
1221324503,41,7,0,9,18,0,7,0
1221929303,31,2,11,6,11,0,1,0
1222534103,55,6,6,22,17,0,4,0
1223138903,55,2,3,26,11,0,13,0
1223743703,91,7,3,46,21,0,14,0
1224348503,54,4,2,24,16,0,8,0
1224953303,40,2,1,20,13,0,4,0
1225558103,89,6,3,48,23,0,9,0
1226162903,42,2,1,28,9,0,2,0
1226767703,37,4,2,19,7,0,5,0
1227372503,49,5,2,33,6,0,3,0
1227977303,7,0,1,4,2,0,0,0
1228582103,5,0,0,3,2,0,0,0
1229186903,2,0,2,0,0,0,0,0
1229791703,1,0,1,0,0,0,0,0
1230396503,4,1,2,0,1,0,0,0
1231001303,1,0,0,1,0,0,0,0
1231606103,5,1,1,2,0,0,1,0
1232210903,3,0,3,0,0,0,0,0
1232815703,5,0,2,1,1,0,1,0
1233420503,8,1,0,5,1,0,1,0
1234025303,6,0,0,3,2,0,1,0
1234630103,2,0,2,0,0,0,0,0
1235234903,6,0,3,2,1,0,0,0
1235839703,0,0,0,0,0,0,0,0
1236444503,1,1,0,0,0,0,0,0
1237049303,2,0,1,1,0,0,0,0
1237654103,1,0,1,0,0,0,0,0
1238258903,3,1,0,1,1,0,0,0
1238863703,8,0,1,3,4,0,0,0
1239468503,8,1,0,5,2,0,0,0
1240073303,3,0,2,1,0,0,0,0
1240678103,9,0,2,4,0,0,3,0
1241282903,3,0,1,2,0,0,0,0
1241887703,9,0,1,4,4,0,0,0
1242492503,3,0,1,1,1,0,0,0
1243097303,7,0,1,2,2,0,2,0
1243702103,15,0,1,8,5,0,1,0
1244306903,5,0,3,2,0,0,0,0
1244911703,5,0,2,2,1,0,0,0
1245516503,8,0,1,5,1,0,1,0
1246121303,16,0,1,8,4,0,3,0
1246726103,75,0,3,34,10,0,28,0
1247330903,55,0,1,29,11,0,14,0
1247935703,51,1,1,29,10,0,10,0
1248540503,94,0,3,61,17,0,13,0
1249145303,36,0,0,21,12,0,3,0
1249750103,28,0,2,15,6,0,5,0
1250354903,75,0,1,37,16,0,21,0
1250959703,25,0,1,12,9,0,3,0
1251564503,24,0,0,15,7,0,2,0
1252169303,45,2,3,27,11,0,2,0
1252774103,21,2,0,10,6,0,3,0
1253378903,89,0,6,42,24,0,17,0
1253983703,17,0,1,9,5,0,2,0
1254588503,67,1,2,40,12,0,12,0
1255193303,36,1,2,26,5,0,2,0
1255798103,84,1,5,43,14,0,21,0
1256402903,59,2,1,25,20,0,11,0
1257007703,79,0,7,36,14,0,22,0
1257612503,44,1,1,23,7,0,12,0
1258217303,46,1,7,16,6,0,16,0
1258822103,38,2,3,15,8,0,10,0
1259426903,1,0,1,0,0,0,0,0
1260031703,17,1,1,11,2,0,2,0
1260636503,3,0,3,0,0,0,0,0
1261241303,7,0,1,2,4,0,0,0
1261846103,5,0,5,0,0,0,0,0
1262450903,7,1,0,3,3,0,0,0
1263055703,7,1,1,3,1,0,1,0
1263660503,10,0,3,2,2,0,3,0
1264265303,9,0,1,4,3,0,1,0
1264870103,1,0,0,0,1,0,0,0
1265474903,2,0,2,0,0,0,0,0
1266079703,1,0,1,0,0,0,0,0
1266684503,1,0,1,0,0,0,0,0
1267289303,3,0,2,0,1,0,0,0
1267894103,4,0,4,0,0,0,0,0
1268498903,1,0,1,0,0,0,0,0
1269103703,3,0,1,1,1,0,0,0
1269708503,1,0,1,0,0,0,0,0
1270313303,1,0,1,0,0,0,0,0
1270918103,2,0,2,0,0,0,0,0
1271522903,3,0,3,0,0,0,0,0
1272127703,1,0,1,0,0,0,0,0
1272732503,1,0,1,0,0,0,0,0
1273337303,2,0,1,1,0,0,0,0
1273942103,2,0,2,0,0,0,0,0
1274546903,2,0,2,0,0,0,0,0
1275151703,5,0,5,0,0,0,0,0
1275756503,1,0,1,0,0,0,0,0
1276361303,2,0,2,0,0,0,0,0
1276966103,1,0,1,0,0,0,0,0
1277570903,2,0,2,0,0,0,0,0
1278175703,4,0,2,2,0,0,0,0
1278780503,3,0,1,2,0,0,0,0
1279385303,14,0,0,10,2,0,2,0
1279990103,8,0,2,2,3,0,1,0
1280594903,41,1,1,17,11,0,11,0
1281199703,63,0,4,4,4,0,51,0
1281804503,49,0,2,25,13,0,9,0
1282409303,12,0,1,6,2,0,3,0
1283014103,36,0,0,19,8,0,9,0
1283618903,18,0,2,8,4,0,4,0
1284223703,9,0,0,7,2,0,0,0
1284828503,4,0,1,1,1,0,1,0
1285433303,2,0,2,0,0,0,0,0
1286038103,6,0,6,0,0,0,0,0
1286642903,0,0,0,0,0,0,0,0
1287247703,2,0,2,0,0,0,0,0
1287852503,6,0,4,2,0,0,0,0
1288457303,1,0,1,0,0,0,0,0
1289062103,3,0,3,0,0,0,0,0
1289666903,2,0,2,0,0,0,0,0
1290271703,4,0,4,0,0,0,0,0
1290876503,5,1,3,1,0,0,0,0
1291481303,11,1,0,6,2,0,2,0
1292086103,4,0,4,0,0,0,0,0
1292690903,1,0,0,0,1,0,0,0
1293295703,5,1,2,1,1,0,0,0
1293900503,4,0,3,1,0,0,0,0
1294505303,6,0,3,0,2,0,1,0
1295110103,3,0,1,1,1,0,0,0
1295714903,5,0,3,1,1,0,0,0
1296319703,2,0,1,1,0,0,0,0
1296924503,3,0,3,0,0,0,0,0
1297529303,3,0,3,0,0,0,0,0
1298134103,0,0,0,0,0,0,0,0
1298738903,2,0,2,0,0,0,0,0
1299343703,2,0,2,0,0,0,0,0
1299948503,3,0,3,0,0,0,0,0
1300553303,3,0,0,2,1,0,0,0
1301158103,0,0,0,0,0,0,0,0
1301762903,4,0,1,2,1,0,0,0
1302367703,4,0,4,0,0,0,0,0
1302972503,3,0,0,1,1,0,1,0
1303577303,3,0,3,0,0,0,0,0
1304182103,2,0,2,0,0,0,0,0
1304786903,4,0,4,0,0,0,0,0
1305391703,3,0,3,0,0,0,0,0
1305996503,1,0,1,0,0,0,0,0
1306601303,4,0,1,2,1,0,0,0
1307206103,2,0,0,1,0,0,1,0
1307810903,27,0,1,16,6,0,4,0
1308415703,4,0,1,1,0,0,2,0
1309020503,8,0,2,4,1,0,1,0
1309625303,4,0,2,1,0,0,1,0
1310230103,6,0,6,0,0,0,0,0
1310834903,6,0,3,1,1,0,1,0
1311439703,3,0,3,0,0,0,0,0
1312044503,28,1,2,15,7,0,3,0
1312649303,13,0,3,5,3,0,2,0
1313254103,4,0,3,0,0,0,1,0
1313858903,7,0,2,3,1,0,1,0
1314463703,8,0,1,3,1,0,3,0
1315068503,22,0,2,16,4,0,0,0
1315673303,14,0,3,5,3,1,2,0
1316278103,6,0,4,2,0,0,0,0
1316882903,8,0,1,4,1,0,2,0
1317487703,3,0,1,2,0,0,0,0
1318092503,0,0,0,0,0,0,0,0
1318697303,2,0,1,0,0,0,1,0
1319302103,14,0,3,3,3,3,2,0
1319906903,2,0,2,0,0,0,0,0
1320511703,16,0,3,12,1,0,0,0
1321116503,4,0,3,0,1,0,0,0
1321721303,9,0,2,5,2,0,0,0
1322326103,5,0,1,3,1,0,0,0
1322930903,20,1,2,14,3,0,0,0
1323535703,8,0,1,4,2,0,1,0
1324140503,10,0,1,4,4,0,1,0
1324745303,6,0,3,1,1,1,0,0
1325350103,1,0,0,0,1,0,0,0
1325954903,8,0,1,6,1,0,0,0
1326559703,0,0,0,0,0,0,0,0
1327164503,1,0,1,0,0,0,0,0
1327769303,2,0,2,0,0,0,0,0
1328374103,7,0,5,0,2,0,0,0
1328978903,4,0,3,1,0,0,0,0
1329583703,0,0,0,0,0,0,0,0
1330188503,4,0,4,0,0,0,0,0
1330793303,1,0,1,0,0,0,0,0
1331398103,2,0,1,1,0,0,0,0
1332002903,3,0,2,1,0,0,0,0
1332607703,5,0,4,0,1,0,0,0
1333212503,3,0,3,0,0,0,0,0
1333817303,1,0,1,0,0,0,0,0
1334422103,5,0,4,0,1,0,0,0
1335026903,5,0,4,1,0,0,0,0
1335631703,4,0,2,0,1,0,1,0
1336236503,5,0,2,0,1,0,2,0
1336841303,2,0,2,0,0,0,0,0
1337446103,4,0,4,0,0,0,0,0
1338050903,1,0,1,0,0,0,0,0
1338655703,4,0,4,0,0,0,0,0
1339260503,13,0,6,4,1,0,2,0
1339865303,8,0,3,4,1,0,0,0
1340470103,3,0,3,0,0,0,0,0
1341074903,6,0,5,1,0,0,0,0
1341679703,1,0,1,0,0,0,0,0
