date,total,accept,badge,comment,post,review,revision,suggest
1218499200,0,0,0,0,0,0,0,0
1219104000,0,0,0,0,0,0,0,0
1219708800,0,0,0,0,0,0,0,0
1220313600,0,0,0,0,0,0,0,0
1220918400,0,0,0,0,0,0,0,0
1221523200,0,0,0,0,0,0,0,0
1222128000,0,0,0,0,0,0,0,0
1222732800,0,0,0,0,0,0,0,0
1223337600,0,0,0,0,0,0,0,0
1223942400,0,0,0,0,0,0,0,0
1224547200,0,0,0,0,0,0,0,0
1225152000,0,0,0,0,0,0,0,0
1225756800,0,0,0,0,0,0,0,0
1226361600,0,0,0,0,0,0,0,0
1226966400,0,0,0,0,0,0,0,0
1227571200,0,0,0,0,0,0,0,0
1228176000,0,0,0,0,0,0,0,0
1228780800,0,0,0,0,0,0,0,0
1229385600,0,0,0,0,0,0,0,0
1229990400,0,0,0,0,0,0,0,0
1230595200,0,0,0,0,0,0,0,0
1231200000,0,0,0,0,0,0,0,0
1231804800,0,0,0,0,0,0,0,0
1232409600,0,0,0,0,0,0,0,0
1233014400,0,0,0,0,0,0,0,0
1233619200,0,0,0,0,0,0,0,0
1234224000,0,0,0,0,0,0,0,0
1234828800,0,0,0,0,0,0,0,0
1235433600,0,0,0,0,0,0,0,0
1236038400,0,0,0,0,0,0,0,0
1236643200,0,0,0,0,0,0,0,0
1237248000,0,0,0,0,0,0,0,0
1237852800,0,0,0,0,0,0,0,0
1238457600,0,0,0,0,0,0,0,0
1239062400,0,0,0,0,0,0,0,0
1239667200,0,0,0,0,0,0,0,0
1240272000,0,0,0,0,0,0,0,0
1240876800,0,0,0,0,0,0,0,0
1241481600,0,0,0,0,0,0,0,0
1242086400,0,0,0,0,0,0,0,0
1242691200,0,0,0,0,0,0,0,0
1243296000,0,0,0,0,0,0,0,0
1243900800,0,0,0,0,0,0,0,0
1244505600,0,0,0,0,0,0,0,0
1245110400,0,0,0,0,0,0,0,0
1245715200,0,0,0,0,0,0,0,0
1246320000,0,0,0,0,0,0,0,0
1246924800,0,0,0,0,0,0,0,0
1247529600,0,0,0,0,0,0,0,0
1248134400,0,0,0,0,0,0,0,0
1248739200,0,0,0,0,0,0,0,0
1249344000,0,0,0,0,0,0,0,0
1249948800,0,0,0,0,0,0,0,0
1250553600,0,0,0,0,0,0,0,0
1251158400,0,0,0,0,0,0,0,0
1251763200,0,0,0,0,0,0,0,0
1252368000,0,0,0,0,0,0,0,0
1252972800,0,0,0,0,0,0,0,0
1253577600,0,0,0,0,0,0,0,0
1254182400,0,0,0,0,0,0,0,0
1254787200,0,0,0,0,0,0,0,0
1255392000,0,0,0,0,0,0,0,0
1255996800,0,0,0,0,0,0,0,0
1256601600,0,0,0,0,0,0,0,0
1257206400,0,0,0,0,0,0,0,0
1257811200,0,0,0,0,0,0,0,0
1258416000,0,0,0,0,0,0,0,0
1259020800,0,0,0,0,0,0,0,0
1259625600,0,0,0,0,0,0,0,0
1260230400,0,0,0,0,0,0,0,0
1260835200,0,0,0,0,0,0,0,0
1261440000,0,0,0,0,0,0,0,0
1262044800,0,0,0,0,0,0,0,0
1262649600,0,0,0,0,0,0,0,0
1263254400,0,0,0,0,0,0,0,0
1263859200,0,0,0,0,0,0,0,0
1264464000,0,0,0,0,0,0,0,0
1265068800,0,0,0,0,0,0,0,0
1265673600,0,0,0,0,0,0,0,0
1266278400,0,0,0,0,0,0,0,0
1266883200,0,0,0,0,0,0,0,0
1267488000,0,0,0,0,0,0,0,0
1268092800,0,0,0,0,0,0,0,0
1268697600,0,0,0,0,0,0,0,0
1269302400,0,0,0,0,0,0,0,0
1269907200,0,0,0,0,0,0,0,0
1270512000,0,0,0,0,0,0,0,0
1271116800,0,0,0,0,0,0,0,0
1271721600,0,0,0,0,0,0,0,0
1272326400,0,0,0,0,0,0,0,0
1272931200,0,0,0,0,0,0,0,0
1273536000,0,0,0,0,0,0,0,0
1274140800,0,0,0,0,0,0,0,0
1274745600,0,0,0,0,0,0,0,0
1275350400,0,0,0,0,0,0,0,0
1275955200,0,0,0,0,0,0,0,0
1276560000,0,0,0,0,0,0,0,0
1277164800,0,0,0,0,0,0,0,0
1277769600,0,0,0,0,0,0,0,0
1278374400,0,0,0,0,0,0,0,0
1278979200,0,0,0,0,0,0,0,0
1279584000,0,0,0,0,0,0,0,0
1280188800,0,0,0,0,0,0,0,0
1280793600,0,0,0,0,0,0,0,0
1281398400,0,0,0,0,0,0,0,0
1282003200,0,0,0,0,0,0,0,0
1282608000,0,0,0,0,0,0,0,0
1283212800,0,0,0,0,0,0,0,0
1283817600,0,0,0,0,0,0,0,0
1284422400,0,0,0,0,0,0,0,0
1285027200,0,0,0,0,0,0,0,0
1285632000,0,0,0,0,0,0,0,0
1286236800,0,0,0,0,0,0,0,0
1286841600,0,0,0,0,0,0,0,0
1287446400,0,0,0,0,0,0,0,0
1288051200,0,0,0,0,0,0,0,0
1288656000,0,0,0,0,0,0,0,0
1289260800,0,0,0,0,0,0,0,0
1289865600,0,0,0,0,0,0,0,0
1290470400,0,0,0,0,0,0,0,0
1291075200,0,0,0,0,0,0,0,0
1291680000,0,0,0,0,0,0,0,0
1292284800,0,0,0,0,0,0,0,0
1292889600,0,0,0,0,0,0,0,0
1293494400,0,0,0,0,0,0,0,0
1294099200,0,0,0,0,0,0,0,0
1294704000,0,0,0,0,0,0,0,0
1295308800,0,0,0,0,0,0,0,0
1295913600,0,0,0,0,0,0,0,0
1296518400,0,0,0,0,0,0,0,0
1297123200,0,0,0,0,0,0,0,0
1297728000,0,0,0,0,0,0,0,0
1298332800,0,0,0,0,0,0,0,0
1298937600,0,0,0,0,0,0,0,0
1299542400,0,0,0,0,0,0,0,0
1300147200,0,0,0,0,0,0,0,0
1300752000,0,0,0,0,0,0,0,0
1301356800,1,0,0,0,1,0,0,0
1301961600,0,0,0,0,0,0,0,0
1302566400,0,0,0,0,0,0,0,0
1303171200,174,1,10,50,56,0,31,26
1303776000,98,1,3,20,24,0,37,13
1304380800,36,0,0,18,14,0,4,0
1304985600,94,0,2,47,27,0,10,8
1305590400,73,0,1,33,29,1,9,0
1306195200,175,0,4,85,58,0,28,0
1306800000,141,2,9,70,37,4,19,0
1307404800,74,1,3,38,23,1,8,0
1308009600,24,0,0,11,10,0,3,0
1308614400,57,1,1,24,18,4,9,0
1309219200,48,0,1,21,15,0,11,0
1309824000,74,0,1,40,22,2,9,0
1310428800,86,0,3,40,20,0,22,1
1311033600,70,1,3,39,15,1,11,0
1311638400,9,0,0,2,1,0,6,0
1312243200,10,0,0,4,3,0,3,0
1312848000,8,0,0,2,3,0,2,1
1313452800,19,2,1,8,7,0,1,0
1314057600,26,0,2,11,11,0,2,0
1314662400,74,1,2,44,13,0,14,0
1315267200,20,0,2,4,10,1,3,0
1315872000,30,0,0,7,16,0,7,0
1316476800,7,0,0,5,1,1,0,0
1317081600,38,0,0,21,8,0,9,0
1317686400,19,0,0,7,4,0,8,0
1318291200,44,0,2,19,10,0,13,0
1318896000,16,0,0,7,7,0,2,0
1319500800,53,0,0,31,13,2,7,0
1320105600,74,0,3,39,23,0,7,2
1320710400,86,0,1,29,12,35,9,0
1321315200,235,2,5,59,50,50,69,0
1321920000,189,0,2,47,41,36,60,3
1322524800,299,1,1,94,47,58,95,3
1323129600,407,4,3,94,38,170,97,1
1323734400,226,0,1,56,28,85,56,0
1324339200,223,0,0,72,39,55,56,1
1324944000,270,1,5,77,43,74,68,2
1325548800,182,0,0,59,37,43,43,0
1326153600,327,0,3,134,64,43,82,1
1326758400,300,0,0,76,38,136,50,0
1327363200,126,0,3,45,15,40,22,1
1327968000,247,1,2,101,41,45,57,0
1328572800,104,1,0,54,19,1,29,0
1329177600,107,0,1,56,23,2,24,1
1329782400,76,0,0,42,14,0,20,0
1330387200,270,0,2,106,60,25,73,4
1330992000,205,0,2,88,54,4,57,0
1331596800,130,0,1,41,38,10,39,1
1332201600,155,0,1,69,39,2,42,2
1332806400,201,1,6,80,32,9,72,1
1333411200,233,1,3,94,48,13,74,0
1334016000,210,0,4,86,44,30,44,2
1334620800,226,0,7,116,52,1,50,0
1335225600,160,0,0,87,33,3,36,1
1335830400,214,0,3,95,40,14,59,3
1336435200,153,0,0,77,30,2,43,1
1337040000,58,0,2,29,9,7,10,1
1337644800,58,0,1,26,18,1,12,0
1338249600,163,1,7,62,31,4,57,1
1338854400,85,0,0,50,13,0,20,2
1339459200,327,1,8,127,34,55,98,4
1340064000,202,0,3,68,18,31,79,3
1340668800,309,0,3,131,37,9,128,1
1341273600,232,0,6,116,40,6,64,0
1341878400,318,0,8,164,59,6,81,0
1342483200,185,0,2,62,16,51,54,0
1343088000,332,0,5,78,34,125,89,1
1343692800,331,0,7,132,62,53,77,0
1344297600,112,0,3,62,30,3,14,0
1344902400,91,0,6,40,13,14,18,0
1345507200,43,0,0,18,7,0,17,1
1346112000,216,0,2,122,34,12,46,0
1346716800,252,0,2,114,34,25,77,0
1347321600,88,0,2,49,17,1,19,0
1347926400,84,0,3,35,13,7,26,0
1348531200,56,0,2,30,7,1,16,0
1349136000,38,0,0,18,11,0,9,0
1349740800,24,0,3,12,3,0,6,0
1350345600,73,0,2,33,13,10,14,1
1350950400,9,0,0,1,3,0,5,0
1351555200,10,0,2,5,1,1,1,0
1352160000,56,1,0,25,3,14,13,0
1352764800,73,0,2,41,8,8,14,0
1353369600,76,0,0,41,8,11,16,0
1353974400,80,0,2,42,9,6,21,0
1354579200,47,0,0,21,4,6,16,0
1355184000,93,0,1,42,15,15,20,0
1355788800,180,0,2,85,37,7,49,0
1356393600,257,0,2,144,48,12,51,0
1356998400,150,0,0,94,29,4,23,0
1357603200,30,0,1,19,4,0,6,0
1358208000,73,0,2,49,11,0,11,0
1358812800,145,0,1,82,24,4,34,0
1359417600,26,0,3,5,0,15,3,0
1360022400,59,0,1,26,4,23,5,0
1360627200,22,1,1,13,5,0,2,0
1361232000,37,1,0,17,10,1,8,0
1361836800,20,0,3,5,3,7,2,0
1362441600,146,1,2,85,20,17,21,0
1363046400,331,1,5,92,15,185,33,0
1363651200,99,0,4,30,6,33,26,0
1364256000,10,0,0,5,0,4,1,0
1364860800,38,0,5,13,3,12,5,0
1365465600,61,0,2,18,1,25,15,0
1366070400,20,0,1,5,0,9,5,0
1366675200,192,0,3,73,15,62,39,0
1367280000,127,0,3,57,12,30,24,1
1367884800,226,0,2,74,18,89,42,1
1368489600,116,0,1,24,5,57,28,1
1369094400,71,0,2,25,2,31,10,1
1369699200,458,0,8,98,16,197,139,0
1370304000,76,0,1,26,4,17,28,0
1370908800,39,0,2,20,3,3,11,0
1371513600,107,0,1,58,14,2,32,0
1372118400,199,0,11,126,17,3,42,0
1372723200,517,0,1,132,43,227,114,0
1373328000,84,0,1,30,8,37,8,0
1373932800,250,0,4,98,20,84,44,0
1374537600,439,0,5,96,17,241,80,0
1375142400,160,0,2,61,6,62,29,0
1375747200,89,0,6,44,4,8,27,0
1376352000,485,1,4,121,15,270,74,0
1376956800,243,0,5,74,12,105,47,0
1377561600,105,0,7,32,4,38,24,0
1378166400,99,0,0,34,3,34,28,0
1378771200,304,0,10,71,17,152,54,0
1379376000,273,0,4,76,12,126,55,0
1379980800,265,0,12,65,24,112,52,0
1380585600,505,0,6,195,47,187,70,0
1381190400,95,0,2,48,7,18,20,0
1381795200,149,0,4,52,13,43,37,0
1382400000,127,0,1,54,13,40,19,0
1383004800,148,1,3,83,15,16,30,0
1383609600,341,0,1,81,13,202,44,0
1384214400,196,0,3,61,15,93,24,0
1384819200,104,0,2,20,4,61,17,0
1385424000,147,0,2,40,13,25,67,0
1386028800,81,0,5,23,5,16,32,0
1386633600,162,0,4,59,18,26,55,0
1387238400,64,0,2,34,6,9,13,0
1387843200,70,0,2,27,4,5,32,0
1388448000,55,0,1,29,10,3,12,0
1389052800,30,0,0,14,3,4,9,0
1389657600,84,0,1,41,8,13,21,0
1390262400,100,0,6,39,7,23,25,0
1390867200,53,0,3,25,6,12,7,0
1391472000,38,0,0,14,2,15,7,0
1392076800,56,1,6,26,6,7,10,0
1392681600,91,0,1,48,13,18,11,0
1393286400,66,0,3,22,3,30,8,0
1393891200,130,0,4,59,21,24,22,0
1394496000,133,0,3,68,12,25,25,0
1395100800,68,0,5,34,11,9,9,0
1395705600,41,0,4,22,5,1,9,0
1396310400,51,0,2,22,7,9,11,0
1396915200,31,0,1,16,4,5,5,0
1397520000,62,0,3,26,5,11,17,0
1398124800,30,0,7,10,5,1,7,0
1398729600,77,0,5,32,12,5,23,0
1399334400,238,0,2,49,20,119,48,0
1399939200,129,0,5,46,13,44,21,0
1400544000,104,0,6,65,12,3,18,0
1401148800,70,0,2,33,10,7,18,0
1401753600,38,0,2,26,2,0,7,1
1402358400,69,0,2,29,9,11,18,0
1402963200,23,0,1,10,5,2,5,0
1403568000,22,0,4,10,3,0,5,0
1404172800,142,0,2,94,24,3,19,0
1404777600,104,0,2,67,16,2,17,0
1405382400,177,0,6,87,13,40,31,0
1405987200,146,0,3,59,15,13,56,0
1406592000,135,0,2,84,16,3,30,0
1407196800,112,0,4,54,10,22,22,0
1407801600,56,0,2,32,4,8,10,0
1408406400,64,0,2,47,9,1,5,0
1409011200,97,0,2,47,16,15,17,0
1409616000,68,0,2,38,8,15,5,0
1410220800,86,0,0,39,4,22,21,0
1410825600,79,0,4,36,10,12,17,0
1411430400,14,0,0,4,1,0,9,0
1412035200,25,0,8,9,2,2,4,0
1412640000,32,0,5,13,3,1,10,0
1413244800,21,0,0,12,4,0,5,0
1413849600,13,0,2,5,3,0,3,0
1414454400,19,0,0,7,3,5,4,0
1415059200,15,0,0,1,2,7,5,0
1415664000,5,0,0,2,0,2,1,0
1416268800,12,0,2,5,3,0,2,0
1416873600,26,0,2,14,2,3,5,0
1417478400,62,0,0,23,8,14,17,0
1418083200,96,0,3,39,10,31,13,0
1418688000,38,0,6,13,2,8,9,0
1419292800,49,0,0,28,10,4,7,0
1419897600,60,0,0,30,8,9,13,0
1420502400,40,0,0,23,6,1,9,1
1421107200,20,0,0,14,3,0,3,0
1421712000,20,0,0,6,4,1,9,0
1422316800,6,0,3,2,0,0,1,0
1422921600,18,0,3,9,2,0,4,0
1423526400,6,0,1,5,0,0,0,0
1424131200,26,0,7,12,0,0,7,0
1424736000,12,0,0,7,2,0,3,0
1425340800,24,0,1,13,5,0,5,0
1425945600,7,0,0,3,1,0,3,0
1426550400,14,0,2,5,6,0,1,0
1427155200,11,0,3,7,1,0,0,0
1427760000,4,0,1,1,0,0,2,0
1428364800,29,0,1,11,5,5,7,0
1428969600,46,0,5,20,8,3,10,0
