date,total,accept,badge,comment,post,review,revision,suggest
1218542400,0,0,0,0,0,0,0,0
1219147200,0,0,0,0,0,0,0,0
1219752000,0,0,0,0,0,0,0,0
1220356800,0,0,0,0,0,0,0,0
1220961600,0,0,0,0,0,0,0,0
1221566400,0,0,0,0,0,0,0,0
1222171200,25,0,7,7,10,0,1,0
1222776000,34,1,3,21,5,0,4,0
1223380800,31,0,3,15,5,0,8,0
1223985600,27,0,1,14,7,0,5,0
1224590400,11,0,0,8,1,0,2,0
1225195200,13,0,0,5,5,0,3,0
1225800000,10,0,1,2,4,0,3,0
1226404800,22,0,1,12,5,0,4,0
1227009600,3,0,0,2,1,0,0,0
1227614400,12,0,1,6,5,0,0,0
1228219200,5,0,0,0,4,0,1,0
1228824000,13,0,2,7,2,0,2,0
1229428800,17,0,0,8,6,0,3,0
1230033600,23,0,0,8,7,0,8,0
1230638400,11,0,0,1,4,0,6,0
1231243200,11,0,0,4,2,0,5,0
1231848000,41,0,0,16,4,0,21,0
1232452800,51,0,1,23,8,0,19,0
1233057600,56,0,2,17,10,0,27,0
1233662400,33,0,1,13,7,0,12,0
1234267200,60,1,0,29,15,0,15,0
1234872000,53,0,1,28,12,0,12,0
1235476800,62,0,0,32,11,0,19,0
1236081600,128,0,7,54,14,0,53,0
1236686400,86,0,2,39,8,0,37,0
1237291200,112,0,1,57,6,0,48,0
1237896000,100,0,1,36,14,0,49,0
1238500800,104,0,6,31,12,0,55,0
1239105600,116,0,1,44,11,0,60,0
1239710400,93,0,2,42,11,0,38,0
1240315200,133,0,5,55,21,0,52,0
1240920000,144,0,7,64,20,0,53,0
1241524800,205,0,4,82,23,0,96,0
1242129600,142,0,2,58,17,0,65,0
1242734400,150,0,2,64,24,0,60,0
1243339200,131,0,3,66,16,0,46,0
1243944000,78,0,0,39,11,0,28,0
1244548800,165,0,0,96,18,0,51,0
1245153600,152,0,9,78,16,0,49,0
1245758400,132,0,3,80,17,0,32,0
1246363200,171,1,8,99,17,0,46,0
1246968000,117,0,2,80,15,0,20,0
1247572800,1,0,1,0,0,0,0,0
1248177600,37,0,2,23,6,0,6,0
1248782400,146,2,6,96,18,0,24,0
1249387200,128,0,6,79,16,0,27,0
1249992000,103,0,6,63,12,0,22,0
1250596800,69,0,5,46,4,0,14,0
1251201600,67,0,0,48,5,0,14,0
