date,total,accept,badge,comment,post,review,revision,suggest
1218542400,0,0,0,0,0,0,0,0
1219147200,0,0,0,0,0,0,0,0
1219752000,0,0,0,0,0,0,0,0
1220356800,0,0,0,0,0,0,0,0
1220961600,0,0,0,0,0,0,0,0
1221566400,0,0,0,0,0,0,0,0
1222171200,6,0,5,0,1,0,0,0
1222776000,1,0,1,0,0,0,0,0
1223380800,0,0,0,0,0,0,0,0
1223985600,0,0,0,0,0,0,0,0
1224590400,5,0,1,2,1,0,1,0
1225195200,3,1,0,0,2,0,0,0
1225800000,6,0,3,2,1,0,0,0
1226404800,4,0,1,2,1,0,0,0
1227009600,41,2,5,8,15,0,11,0
1227614400,42,0,3,15,7,0,17,0
1228219200,29,1,0,8,0,0,20,0
1228824000,62,1,1,26,12,0,22,0
1229428800,162,2,1,65,26,0,68,0
1230033600,100,0,2,35,18,0,45,0
1230638400,66,0,3,26,9,0,28,0
1231243200,41,0,3,18,1,0,19,0
1231848000,52,1,1,27,8,0,15,0
1232452800,54,0,2,23,4,0,25,0
1233057600,93,1,2,37,6,0,47,0
1233662400,36,1,1,24,1,0,9,0
1234267200,61,0,1,33,5,0,22,0
1234872000,42,1,0,21,1,0,19,0
1235476800,81,0,2,18,4,0,57,0
1236081600,128,2,1,55,5,0,65,0
1236686400,118,2,0,42,2,0,72,0
1237291200,73,0,2,32,8,0,31,0
1237896000,65,1,2,30,7,0,25,0
1238500800,70,1,1,23,1,0,44,0
1239105600,33,0,2,5,5,0,21,0
1239710400,35,0,0,3,4,0,28,0
1240315200,21,1,2,8,1,0,9,0
1240920000,35,0,2,8,3,0,22,0
1241524800,25,1,1,4,2,0,17,0
1242129600,16,0,1,1,1,0,13,0
1242734400,12,0,0,4,0,0,8,0
1243339200,7,0,2,2,1,0,2,0
1243944000,23,0,2,4,10,0,7,0
1244548800,27,0,0,4,5,0,18,0
1245153600,117,0,2,24,31,0,60,0
1245758400,57,0,0,8,6,0,43,0
1246363200,10,0,5,0,3,0,2,0
1246968000,21,3,4,9,3,0,2,0
1247572800,16,1,2,3,3,0,7,0
1248177600,33,0,1,10,4,0,18,0
1248782400,60,1,9,19,7,0,24,0
1249387200,24,0,3,5,3,0,13,0
1249992000,15,1,1,2,2,0,9,0
1250596800,16,0,1,5,3,0,7,0
1251201600,17,0,1,6,4,0,6,0
