date,total,accept,badge,comment,post,review,revision,suggest
1218542400,0,0,0,0,0,0,0,0
1219147200,0,0,0,0,0,0,0,0
1219752000,13,2,0,0,9,0,2,0
1220356800,10,2,0,0,8,0,0,0
1220961600,11,2,0,0,9,0,0,0
1221566400,48,4,8,9,24,0,3,0
1222171200,35,0,6,7,14,0,8,0
1222776000,48,2,9,8,18,0,11,0
1223380800,65,1,6,17,32,0,9,0
1223985600,61,1,4,17,28,0,11,0
1224590400,65,1,8,20,27,0,9,0
1225195200,111,2,5,42,41,0,21,0
1225800000,112,0,11,51,41,0,9,0
1226404800,153,1,3,60,55,0,34,0
1227009600,133,1,10,48,35,0,39,0
1227614400,143,5,19,67,30,0,22,0
1228219200,66,2,3,28,16,0,17,0
1228824000,96,5,4,49,29,0,9,0
1229428800,123,2,6,54,33,0,28,0
1230033600,76,3,1,29,21,0,22,0
1230638400,45,1,3,23,14,0,4,0
1231243200,44,2,6,15,15,0,6,0
1231848000,70,3,8,35,21,0,3,0
1232452800,42,0,5,14,14,0,9,0
1233057600,86,2,5,26,33,0,20,0
1233662400,86,5,6,45,22,0,8,0
1234267200,49,1,7,17,20,0,4,0
1234872000,59,1,6,19,23,0,10,0
1235476800,73,0,12,21,23,0,17,0
1236081600,43,0,8,15,6,0,14,0
1236686400,57,0,3,29,15,0,10,0
1237291200,34,1,4,12,8,0,9,0
1237896000,40,0,1,11,20,0,8,0
1238500800,78,4,4,38,18,0,14,0
1239105600,63,0,4,25,17,0,17,0
1239710400,29,0,2,13,8,0,6,0
1240315200,20,0,6,1,8,0,5,0
1240920000,25,0,2,10,8,0,5,0
1241524800,17,0,4,6,3,0,4,0
1242129600,17,0,4,3,8,0,2,0
1242734400,38,0,3,17,12,0,6,0
1243339200,66,0,5,30,16,0,15,0
1243944000,30,0,7,11,6,0,6,0
1244548800,61,0,3,27,19,0,12,0
1245153600,30,0,3,10,10,0,7,0
1245758400,35,0,4,16,11,0,4,0
1246363200,56,0,4,20,19,0,13,0
1246968000,14,0,1,10,2,0,1,0
1247572800,74,0,4,37,19,0,14,0
1248177600,92,0,6,42,18,0,26,0
1248782400,95,0,8,36,19,0,32,0
1249387200,44,0,5,20,7,0,12,0
1249992000,69,0,8,31,14,0,16,0
1250596800,84,0,4,42,18,0,20,0
1251201600,88,0,2,53,16,0,17,0
