date,total,accept,badge,comment,post,review,revision,suggest
1218542400,0,0,0,0,0,0,0,0
1219147200,0,0,0,0,0,0,0,0
1219752000,0,0,0,0,0,0,0,0
1220356800,0,0,0,0,0,0,0,0
1220961600,0,0,0,0,0,0,0,0
1221566400,0,0,0,0,0,0,0,0
1222171200,0,0,0,0,0,0,0,0
1222776000,0,0,0,0,0,0,0,0
1223380800,2,0,0,1,1,0,0,0
1223985600,1,0,0,0,1,0,0,0
1224590400,2,0,0,1,1,0,0,0
1225195200,7,0,0,5,2,0,0,0
1225800000,2,0,0,1,1,0,0,0
1226404800,3,0,0,2,1,0,0,0
1227009600,7,0,0,5,2,0,0,0
1227614400,35,2,0,25,8,0,0,0
1228219200,4,0,0,4,0,0,0,0
1228824000,0,0,0,0,0,0,0,0
1229428800,13,0,0,11,2,0,0,0
1230033600,0,0,0,0,0,0,0,0
1230638400,10,0,0,9,1,0,0,0
1231243200,0,0,0,0,0,0,0,0
1231848000,1,0,0,1,0,0,0,0
1232452800,1,0,0,0,1,0,0,0
1233057600,0,0,0,0,0,0,0,0
1233662400,2,0,0,2,0,0,0,0
1234267200,3,0,0,2,1,0,0,0
1234872000,0,0,0,0,0,0,0,0
1235476800,0,0,0,0,0,0,0,0
1236081600,0,0,0,0,0,0,0,0
1236686400,2,0,0,2,0,0,0,0
1237291200,0,0,0,0,0,0,0,0
1237896000,0,0,0,0,0,0,0,0
1238500800,2,0,0,2,0,0,0,0
1239105600,0,0,0,0,0,0,0,0
1239710400,2,0,0,2,0,0,0,0
1240315200,0,0,0,0,0,0,0,0
1240920000,0,0,0,0,0,0,0,0
1241524800,0,0,0,0,0,0,0,0
1242129600,0,0,0,0,0,0,0,0
1242734400,0,0,0,0,0,0,0,0
1243339200,0,0,0,0,0,0,0,0
1243944000,0,0,0,0,0,0,0,0
1244548800,1,0,0,1,0,0,0,0
1245153600,1,0,0,1,0,0,0,0
1245758400,0,0,0,0,0,0,0,0
1246363200,20,0,2,11,7,0,0,0
1246968000,12,0,0,10,2,0,0,0
1247572800,53,0,2,28,15,0,8,0
1248177600,61,0,4,28,10,0,19,0
1248782400,43,0,6,20,9,0,8,0
1249387200,11,0,1,7,1,0,2,0
1249992000,27,0,4,16,7,0,0,0
1250596800,52,0,2,35,12,0,3,0
1251201600,69,0,2,47,11,0,9,0
