date,total,accept,badge,comment,post,review,revision,suggest
1218499200,0,0,0,0,0,0,0,0
1219104000,0,0,0,0,0,0,0,0
1219708800,0,0,0,0,0,0,0,0
1220313600,0,0,0,0,0,0,0,0
1220918400,0,0,0,0,0,0,0,0
1221523200,0,0,0,0,0,0,0,0
1222128000,0,0,0,0,0,0,0,0
1222732800,0,0,0,0,0,0,0,0
1223337600,0,0,0,0,0,0,0,0
1223942400,0,0,0,0,0,0,0,0
1224547200,0,0,0,0,0,0,0,0
1225152000,0,0,0,0,0,0,0,0
1225756800,0,0,0,0,0,0,0,0
1226361600,0,0,0,0,0,0,0,0
1226966400,0,0,0,0,0,0,0,0
1227571200,0,0,0,0,0,0,0,0
1228176000,0,0,0,0,0,0,0,0
1228780800,0,0,0,0,0,0,0,0
1229385600,0,0,0,0,0,0,0,0
1229990400,0,0,0,0,0,0,0,0
1230595200,0,0,0,0,0,0,0,0
1231200000,0,0,0,0,0,0,0,0
1231804800,2,0,0,1,1,0,0,0
1232409600,1,0,0,1,0,0,0,0
1233014400,0,0,0,0,0,0,0,0
1233619200,2,0,0,2,0,0,0,0
1234224000,0,0,0,0,0,0,0,0
1234828800,1,0,0,0,1,0,0,0
1235433600,1,0,0,1,0,0,0,0
1236038400,2,0,0,2,0,0,0,0
1236643200,1,0,0,1,0,0,0,0
1237248000,1,0,0,1,0,0,0,0
1237852800,0,0,0,0,0,0,0,0
1238457600,0,0,0,0,0,0,0,0
1239062400,1,0,0,1,0,0,0,0
1239667200,1,0,0,1,0,0,0,0
1240272000,0,0,0,0,0,0,0,0
1240876800,3,0,0,3,0,0,0,0
1241481600,0,0,0,0,0,0,0,0
1242086400,0,0,0,0,0,0,0,0
1242691200,2,0,0,1,1,0,0,0
1243296000,3,0,0,3,0,0,0,0
1243900800,0,0,0,0,0,0,0,0
1244505600,0,0,0,0,0,0,0,0
1245110400,1,0,0,1,0,0,0,0
1245715200,1,0,0,1,0,0,0,0
1246320000,20,0,3,15,1,0,1,0
1246924800,41,0,1,34,6,0,0,0
1247529600,2,0,0,2,0,0,0,0
1248134400,16,0,1,12,3,0,0,0
1248739200,51,0,3,38,7,0,3,0
1249344000,68,0,4,53,8,0,3,0
1249948800,52,0,2,40,7,0,3,0
1250553600,42,0,4,34,3,0,1,0
1251158400,37,0,0,33,2,0,2,0
1251763200,0,0,0,0,0,0,0,0
1252368000,0,0,0,0,0,0,0,0
1252972800,16,0,0,16,0,0,0,0
1253577600,10,0,0,10,0,0,0,0
1254182400,15,0,0,12,3,0,0,0
1254787200,30,0,0,27,1,0,2,0
1255392000,30,0,1,26,2,0,1,0
1255996800,35,0,1,26,5,0,3,0
1256601600,13,0,2,8,0,0,3,0
1257206400,24,0,1,18,4,0,1,0
1257811200,38,0,2,24,2,0,10,0
1258416000,28,0,1,20,2,0,5,0
1259020800,28,0,0,25,1,0,2,0
1259625600,16,0,1,8,3,0,4,0
1260230400,38,0,2,28,1,0,7,0
1260835200,32,1,1,21,4,0,5,0
1261440000,23,0,3,13,3,0,4,0
1262044800,28,0,0,23,2,0,3,0
1262649600,21,0,1,17,0,0,3,0
1263254400,20,0,1,15,1,0,3,0
1263859200,55,0,4,39,4,0,8,0
1264464000,26,0,1,18,1,0,6,0
1265068800,33,0,0,22,4,0,7,0
1265673600,50,0,1,38,2,0,9,0
1266278400,42,0,0,35,2,0,5,0
1266883200,14,0,0,13,1,0,0,0
1267488000,25,0,0,18,0,0,7,0
1268092800,44,0,2,34,4,0,4,0
1268697600,40,0,0,35,3,0,2,0
1269302400,69,0,0,56,6,0,7,0
1269907200,48,0,0,36,3,0,9,0
1270512000,54,0,0,37,5,0,12,0
1271116800,66,1,4,41,8,0,12,0
1271721600,23,0,2,16,2,0,3,0
1272326400,12,0,2,7,1,0,2,0
1272931200,18,0,0,17,0,0,1,0
1273536000,46,0,2,32,6,0,6,0
1274140800,23,0,2,17,2,0,2,0
1274745600,29,1,3,19,3,0,3,0
1275350400,20,0,1,11,2,0,6,0
1275955200,29,0,0,23,1,0,5,0
1276560000,27,0,0,25,1,0,1,0
1277164800,41,0,0,34,3,0,4,0
1277769600,27,0,1,23,2,0,1,0
1278374400,20,1,0,16,0,0,3,0
1278979200,43,0,0,34,6,0,3,0
1279584000,19,0,0,15,0,0,4,0
1280188800,63,0,2,49,4,0,8,0
1280793600,37,0,0,32,2,0,3,0
1281398400,11,0,0,10,0,0,1,0
1282003200,34,0,1,24,4,0,5,0
1282608000,28,1,2,18,1,0,6,0
1283212800,13,0,0,13,0,0,0,0
1283817600,8,0,0,7,1,0,0,0
1284422400,10,0,0,8,1,0,1,0
1285027200,14,0,0,13,0,0,1,0
1285632000,15,0,0,11,2,0,2,0
1286236800,22,0,0,17,1,0,4,0
1286841600,8,0,0,7,0,0,1,0
1287446400,1,0,1,0,0,0,0,0
1288051200,3,0,2,0,0,0,1,0
1288656000,6,0,0,5,0,0,1,0
1289260800,19,0,1,16,1,0,1,0
1289865600,21,0,0,18,1,0,2,0
1290470400,13,0,2,10,1,0,0,0
1291075200,4,0,0,3,0,0,1,0
1291680000,18,0,1,16,0,0,1,0
1292284800,7,0,0,6,0,0,1,0
1292889600,6,0,0,4,1,0,1,0
1293494400,28,0,0,17,5,0,6,0
1294099200,20,0,3,16,0,0,1,0
1294704000,10,0,1,7,0,0,2,0
1295308800,10,0,0,6,1,0,3,0
1295913600,13,0,0,8,1,0,4,0
1296518400,20,0,0,15,0,0,5,0
1297123200,19,0,0,13,4,0,2,0
1297728000,13,0,0,9,1,2,1,0
1298332800,21,0,0,15,2,0,4,0
1298937600,30,0,2,18,4,2,4,0
1299542400,25,0,1,19,3,0,2,0
1300147200,15,0,1,13,1,0,0,0
1300752000,24,0,2,18,1,2,1,0
1301356800,8,0,0,4,2,0,2,0
1301961600,16,0,1,10,2,1,2,0
1302566400,31,0,1,23,5,0,2,0
1303171200,17,0,1,11,1,1,3,0
1303776000,7,0,0,5,1,0,1,0
1304380800,20,0,0,13,3,0,4,0
1304985600,20,0,0,16,1,1,2,0
1305590400,24,0,0,20,1,1,2,0
1306195200,16,0,1,13,2,0,0,0
1306800000,16,0,0,12,2,1,1,0
1307404800,10,0,0,9,1,0,0,0
1308009600,10,0,1,6,1,0,2,0
1308614400,27,0,0,20,2,0,5,0
1309219200,16,0,0,13,1,0,2,0
1309824000,5,0,1,3,0,0,1,0
1310428800,12,0,2,5,1,0,4,0
1311033600,27,0,7,12,6,0,2,0
1311638400,11,0,2,4,0,0,5,0
1312243200,22,0,3,10,2,0,7,0
1312848000,12,0,2,4,1,2,3,0
1313452800,12,0,2,5,1,4,0,0
1314057600,11,0,2,3,0,4,2,0
1314662400,9,0,1,2,0,3,3,0
1315267200,21,0,5,10,1,2,3,0
1315872000,17,0,1,12,1,1,2,0
1316476800,6,0,0,4,0,1,1,0
1317081600,1,0,0,1,0,0,0,0
1317686400,1,0,0,1,0,0,0,0
1318291200,3,0,1,1,0,1,0,0
1318896000,2,0,0,0,0,2,0,0
1319500800,4,0,0,2,0,0,2,0
1320105600,13,0,2,8,1,1,1,0
1320710400,6,0,0,4,0,0,2,0
1321315200,4,0,0,2,0,2,0,0
1321920000,1,0,0,0,0,0,1,0
1322524800,6,0,1,4,0,0,1,0
1323129600,5,0,0,3,0,1,1,0
1323734400,9,0,2,5,1,1,0,0
1324339200,8,0,0,2,0,2,4,0
1324944000,7,0,1,2,0,2,2,0
1325548800,2,0,0,1,0,0,1,0
1326153600,5,0,0,3,2,0,0,0
1326758400,8,0,0,6,0,0,2,0
1327363200,2,0,0,0,1,1,0,0
1327968000,4,0,2,0,1,0,1,0
1328572800,6,0,0,3,1,1,1,0
1329177600,7,0,0,6,0,0,1,0
1329782400,3,0,0,1,0,1,1,0
1330387200,15,0,0,12,0,0,3,0
1330992000,16,0,2,14,0,0,0,0
1331596800,4,0,0,2,0,2,0,0
1332201600,13,0,0,7,1,4,1,0
1332806400,4,0,0,1,0,1,2,0
1333411200,4,0,0,0,0,3,1,0
1334016000,4,0,0,0,0,2,2,0
1334620800,2,0,0,0,0,0,2,0
1335225600,3,0,0,1,0,1,1,0
1335830400,0,0,0,0,0,0,0,0
1336435200,10,0,2,5,2,0,1,0
1337040000,7,0,1,5,1,0,0,0
1337644800,4,0,0,2,0,2,0,0
1338249600,3,0,0,3,0,0,0,0
1338854400,4,0,0,2,0,2,0,0
1339459200,9,0,1,4,0,1,3,0
1340064000,1,0,0,0,0,0,1,0
1340668800,4,0,2,0,0,1,1,0
1341273600,8,0,1,5,0,1,1,0
1341878400,1,0,0,1,0,0,0,0
1342483200,3,0,0,2,0,1,0,0
1343088000,5,0,0,2,0,3,0,0
1343692800,5,0,1,2,0,0,2,0
1344297600,0,0,0,0,0,0,0,0
1344902400,0,0,0,0,0,0,0,0
1345507200,2,0,0,0,0,2,0,0
1346112000,1,0,0,1,0,0,0,0
1346716800,0,0,0,0,0,0,0,0
1347321600,0,0,0,0,0,0,0,0
1347926400,1,0,0,1,0,0,0,0
1348531200,1,0,1,0,0,0,0,0
1349136000,3,0,0,3,0,0,0,0
1349740800,1,0,0,0,0,0,1,0
1350345600,3,0,1,1,0,1,0,0
1350950400,1,0,0,1,0,0,0,0
1351555200,1,0,0,1,0,0,0,0
1352160000,3,0,0,2,0,1,0,0
1352764800,3,0,1,0,0,1,1,0
1353369600,0,0,0,0,0,0,0,0
1353974400,0,0,0,0,0,0,0,0
1354579200,3,0,1,1,0,0,1,0
1355184000,2,0,0,1,0,1,0,0
1355788800,5,0,2,0,2,0,1,0
1356393600,16,0,2,4,1,5,4,0
1356998400,1,0,0,0,0,0,1,0
1357603200,4,0,2,2,0,0,0,0
1358208000,2,0,0,2,0,0,0,0
1358812800,2,0,0,0,0,2,0,0
1359417600,5,0,0,2,0,2,1,0
1360022400,3,0,0,2,0,1,0,0
1360627200,0,0,0,0,0,0,0,0
1361232000,3,0,2,1,0,0,0,0
1361836800,0,0,0,0,0,0,0,0
1362441600,1,0,0,1,0,0,0,0
1363046400,7,0,3,2,0,2,0,0
1363651200,7,0,0,5,0,0,2,0
1364256000,4,0,0,3,0,1,0,0
1364860800,3,0,0,1,0,2,0,0
1365465600,2,0,0,1,0,1,0,0
1366070400,0,0,0,0,0,0,0,0
1366675200,1,0,0,1,0,0,0,0
1367280000,3,0,0,2,0,1,0,0
1367884800,7,0,0,7,0,0,0,0
1368489600,2,0,0,2,0,0,0,0
1369094400,1,0,1,0,0,0,0,0
1369699200,2,0,0,1,0,0,1,0
1370304000,0,0,0,0,0,0,0,0
1370908800,1,0,0,0,0,0,1,0
1371513600,3,0,0,2,0,0,1,0
1372118400,1,0,0,0,0,0,1,0
1372723200,4,0,1,2,0,1,0,0
1373328000,3,0,0,2,0,1,0,0
1373932800,3,0,0,2,0,1,0,0
1374537600,7,0,0,3,0,3,1,0
1375142400,0,0,0,0,0,0,0,0
1375747200,4,0,1,1,1,1,0,0
1376352000,0,0,0,0,0,0,0,0
1376956800,1,0,0,1,0,0,0,0
1377561600,1,0,0,1,0,0,0,0
1378166400,2,0,0,1,0,1,0,0
1378771200,2,0,0,2,0,0,0,0
1379376000,1,0,0,1,0,0,0,0
1379980800,0,0,0,0,0,0,0,0
1380585600,0,0,0,0,0,0,0,0
1381190400,1,0,0,1,0,0,0,0
1381795200,2,0,0,1,0,1,0,0
1382400000,0,0,0,0,0,0,0,0
1383004800,0,0,0,0,0,0,0,0
1383609600,0,0,0,0,0,0,0,0
1384214400,0,0,0,0,0,0,0,0
1384819200,0,0,0,0,0,0,0,0
1385424000,1,0,0,1,0,0,0,0
1386028800,0,0,0,0,0,0,0,0
1386633600,0,0,0,0,0,0,0,0
1387238400,0,0,0,0,0,0,0,0
1387843200,2,0,0,2,0,0,0,0
1388448000,2,0,0,2,0,0,0,0
1389052800,0,0,0,0,0,0,0,0
1389657600,0,0,0,0,0,0,0,0
1390262400,0,0,0,0,0,0,0,0
1390867200,0,0,0,0,0,0,0,0
1391472000,0,0,0,0,0,0,0,0
1392076800,1,0,0,1,0,0,0,0
1392681600,0,0,0,0,0,0,0,0
1393286400,0,0,0,0,0,0,0,0
1393891200,2,0,2,0,0,0,0,0
1394496000,0,0,0,0,0,0,0,0
1395100800,0,0,0,0,0,0,0,0
1395705600,1,0,0,1,0,0,0,0
1396310400,1,0,0,0,0,0,1,0
1396915200,0,0,0,0,0,0,0,0
1397520000,0,0,0,0,0,0,0,0
1398124800,4,0,0,3,0,0,1,0
1398729600,2,0,0,1,0,1,0,0
1399334400,2,0,0,2,0,0,0,0
1399939200,5,0,0,1,0,4,0,0
1400544000,11,0,0,2,0,8,1,0
1401148800,0,0,0,0,0,0,0,0
1401753600,2,0,0,1,0,1,0,0
1402358400,2,0,0,1,0,0,1,0
1402963200,0,0,0,0,0,0,0,0
1403568000,1,0,0,0,0,1,0,0
1404172800,3,0,1,0,1,0,1,0
1404777600,17,0,3,2,0,12,0,0
1405382400,17,0,0,0,0,17,0,0
1405987200,14,0,0,1,0,13,0,0
1406592000,9,0,0,0,0,9,0,0
1407196800,3,0,0,0,0,3,0,0
1407801600,6,0,0,2,1,2,1,0
1408406400,35,0,0,1,0,34,0,0
1409011200,3,0,0,1,0,2,0,0
1409616000,11,0,2,0,0,9,0,0
1410220800,27,0,1,0,0,26,0,0
1410825600,7,0,2,0,0,4,1,0
1411430400,2,0,0,0,0,2,0,0
1412035200,6,0,0,4,0,2,0,0
1412640000,10,0,1,4,0,4,1,0
1413244800,0,0,0,0,0,0,0,0
1413849600,0,0,0,0,0,0,0,0
1414454400,0,0,0,0,0,0,0,0
1415059200,0,0,0,0,0,0,0,0
1415664000,4,0,0,1,0,3,0,0
1416268800,0,0,0,0,0,0,0,0
1416873600,2,0,0,1,0,1,0,0
1417478400,0,0,0,0,0,0,0,0
1418083200,21,0,0,2,0,19,0,0
1418688000,5,0,0,3,0,0,2,0
1419292800,2,0,0,0,0,0,2,0
1419897600,21,0,0,0,0,21,0,0
1420502400,3,0,0,1,0,2,0,0
1421107200,0,0,0,0,0,0,0,0
1421712000,2,0,0,0,0,1,1,0
1422316800,4,0,0,2,0,2,0,0
1422921600,2,0,0,0,0,2,0,0
1423526400,0,0,0,0,0,0,0,0
1424131200,0,0,0,0,0,0,0,0
1424736000,3,0,1,0,0,2,0,0
1425340800,0,0,0,0,0,0,0,0
1425945600,0,0,0,0,0,0,0,0
1426550400,1,0,0,0,0,1,0,0
1427155200,1,0,0,1,0,0,0,0
1427760000,4,0,2,0,0,1,1,0
1428364800,6,0,0,6,0,0,0,0
1428969600,1,0,0,1,0,0,0,0
