date,total,accept,badge,comment,post,review,revision,suggest
1218499200,0,0,0,0,0,0,0,0
1219104000,0,0,0,0,0,0,0,0
1219708800,0,0,0,0,0,0,0,0
1220313600,0,0,0,0,0,0,0,0
1220918400,0,0,0,0,0,0,0,0
1221523200,0,0,0,0,0,0,0,0
1222128000,0,0,0,0,0,0,0,0
1222732800,0,0,0,0,0,0,0,0
1223337600,0,0,0,0,0,0,0,0
1223942400,0,0,0,0,0,0,0,0
1224547200,0,0,0,0,0,0,0,0
1225152000,0,0,0,0,0,0,0,0
1225756800,0,0,0,0,0,0,0,0
1226361600,0,0,0,0,0,0,0,0
1226966400,0,0,0,0,0,0,0,0
1227571200,0,0,0,0,0,0,0,0
1228176000,0,0,0,0,0,0,0,0
1228780800,0,0,0,0,0,0,0,0
1229385600,0,0,0,0,0,0,0,0
1229990400,0,0,0,0,0,0,0,0
1230595200,0,0,0,0,0,0,0,0
1231200000,0,0,0,0,0,0,0,0
1231804800,0,0,0,0,0,0,0,0
1232409600,0,0,0,0,0,0,0,0
1233014400,0,0,0,0,0,0,0,0
1233619200,1,0,0,0,1,0,0,0
1234224000,0,0,0,0,0,0,0,0
1234828800,0,0,0,0,0,0,0,0
1235433600,0,0,0,0,0,0,0,0
1236038400,0,0,0,0,0,0,0,0
1236643200,0,0,0,0,0,0,0,0
1237248000,0,0,0,0,0,0,0,0
1237852800,0,0,0,0,0,0,0,0
1238457600,0,0,0,0,0,0,0,0
1239062400,0,0,0,0,0,0,0,0
1239667200,0,0,0,0,0,0,0,0
1240272000,0,0,0,0,0,0,0,0
1240876800,0,0,0,0,0,0,0,0
1241481600,0,0,0,0,0,0,0,0
1242086400,0,0,0,0,0,0,0,0
1242691200,0,0,0,0,0,0,0,0
1243296000,0,0,0,0,0,0,0,0
1243900800,0,0,0,0,0,0,0,0
1244505600,0,0,0,0,0,0,0,0
1245110400,0,0,0,0,0,0,0,0
1245715200,0,0,0,0,0,0,0,0
1246320000,0,0,0,0,0,0,0,0
1246924800,0,0,0,0,0,0,0,0
1247529600,0,0,0,0,0,0,0,0
1248134400,0,0,0,0,0,0,0,0
1248739200,0,0,0,0,0,0,0,0
1249344000,0,0,0,0,0,0,0,0
1249948800,0,0,0,0,0,0,0,0
1250553600,0,0,0,0,0,0,0,0
1251158400,0,0,0,0,0,0,0,0
1251763200,0,0,0,0,0,0,0,0
1252368000,0,0,0,0,0,0,0,0
1252972800,0,0,0,0,0,0,0,0
1253577600,0,0,0,0,0,0,0,0
1254182400,0,0,0,0,0,0,0,0
1254787200,0,0,0,0,0,0,0,0
1255392000,0,0,0,0,0,0,0,0
1255996800,0,0,0,0,0,0,0,0
1256601600,0,0,0,0,0,0,0,0
1257206400,0,0,0,0,0,0,0,0
1257811200,0,0,0,0,0,0,0,0
1258416000,0,0,0,0,0,0,0,0
1259020800,0,0,0,0,0,0,0,0
1259625600,0,0,0,0,0,0,0,0
1260230400,0,0,0,0,0,0,0,0
1260835200,0,0,0,0,0,0,0,0
1261440000,0,0,0,0,0,0,0,0
1262044800,6,2,2,2,0,0,0,0
1262649600,1,0,1,0,0,0,0,0
1263254400,0,0,0,0,0,0,0,0
1263859200,0,0,0,0,0,0,0,0
1264464000,0,0,0,0,0,0,0,0
1265068800,0,0,0,0,0,0,0,0
1265673600,0,0,0,0,0,0,0,0
1266278400,0,0,0,0,0,0,0,0
1266883200,8,0,2,3,1,0,2,0
1267488000,1,0,0,1,0,0,0,0
1268092800,0,0,0,0,0,0,0,0
1268697600,0,0,0,0,0,0,0,0
1269302400,0,0,0,0,0,0,0,0
1269907200,0,0,0,0,0,0,0,0
1270512000,0,0,0,0,0,0,0,0
1271116800,0,0,0,0,0,0,0,0
1271721600,0,0,0,0,0,0,0,0
1272326400,0,0,0,0,0,0,0,0
1272931200,0,0,0,0,0,0,0,0
1273536000,0,0,0,0,0,0,0,0
1274140800,0,0,0,0,0,0,0,0
1274745600,0,0,0,0,0,0,0,0
1275350400,0,0,0,0,0,0,0,0
1275955200,0,0,0,0,0,0,0,0
1276560000,0,0,0,0,0,0,0,0
1277164800,0,0,0,0,0,0,0,0
1277769600,0,0,0,0,0,0,0,0
1278374400,0,0,0,0,0,0,0,0
1278979200,0,0,0,0,0,0,0,0
1279584000,0,0,0,0,0,0,0,0
1280188800,0,0,0,0,0,0,0,0
1280793600,0,0,0,0,0,0,0,0
1281398400,0,0,0,0,0,0,0,0
1282003200,0,0,0,0,0,0,0,0
1282608000,0,0,0,0,0,0,0,0
1283212800,1,0,0,0,1,0,0,0
1283817600,0,0,0,0,0,0,0,0
1284422400,0,0,0,0,0,0,0,0
1285027200,0,0,0,0,0,0,0,0
1285632000,0,0,0,0,0,0,0,0
1286236800,0,0,0,0,0,0,0,0
1286841600,0,0,0,0,0,0,0,0
1287446400,0,0,0,0,0,0,0,0
1288051200,0,0,0,0,0,0,0,0
1288656000,7,1,1,4,0,0,1,0
1289260800,0,0,0,0,0,0,0,0
1289865600,0,0,0,0,0,0,0,0
1290470400,0,0,0,0,0,0,0,0
1291075200,0,0,0,0,0,0,0,0
1291680000,0,0,0,0,0,0,0,0
1292284800,0,0,0,0,0,0,0,0
1292889600,0,0,0,0,0,0,0,0
1293494400,0,0,0,0,0,0,0,0
1294099200,0,0,0,0,0,0,0,0
1294704000,0,0,0,0,0,0,0,0
1295308800,0,0,0,0,0,0,0,0
1295913600,0,0,0,0,0,0,0,0
1296518400,0,0,0,0,0,0,0,0
1297123200,4,0,0,0,1,1,2,0
1297728000,1,0,1,0,0,0,0,0
1298332800,0,0,0,0,0,0,0,0
1298937600,0,0,0,0,0,0,0,0
1299542400,0,0,0,0,0,0,0,0
1300147200,0,0,0,0,0,0,0,0
1300752000,0,0,0,0,0,0,0,0
1301356800,0,0,0,0,0,0,0,0
1301961600,0,0,0,0,0,0,0,0
1302566400,0,0,0,0,0,0,0,0
1303171200,0,0,0,0,0,0,0,0
1303776000,0,0,0,0,0,0,0,0
1304380800,1,0,0,1,0,0,0,0
1304985600,0,0,0,0,0,0,0,0
1305590400,0,0,0,0,0,0,0,0
1306195200,2,0,0,1,1,0,0,0
1306800000,2,0,0,1,1,0,0,0
1307404800,21,2,2,14,2,0,1,0
1308009600,1,0,0,1,0,0,0,0
1308614400,0,0,0,0,0,0,0,0
1309219200,0,0,0,0,0,0,0,0
1309824000,1,0,0,1,0,0,0,0
1310428800,0,0,0,0,0,0,0,0
1311033600,0,0,0,0,0,0,0,0
1311638400,0,0,0,0,0,0,0,0
1312243200,0,0,0,0,0,0,0,0
1312848000,0,0,0,0,0,0,0,0
1313452800,4,0,1,1,0,0,1,1
1314057600,0,0,0,0,0,0,0,0
1314662400,0,0,0,0,0,0,0,0
1315267200,0,0,0,0,0,0,0,0
1315872000,0,0,0,0,0,0,0,0
1316476800,0,0,0,0,0,0,0,0
1317081600,1,0,0,1,0,0,0,0
1317686400,0,0,0,0,0,0,0,0
1318291200,0,0,0,0,0,0,0,0
1318896000,0,0,0,0,0,0,0,0
1319500800,0,0,0,0,0,0,0,0
1320105600,0,0,0,0,0,0,0,0
1320710400,3,0,0,2,1,0,0,0
1321315200,84,2,2,44,9,0,21,6
1321920000,19,1,2,7,1,0,5,3
1322524800,24,0,1,12,6,0,5,0
1323129600,49,0,1,29,7,0,12,0
1323734400,36,1,3,15,6,0,11,0
1324339200,29,0,3,11,6,0,9,0
1324944000,47,0,3,26,7,0,11,0
1325548800,11,0,1,5,3,0,2,0
1326153600,20,0,5,8,3,0,4,0
1326758400,93,0,8,44,9,0,32,0
1327363200,121,0,7,71,14,0,29,0
1327968000,68,1,4,48,5,0,10,0
1328572800,47,1,3,27,6,0,10,0
1329177600,66,0,4,36,7,1,18,0
1329782400,42,0,1,35,2,0,4,0
1330387200,27,0,0,21,5,0,1,0
1330992000,140,1,10,96,15,1,17,0
1331596800,27,0,3,19,0,0,5,0
1332201600,32,0,3,26,2,0,1,0
1332806400,22,0,1,15,3,0,3,0
1333411200,34,0,1,21,6,0,6,0
1334016000,75,1,9,42,7,0,16,0
1334620800,76,0,5,50,12,0,9,0
1335225600,50,0,5,32,7,0,6,0
1335830400,38,0,7,15,6,0,10,0
1336435200,87,0,10,62,7,0,8,0
1337040000,62,0,7,40,7,1,7,0
1337644800,18,0,3,8,2,0,5,0
1338249600,15,0,1,9,4,0,1,0
1338854400,10,0,2,8,0,0,0,0
1339459200,64,0,6,44,4,0,10,0
1340064000,21,0,1,17,1,0,2,0
1340668800,27,0,2,17,3,0,5,0
1341273600,24,0,5,11,4,0,4,0
1341878400,21,0,1,19,0,0,1,0
1342483200,18,0,2,7,2,0,7,0
1343088000,81,0,6,48,6,1,20,0
1343692800,49,0,2,30,7,1,9,0
1344297600,33,0,3,20,5,0,5,0
1344902400,59,0,6,41,6,0,6,0
1345507200,49,0,3,27,7,0,12,0
1346112000,76,0,3,54,6,0,13,0
1346716800,51,0,4,29,5,0,13,0
1347321600,60,0,4,38,7,0,11,0
1347926400,41,0,2,22,4,0,13,0
1348531200,21,0,4,8,3,0,6,0
1349136000,33,0,0,25,4,0,4,0
1349740800,25,0,2,14,5,0,4,0
1350345600,19,0,1,12,1,0,5,0
1350950400,51,1,3,39,3,0,5,0
1351555200,33,0,0,22,4,0,7,0
1352160000,16,0,0,11,1,0,4,0
1352764800,53,0,3,38,4,0,8,0
1353369600,59,0,3,40,5,0,11,0
1353974400,54,0,3,38,3,0,10,0
1354579200,23,0,0,19,1,0,3,0
1355184000,58,0,2,32,6,1,17,0
1355788800,28,0,2,17,4,0,5,0
1356393600,65,0,1,43,2,0,19,0
1356998400,40,0,1,32,0,0,7,0
1357603200,51,0,1,36,2,0,12,0
1358208000,55,0,3,31,6,0,15,0
1358812800,16,0,1,12,0,0,3,0
1359417600,129,0,0,60,5,0,64,0
1360022400,4,0,0,4,0,0,0,0
1360627200,82,1,7,50,9,0,15,0
1361232000,7,0,0,6,0,0,1,0
1361836800,23,0,0,12,1,0,10,0
1362441600,45,0,2,32,2,0,9,0
1363046400,72,0,1,62,2,0,7,0
1363651200,7,0,0,6,0,0,1,0
1364256000,54,0,3,44,2,0,5,0
1364860800,13,0,1,10,1,0,1,0
1365465600,21,0,1,17,1,0,2,0
1366070400,11,0,2,7,1,0,1,0
1366675200,10,1,1,6,0,0,2,0
1367280000,2,0,0,1,0,0,1,0
1367884800,15,0,0,15,0,0,0,0
1368489600,6,0,0,5,1,0,0,0
1369094400,33,0,0,4,1,0,28,0
1369699200,12,0,3,8,1,0,0,0
1370304000,11,0,0,9,0,0,2,0
1370908800,4,0,1,2,0,0,1,0
1371513600,3,0,1,1,1,0,0,0
1372118400,33,0,3,24,2,0,4,0
1372723200,18,0,4,11,2,0,1,0
1373328000,12,0,2,6,1,1,2,0
1373932800,3,0,0,3,0,0,0,0
1374537600,1,0,0,1,0,0,0,0
1375142400,9,0,0,8,1,0,0,0
1375747200,10,0,3,6,1,0,0,0
1376352000,1,0,0,1,0,0,0,0
1376956800,0,0,0,0,0,0,0,0
1377561600,0,0,0,0,0,0,0,0
1378166400,0,0,0,0,0,0,0,0
1378771200,1,0,0,1,0,0,0,0
1379376000,4,0,1,2,0,0,1,0
1379980800,2,0,0,1,0,0,1,0
1380585600,0,0,0,0,0,0,0,0
1381190400,2,0,1,1,0,0,0,0
1381795200,1,0,0,1,0,0,0,0
1382400000,1,0,0,1,0,0,0,0
1383004800,2,0,2,0,0,0,0,0
1383609600,0,0,0,0,0,0,0,0
1384214400,0,0,0,0,0,0,0,0
1384819200,2,0,0,2,0,0,0,0
1385424000,2,0,0,2,0,0,0,0
1386028800,0,0,0,0,0,0,0,0
1386633600,0,0,0,0,0,0,0,0
1387238400,0,0,0,0,0,0,0,0
1387843200,1,0,1,0,0,0,0,0
1388448000,1,0,1,0,0,0,0,0
1389052800,0,0,0,0,0,0,0,0
1389657600,0,0,0,0,0,0,0,0
1390262400,0,0,0,0,0,0,0,0
1390867200,0,0,0,0,0,0,0,0
1391472000,1,0,0,1,0,0,0,0
1392076800,0,0,0,0,0,0,0,0
1392681600,0,0,0,0,0,0,0,0
1393286400,0,0,0,0,0,0,0,0
1393891200,2,0,0,2,0,0,0,0
1394496000,0,0,0,0,0,0,0,0
1395100800,0,0,0,0,0,0,0,0
1395705600,1,0,0,1,0,0,0,0
1396310400,0,0,0,0,0,0,0,0
1396915200,0,0,0,0,0,0,0,0
1397520000,0,0,0,0,0,0,0,0
1398124800,0,0,0,0,0,0,0,0
1398729600,1,0,0,0,0,0,1,0
1399334400,0,0,0,0,0,0,0,0
1399939200,0,0,0,0,0,0,0,0
1400544000,0,0,0,0,0,0,0,0
1401148800,0,0,0,0,0,0,0,0
1401753600,0,0,0,0,0,0,0,0
1402358400,0,0,0,0,0,0,0,0
1402963200,0,0,0,0,0,0,0,0
1403568000,0,0,0,0,0,0,0,0
1404172800,0,0,0,0,0,0,0,0
1404777600,3,0,3,0,0,0,0,0
1405382400,0,0,0,0,0,0,0,0
1405987200,0,0,0,0,0,0,0,0
1406592000,1,0,0,0,0,0,1,0
1407196800,1,0,1,0,0,0,0,0
1407801600,0,0,0,0,0,0,0,0
1408406400,0,0,0,0,0,0,0,0
1409011200,0,0,0,0,0,0,0,0
1409616000,2,0,2,0,0,0,0,0
1410220800,1,0,1,0,0,0,0,0
1410825600,0,0,0,0,0,0,0,0
1411430400,0,0,0,0,0,0,0,0
1412035200,0,0,0,0,0,0,0,0
1412640000,1,0,1,0,0,0,0,0
1413244800,0,0,0,0,0,0,0,0
1413849600,0,0,0,0,0,0,0,0
1414454400,0,0,0,0,0,0,0,0
1415059200,1,0,0,1,0,0,0,0
1415664000,0,0,0,0,0,0,0,0
1416268800,0,0,0,0,0,0,0,0
1416873600,0,0,0,0,0,0,0,0
1417478400,2,0,0,1,0,0,1,0
1418083200,0,0,0,0,0,0,0,0
1418688000,0,0,0,0,0,0,0,0
1419292800,0,0,0,0,0,0,0,0
1419897600,1,0,1,0,0,0,0,0
1420502400,0,0,0,0,0,0,0,0
1421107200,0,0,0,0,0,0,0,0
1421712000,0,0,0,0,0,0,0,0
1422316800,0,0,0,0,0,0,0,0
1422921600,0,0,0,0,0,0,0,0
1423526400,0,0,0,0,0,0,0,0
1424131200,0,0,0,0,0,0,0,0
1424736000,0,0,0,0,0,0,0,0
1425340800,1,0,1,0,0,0,0,0
1425945600,0,0,0,0,0,0,0,0
1426550400,0,0,0,0,0,0,0,0
1427155200,0,0,0,0,0,0,0,0
1427760000,0,0,0,0,0,0,0,0
1428364800,0,0,0,0,0,0,0,0
1428969600,1,0,1,0,0,0,0,0
