date,total,accept,badge,comment,post,review,revision,suggest
1218499200,0,0,0,0,0,0,0,0
1219104000,0,0,0,0,0,0,0,0
1219708800,0,0,0,0,0,0,0,0
1220313600,0,0,0,0,0,0,0,0
1220918400,0,0,0,0,0,0,0,0
1221523200,0,0,0,0,0,0,0,0
1222128000,0,0,0,0,0,0,0,0
1222732800,0,0,0,0,0,0,0,0
1223337600,0,0,0,0,0,0,0,0
1223942400,0,0,0,0,0,0,0,0
1224547200,0,0,0,0,0,0,0,0
1225152000,0,0,0,0,0,0,0,0
1225756800,0,0,0,0,0,0,0,0
1226361600,0,0,0,0,0,0,0,0
1226966400,0,0,0,0,0,0,0,0
1227571200,0,0,0,0,0,0,0,0
1228176000,0,0,0,0,0,0,0,0
1228780800,0,0,0,0,0,0,0,0
1229385600,0,0,0,0,0,0,0,0
1229990400,0,0,0,0,0,0,0,0
1230595200,0,0,0,0,0,0,0,0
1231200000,0,0,0,0,0,0,0,0
1231804800,0,0,0,0,0,0,0,0
1232409600,0,0,0,0,0,0,0,0
1233014400,0,0,0,0,0,0,0,0
1233619200,0,0,0,0,0,0,0,0
1234224000,0,0,0,0,0,0,0,0
1234828800,0,0,0,0,0,0,0,0
1235433600,0,0,0,0,0,0,0,0
1236038400,0,0,0,0,0,0,0,0
1236643200,0,0,0,0,0,0,0,0
1237248000,0,0,0,0,0,0,0,0
1237852800,0,0,0,0,0,0,0,0
1238457600,0,0,0,0,0,0,0,0
1239062400,0,0,0,0,0,0,0,0
1239667200,0,0,0,0,0,0,0,0
1240272000,0,0,0,0,0,0,0,0
1240876800,0,0,0,0,0,0,0,0
1241481600,0,0,0,0,0,0,0,0
1242086400,0,0,0,0,0,0,0,0
1242691200,0,0,0,0,0,0,0,0
1243296000,0,0,0,0,0,0,0,0
1243900800,0,0,0,0,0,0,0,0
1244505600,0,0,0,0,0,0,0,0
1245110400,0,0,0,0,0,0,0,0
1245715200,0,0,0,0,0,0,0,0
1246320000,0,0,0,0,0,0,0,0
1246924800,0,0,0,0,0,0,0,0
1247529600,0,0,0,0,0,0,0,0
1248134400,0,0,0,0,0,0,0,0
1248739200,0,0,0,0,0,0,0,0
1249344000,0,0,0,0,0,0,0,0
1249948800,0,0,0,0,0,0,0,0
1250553600,0,0,0,0,0,0,0,0
1251158400,0,0,0,0,0,0,0,0
1251763200,0,0,0,0,0,0,0,0
1252368000,0,0,0,0,0,0,0,0
1252972800,0,0,0,0,0,0,0,0
1253577600,0,0,0,0,0,0,0,0
1254182400,0,0,0,0,0,0,0,0
1254787200,0,0,0,0,0,0,0,0
1255392000,0,0,0,0,0,0,0,0
1255996800,0,0,0,0,0,0,0,0
1256601600,0,0,0,0,0,0,0,0
1257206400,0,0,0,0,0,0,0,0
1257811200,0,0,0,0,0,0,0,0
1258416000,0,0,0,0,0,0,0,0
1259020800,0,0,0,0,0,0,0,0
1259625600,0,0,0,0,0,0,0,0
1260230400,0,0,0,0,0,0,0,0
1260835200,0,0,0,0,0,0,0,0
1261440000,0,0,0,0,0,0,0,0
1262044800,0,0,0,0,0,0,0,0
1262649600,0,0,0,0,0,0,0,0
1263254400,0,0,0,0,0,0,0,0
1263859200,0,0,0,0,0,0,0,0
1264464000,0,0,0,0,0,0,0,0
1265068800,0,0,0,0,0,0,0,0
1265673600,0,0,0,0,0,0,0,0
1266278400,0,0,0,0,0,0,0,0
1266883200,0,0,0,0,0,0,0,0
1267488000,0,0,0,0,0,0,0,0
1268092800,0,0,0,0,0,0,0,0
1268697600,0,0,0,0,0,0,0,0
1269302400,0,0,0,0,0,0,0,0
1269907200,0,0,0,0,0,0,0,0
1270512000,0,0,0,0,0,0,0,0
1271116800,0,0,0,0,0,0,0,0
1271721600,0,0,0,0,0,0,0,0
1272326400,0,0,0,0,0,0,0,0
1272931200,0,0,0,0,0,0,0,0
1273536000,0,0,0,0,0,0,0,0
1274140800,0,0,0,0,0,0,0,0
1274745600,0,0,0,0,0,0,0,0
1275350400,0,0,0,0,0,0,0,0
1275955200,0,0,0,0,0,0,0,0
1276560000,0,0,0,0,0,0,0,0
1277164800,0,0,0,0,0,0,0,0
1277769600,0,0,0,0,0,0,0,0
1278374400,0,0,0,0,0,0,0,0
1278979200,0,0,0,0,0,0,0,0
1279584000,0,0,0,0,0,0,0,0
1280188800,0,0,0,0,0,0,0,0
1280793600,0,0,0,0,0,0,0,0
1281398400,0,0,0,0,0,0,0,0
1282003200,0,0,0,0,0,0,0,0
1282608000,0,0,0,0,0,0,0,0
1283212800,0,0,0,0,0,0,0,0
1283817600,0,0,0,0,0,0,0,0
1284422400,0,0,0,0,0,0,0,0
1285027200,0,0,0,0,0,0,0,0
1285632000,0,0,0,0,0,0,0,0
1286236800,0,0,0,0,0,0,0,0
1286841600,0,0,0,0,0,0,0,0
1287446400,0,0,0,0,0,0,0,0
1288051200,0,0,0,0,0,0,0,0
1288656000,0,0,0,0,0,0,0,0
1289260800,0,0,0,0,0,0,0,0
1289865600,0,0,0,0,0,0,0,0
1290470400,0,0,0,0,0,0,0,0
1291075200,0,0,0,0,0,0,0,0
1291680000,0,0,0,0,0,0,0,0
1292284800,0,0,0,0,0,0,0,0
1292889600,0,0,0,0,0,0,0,0
1293494400,0,0,0,0,0,0,0,0
1294099200,0,0,0,0,0,0,0,0
1294704000,0,0,0,0,0,0,0,0
1295308800,0,0,0,0,0,0,0,0
1295913600,0,0,0,0,0,0,0,0
1296518400,0,0,0,0,0,0,0,0
1297123200,0,0,0,0,0,0,0,0
1297728000,0,0,0,0,0,0,0,0
1298332800,0,0,0,0,0,0,0,0
1298937600,0,0,0,0,0,0,0,0
1299542400,0,0,0,0,0,0,0,0
1300147200,0,0,0,0,0,0,0,0
1300752000,0,0,0,0,0,0,0,0
1301356800,0,0,0,0,0,0,0,0
1301961600,0,0,0,0,0,0,0,0
1302566400,0,0,0,0,0,0,0,0
1303171200,0,0,0,0,0,0,0,0
1303776000,0,0,0,0,0,0,0,0
1304380800,0,0,0,0,0,0,0,0
1304985600,0,0,0,0,0,0,0,0
1305590400,0,0,0,0,0,0,0,0
1306195200,0,0,0,0,0,0,0,0
1306800000,0,0,0,0,0,0,0,0
1307404800,0,0,0,0,0,0,0,0
1308009600,0,0,0,0,0,0,0,0
1308614400,1,0,1,0,0,0,0,0
1309219200,0,0,0,0,0,0,0,0
1309824000,0,0,0,0,0,0,0,0
1310428800,0,0,0,0,0,0,0,0
1311033600,1,0,0,1,0,0,0,0
1311638400,0,0,0,0,0,0,0,0
1312243200,0,0,0,0,0,0,0,0
1312848000,3,0,2,0,0,0,1,0
1313452800,7,0,2,3,2,0,0,0
1314057600,1,0,1,0,0,0,0,0
1314662400,8,0,1,4,1,0,1,1
1315267200,4,0,0,0,0,0,2,2
1315872000,3,0,1,2,0,0,0,0
1316476800,2,0,1,0,1,0,0,0
1317081600,5,0,0,4,1,0,0,0
1317686400,2,0,0,2,0,0,0,0
1318291200,1,0,0,1,0,0,0,0
1318896000,1,0,0,1,0,0,0,0
1319500800,5,2,0,2,0,0,1,0
1320105600,3,0,3,0,0,0,0,0
1320710400,11,0,2,5,3,0,1,0
1321315200,16,2,2,5,6,0,1,0
1321920000,8,1,0,5,2,0,0,0
1322524800,4,0,1,2,1,0,0,0
1323129600,13,1,3,5,3,0,1,0
1323734400,1,0,0,1,0,0,0,0
1324339200,4,0,0,2,1,0,1,0
1324944000,5,0,0,3,0,0,1,1
1325548800,1,0,0,1,0,0,0,0
1326153600,14,0,0,7,2,0,3,2
1326758400,8,0,1,3,2,0,1,1
1327363200,7,0,1,5,1,0,0,0
1327968000,6,0,0,6,0,0,0,0
1328572800,26,0,1,14,6,0,5,0
1329177600,21,0,1,11,5,1,3,0
1329782400,11,0,3,5,2,0,1,0
1330387200,3,0,0,1,2,0,0,0
1330992000,8,0,0,6,0,0,2,0
1331596800,10,1,0,5,2,0,2,0
1332201600,8,0,0,2,1,3,2,0
1332806400,5,0,0,4,0,1,0,0
1333411200,25,0,8,9,4,0,4,0
1334016000,0,0,0,0,0,0,0,0
1334620800,1,0,0,1,0,0,0,0
1335225600,14,0,0,6,3,0,5,0
1335830400,7,0,0,2,3,1,1,0
1336435200,8,2,2,0,1,0,3,0
1337040000,23,0,1,14,2,0,6,0
1337644800,27,0,7,14,2,0,4,0
1338249600,31,1,5,14,5,0,6,0
1338854400,12,0,0,10,2,0,0,0
1339459200,11,0,2,5,2,0,2,0
1340064000,26,0,3,18,2,0,3,0
1340668800,42,1,4,19,5,2,11,0
1341273600,14,0,1,10,1,0,2,0
1341878400,15,0,1,10,2,0,2,0
1342483200,20,1,1,13,1,1,3,0
1343088000,20,0,1,12,6,0,1,0
1343692800,2,0,1,1,0,0,0,0
1344297600,0,0,0,0,0,0,0,0
1344902400,0,0,0,0,0,0,0,0
1345507200,0,0,0,0,0,0,0,0
1346112000,0,0,0,0,0,0,0,0
1346716800,3,0,1,1,0,0,1,0
1347321600,3,0,0,1,1,0,1,0
1347926400,12,0,0,10,2,0,0,0
1348531200,13,1,1,4,4,0,3,0
1349136000,12,0,1,8,2,0,1,0
1349740800,0,0,0,0,0,0,0,0
1350345600,0,0,0,0,0,0,0,0
1350950400,0,0,0,0,0,0,0,0
1351555200,0,0,0,0,0,0,0,0
1352160000,1,0,0,1,0,0,0,0
1352764800,1,0,0,0,0,0,1,0
1353369600,0,0,0,0,0,0,0,0
1353974400,2,0,0,2,0,0,0,0
1354579200,0,0,0,0,0,0,0,0
1355184000,8,0,3,2,1,0,2,0
1355788800,8,0,0,7,0,0,1,0
1356393600,12,1,0,9,1,0,1,0
1356998400,0,0,0,0,0,0,0,0
1357603200,16,0,0,7,3,2,4,0
1358208000,29,0,0,23,2,0,4,0
1358812800,2,0,0,2,0,0,0,0
1359417600,0,0,0,0,0,0,0,0
1360022400,7,0,2,3,1,0,1,0
1360627200,10,0,0,6,1,0,3,0
1361232000,8,0,1,4,0,1,2,0
1361836800,1,0,1,0,0,0,0,0
1362441600,9,0,1,5,2,0,1,0
1363046400,46,0,2,35,2,0,7,0
1363651200,5,0,1,3,0,0,1,0
1364256000,4,1,0,2,1,0,0,0
1364860800,0,0,0,0,0,0,0,0
1365465600,0,0,0,0,0,0,0,0
1366070400,0,0,0,0,0,0,0,0
1366675200,11,0,1,7,1,0,2,0
1367280000,19,0,0,15,0,0,4,0
1367884800,14,0,2,9,0,0,3,0
1368489600,11,1,2,4,1,0,3,0
1369094400,28,1,5,15,2,0,5,0
1369699200,25,0,1,20,2,0,2,0
1370304000,4,0,0,3,0,0,1,0
1370908800,6,0,0,6,0,0,0,0
1371513600,1,0,1,0,0,0,0,0
1372118400,4,0,0,3,0,0,1,0
1372723200,15,1,1,10,1,0,2,0
1373328000,8,0,0,6,1,1,0,0
1373932800,1,0,1,0,0,0,0,0
1374537600,5,1,1,1,0,0,2,0
1375142400,22,0,2,14,3,1,2,0
1375747200,14,0,0,11,0,0,3,0
1376352000,0,0,0,0,0,0,0,0
1376956800,0,0,0,0,0,0,0,0
1377561600,3,0,0,3,0,0,0,0
1378166400,7,0,0,6,1,0,0,0
1378771200,10,0,1,7,1,0,1,0
1379376000,0,0,0,0,0,0,0,0
1379980800,0,0,0,0,0,0,0,0
1380585600,3,0,0,3,0,0,0,0
1381190400,0,0,0,0,0,0,0,0
1381795200,1,0,0,1,0,0,0,0
1382400000,1,0,0,1,0,0,0,0
1383004800,2,0,0,0,0,0,2,0
1383609600,0,0,0,0,0,0,0,0
1384214400,6,0,0,4,2,0,0,0
1384819200,7,0,2,2,2,0,1,0
1385424000,33,0,1,23,4,1,4,0
1386028800,25,1,2,15,1,0,6,0
1386633600,6,0,0,5,0,0,1,0
1387238400,9,0,0,7,0,0,2,0
1387843200,4,0,0,2,1,0,1,0
1388448000,0,0,0,0,0,0,0,0
1389052800,0,0,0,0,0,0,0,0
1389657600,5,0,0,5,0,0,0,0
1390262400,9,0,0,4,2,0,3,0
1390867200,1,0,0,1,0,0,0,0
1391472000,13,0,1,9,1,1,1,0
1392076800,5,0,0,2,1,1,1,0
1392681600,5,0,0,4,0,0,1,0
1393286400,34,1,4,20,4,1,4,0
1393891200,7,0,0,5,1,1,0,0
1394496000,4,0,0,4,0,0,0,0
1395100800,7,1,0,3,1,0,2,0
1395705600,4,0,0,2,0,0,2,0
1396310400,19,0,1,17,1,0,0,0
1396915200,12,0,0,7,2,0,3,0
1397520000,0,0,0,0,0,0,0,0
1398124800,3,0,1,1,0,0,1,0
1398729600,1,0,0,1,0,0,0,0
1399334400,0,0,0,0,0,0,0,0
1399939200,6,0,0,6,0,0,0,0
1400544000,1,0,0,1,0,0,0,0
1401148800,0,0,0,0,0,0,0,0
1401753600,3,0,0,2,0,0,1,0
1402358400,4,1,0,1,0,0,2,0
1402963200,5,0,1,4,0,0,0,0
1403568000,4,1,1,1,1,0,0,0
1404172800,0,0,0,0,0,0,0,0
1404777600,4,0,2,1,0,0,1,0
1405382400,3,0,0,2,0,0,1,0
1405987200,2,0,0,1,1,0,0,0
1406592000,1,0,0,0,1,0,0,0
1407196800,1,0,1,0,0,0,0,0
1407801600,5,0,1,1,1,1,1,0
1408406400,0,0,0,0,0,0,0,0
1409011200,1,0,1,0,0,0,0,0
1409616000,1,0,0,0,0,0,1,0
1410220800,0,0,0,0,0,0,0,0
1410825600,1,0,0,0,0,0,1,0
1411430400,2,0,0,1,1,0,0,0
1412035200,0,0,0,0,0,0,0,0
1412640000,4,0,1,2,1,0,0,0
1413244800,0,0,0,0,0,0,0,0
1413849600,0,0,0,0,0,0,0,0
1414454400,0,0,0,0,0,0,0,0
1415059200,1,0,0,0,0,0,1,0
1415664000,2,0,1,0,0,0,1,0
1416268800,0,0,0,0,0,0,0,0
1416873600,0,0,0,0,0,0,0,0
1417478400,0,0,0,0,0,0,0,0
1418083200,0,0,0,0,0,0,0,0
1418688000,0,0,0,0,0,0,0,0
1419292800,1,0,0,1,0,0,0,0
1419897600,0,0,0,0,0,0,0,0
1420502400,0,0,0,0,0,0,0,0
1421107200,0,0,0,0,0,0,0,0
1421712000,0,0,0,0,0,0,0,0
1422316800,0,0,0,0,0,0,0,0
1422921600,0,0,0,0,0,0,0,0
1423526400,0,0,0,0,0,0,0,0
1424131200,0,0,0,0,0,0,0,0
1424736000,1,0,0,0,1,0,0,0
1425340800,2,0,2,0,0,0,0,0
1425945600,0,0,0,0,0,0,0,0
1426550400,0,0,0,0,0,0,0,0
1427155200,6,0,4,0,1,0,1,0
1427760000,1,0,1,0,0,0,0,0
1428364800,0,0,0,0,0,0,0,0
1428969600,0,0,0,0,0,0,0,0
