date,total,accept,badge,comment,post,review,revision,suggest
1218499200,0,0,0,0,0,0,0,0
1219104000,0,0,0,0,0,0,0,0
1219708800,0,0,0,0,0,0,0,0
1220313600,0,0,0,0,0,0,0,0
1220918400,0,0,0,0,0,0,0,0
1221523200,0,0,0,0,0,0,0,0
1222128000,0,0,0,0,0,0,0,0
1222732800,0,0,0,0,0,0,0,0
1223337600,0,0,0,0,0,0,0,0
1223942400,0,0,0,0,0,0,0,0
1224547200,0,0,0,0,0,0,0,0
1225152000,0,0,0,0,0,0,0,0
1225756800,0,0,0,0,0,0,0,0
1226361600,1,0,0,0,1,0,0,0
1226966400,0,0,0,0,0,0,0,0
1227571200,0,0,0,0,0,0,0,0
1228176000,1,0,0,1,0,0,0,0
1228780800,0,0,0,0,0,0,0,0
1229385600,24,1,0,22,1,0,0,0
1229990400,1,0,0,0,1,0,0,0
1230595200,0,0,0,0,0,0,0,0
1231200000,1,0,0,1,0,0,0,0
1231804800,5,0,0,5,0,0,0,0
1232409600,8,0,0,7,1,0,0,0
1233014400,6,1,0,3,2,0,0,0
1233619200,0,0,0,0,0,0,0,0
1234224000,1,0,0,1,0,0,0,0
1234828800,2,0,0,2,0,0,0,0
1235433600,3,0,0,3,0,0,0,0
1236038400,14,0,0,12,2,0,0,0
1236643200,0,0,0,0,0,0,0,0
1237248000,5,0,0,4,1,0,0,0
1237852800,1,0,0,1,0,0,0,0
1238457600,0,0,0,0,0,0,0,0
1239062400,0,0,0,0,0,0,0,0
1239667200,0,0,0,0,0,0,0,0
1240272000,1,0,0,1,0,0,0,0
1240876800,0,0,0,0,0,0,0,0
1241481600,0,0,0,0,0,0,0,0
1242086400,0,0,0,0,0,0,0,0
1242691200,0,0,0,0,0,0,0,0
1243296000,0,0,0,0,0,0,0,0
1243900800,0,0,0,0,0,0,0,0
1244505600,0,0,0,0,0,0,0,0
1245110400,4,0,0,3,1,0,0,0
1245715200,0,0,0,0,0,0,0,0
1246320000,6,0,4,0,2,0,0,0
1246924800,18,3,4,7,3,0,1,0
1247529600,8,0,1,1,3,0,3,0
1248134400,1,0,0,1,0,0,0,0
1248739200,10,1,3,4,1,0,1,0
1249344000,4,0,2,1,1,0,0,0
1249948800,2,1,0,0,1,0,0,0
1250553600,2,0,0,2,0,0,0,0
1251158400,2,0,1,1,0,0,0,0
1251763200,11,1,1,5,3,0,1,0
1252368000,10,0,0,9,1,0,0,0
1252972800,1,0,0,1,0,0,0,0
1253577600,0,0,0,0,0,0,0,0
1254182400,3,0,1,1,0,0,1,0
1254787200,2,0,1,1,0,0,0,0
1255392000,25,2,1,11,4,0,7,0
1255996800,45,1,4,22,15,0,3,0
1256601600,39,1,2,18,10,0,8,0
1257206400,85,0,10,27,18,0,30,0
1257811200,39,0,4,17,8,0,10,0
1258416000,18,0,0,9,5,0,4,0
1259020800,10,0,0,4,2,0,4,0
1259625600,9,2,1,4,1,0,1,0
1260230400,13,0,1,5,3,0,4,0
1260835200,11,0,0,5,5,0,1,0
1261440000,5,0,0,2,2,0,1,0
1262044800,3,0,0,2,0,0,1,0
1262649600,38,0,2,19,7,0,10,0
1263254400,11,0,1,6,2,0,2,0
1263859200,42,0,2,18,13,0,9,0
1264464000,31,0,1,9,15,0,6,0
1265068800,13,0,2,3,6,0,2,0
1265673600,14,0,1,4,8,0,1,0
1266278400,29,2,1,15,8,0,3,0
1266883200,39,0,4,13,13,0,9,0
1267488000,5,0,0,2,2,0,1,0
1268092800,3,0,1,0,2,0,0,0
1268697600,3,0,0,0,3,0,0,0
1269302400,7,0,0,3,4,0,0,0
1269907200,18,0,7,3,6,0,2,0
1270512000,3,0,1,1,1,0,0,0
1271116800,1,0,0,0,1,0,0,0
1271721600,14,0,1,9,4,0,0,0
1272326400,3,0,0,3,0,0,0,0
1272931200,4,0,1,1,1,0,1,0
1273536000,8,0,0,4,2,0,2,0
1274140800,12,0,3,4,3,0,2,0
1274745600,8,0,0,3,3,0,2,0
1275350400,15,0,1,12,2,0,0,0
1275955200,13,1,0,9,1,0,2,0
1276560000,40,1,2,19,6,0,12,0
1277164800,24,0,1,12,6,0,5,0
1277769600,30,1,3,13,7,0,6,0
1278374400,13,0,1,6,5,0,1,0
1278979200,20,1,1,13,3,0,2,0
1279584000,42,0,4,26,10,0,2,0
1280188800,17,0,0,14,3,0,0,0
1280793600,3,0,0,1,2,0,0,0
1281398400,5,0,0,1,3,0,1,0
1282003200,3,0,0,2,1,0,0,0
1282608000,8,0,0,4,3,0,1,0
1283212800,8,0,1,4,1,0,2,0
1283817600,1,0,0,1,0,0,0,0
1284422400,4,0,0,4,0,0,0,0
1285027200,5,0,0,3,2,0,0,0
1285632000,0,0,0,0,0,0,0,0
1286236800,9,0,1,7,1,0,0,0
1286841600,9,0,1,4,3,0,1,0
1287446400,4,1,1,2,0,0,0,0
1288051200,6,0,1,3,2,0,0,0
1288656000,2,0,0,1,0,0,1,0
1289260800,5,0,2,0,2,0,1,0
1289865600,4,0,0,2,0,0,2,0
1290470400,4,0,0,1,2,0,1,0
1291075200,0,0,0,0,0,0,0,0
1291680000,4,0,1,0,2,0,1,0
1292284800,3,0,0,1,2,0,0,0
1292889600,5,0,0,2,3,0,0,0
1293494400,1,0,1,0,0,0,0,0
1294099200,8,1,0,7,0,0,0,0
1294704000,4,0,2,0,1,0,1,0
1295308800,7,0,1,3,1,0,2,0
1295913600,9,0,2,3,3,0,1,0
1296518400,17,0,1,7,5,0,4,0
1297123200,51,0,7,21,12,2,9,0
1297728000,20,0,1,9,6,0,4,0
1298332800,16,0,4,6,3,1,2,0
1298937600,16,0,2,8,4,0,2,0
1299542400,15,0,2,4,5,0,4,0
1300147200,3,0,0,1,2,0,0,0
1300752000,17,0,2,8,5,1,1,0
1301356800,4,0,0,1,2,0,1,0
1301961600,8,0,0,5,1,0,2,0
1302566400,13,0,1,9,3,0,0,0
1303171200,9,0,1,3,3,0,2,0
1303776000,5,0,0,2,2,0,1,0
1304380800,1,0,1,0,0,0,0,0
1304985600,3,0,0,0,2,0,1,0
1305590400,2,0,0,2,0,0,0,0
1306195200,0,0,0,0,0,0,0,0
1306800000,0,0,0,0,0,0,0,0
1307404800,3,0,0,1,2,0,0,0
1308009600,4,0,0,2,1,0,1,0
1308614400,1,0,1,0,0,0,0,0
1309219200,0,0,0,0,0,0,0,0
1309824000,1,0,1,0,0,0,0,0
1310428800,2,0,1,0,1,0,0,0
1311033600,3,0,0,1,1,0,1,0
1311638400,6,0,1,2,2,1,0,0
1312243200,2,0,0,0,1,0,1,0
1312848000,6,0,2,1,1,1,1,0
1313452800,0,0,0,0,0,0,0,0
1314057600,4,0,1,1,1,0,1,0
1314662400,0,0,0,0,0,0,0,0
1315267200,0,0,0,0,0,0,0,0
1315872000,3,0,2,0,1,0,0,0
1316476800,0,0,0,0,0,0,0,0
1317081600,1,0,0,1,0,0,0,0
1317686400,1,0,1,0,0,0,0,0
1318291200,0,0,0,0,0,0,0,0
1318896000,4,0,3,0,1,0,0,0
1319500800,4,0,0,2,1,1,0,0
1320105600,0,0,0,0,0,0,0,0
1320710400,0,0,0,0,0,0,0,0
1321315200,22,0,1,11,3,0,7,0
1321920000,4,0,0,2,1,0,1,0
1322524800,12,0,2,7,3,0,0,0
1323129600,2,0,1,1,0,0,0,0
1323734400,0,0,0,0,0,0,0,0
1324339200,2,0,0,0,1,0,1,0
1324944000,2,0,0,2,0,0,0,0
1325548800,1,0,1,0,0,0,0,0
1326153600,1,0,1,0,0,0,0,0
1326758400,1,0,1,0,0,0,0,0
1327363200,0,0,0,0,0,0,0,0
1327968000,0,0,0,0,0,0,0,0
1328572800,1,0,0,1,0,0,0,0
1329177600,0,0,0,0,0,0,0,0
1329782400,0,0,0,0,0,0,0,0
1330387200,3,0,2,0,1,0,0,0
1330992000,10,0,3,4,2,0,1,0
1331596800,0,0,0,0,0,0,0,0
1332201600,3,0,1,1,0,0,1,0
1332806400,1,0,1,0,0,0,0,0
1333411200,0,0,0,0,0,0,0,0
1334016000,1,0,1,0,0,0,0,0
1334620800,0,0,0,0,0,0,0,0
1335225600,0,0,0,0,0,0,0,0
1335830400,0,0,0,0,0,0,0,0
1336435200,1,0,1,0,0,0,0,0
1337040000,0,0,0,0,0,0,0,0
1337644800,6,0,2,1,1,0,2,0
1338249600,0,0,0,0,0,0,0,0
1338854400,0,0,0,0,0,0,0,0
1339459200,9,0,1,4,2,0,2,0
1340064000,6,0,2,1,2,1,0,0
1340668800,4,0,0,2,2,0,0,0
1341273600,3,0,2,0,1,0,0,0
1341878400,7,0,1,1,3,0,2,0
1342483200,7,0,1,3,2,0,1,0
1343088000,4,0,1,1,1,0,1,0
1343692800,8,0,1,3,2,0,2,0
1344297600,27,0,5,12,8,0,2,0
1344902400,7,0,1,2,3,0,1,0
1345507200,2,0,0,2,0,0,0,0
1346112000,30,0,2,14,7,0,7,0
1346716800,13,0,4,4,2,1,2,0
1347321600,6,0,1,3,2,0,0,0
1347926400,25,0,5,10,5,1,4,0
1348531200,17,0,4,4,3,0,6,0
1349136000,26,0,3,11,5,0,7,0
1349740800,32,0,1,21,6,0,4,0
1350345600,25,0,5,7,8,0,5,0
1350950400,37,0,6,15,11,0,5,0
1351555200,6,0,1,1,2,0,2,0
1352160000,19,0,1,13,3,0,2,0
1352764800,11,0,3,4,4,0,0,0
1353369600,24,0,6,6,5,0,7,0
1353974400,7,0,3,3,1,0,0,0
1354579200,8,0,3,2,2,0,1,0
1355184000,8,0,1,3,3,0,1,0
1355788800,8,0,3,1,2,1,1,0
1356393600,4,0,0,1,3,0,0,0
1356998400,4,0,0,2,1,0,1,0
1357603200,12,0,1,4,4,0,3,0
1358208000,1,0,0,0,1,0,0,0
1358812800,12,0,3,6,3,0,0,0
1359417600,7,0,2,2,2,0,1,0
1360022400,27,0,2,15,7,0,3,0
1360627200,2,0,0,2,0,0,0,0
1361232000,15,0,5,6,3,0,1,0
1361836800,20,0,1,9,7,0,3,0
1362441600,17,0,3,6,5,0,3,0
1363046400,45,0,10,16,12,0,7,0
1363651200,24,0,2,13,5,0,4,0
1364256000,48,0,5,27,7,0,9,0
1364860800,40,0,9,15,9,0,7,0
1365465600,15,0,2,9,3,0,1,0
1366070400,15,0,2,7,2,0,4,0
1366675200,2,0,0,1,1,0,0,0
1367280000,2,0,1,1,0,0,0,0
1367884800,4,0,1,1,1,0,1,0
1368489600,89,0,13,50,9,0,17,0
1369094400,107,0,13,70,11,0,13,0
1369699200,77,0,7,35,14,0,21,0
1370304000,41,0,10,20,8,0,3,0
1370908800,50,0,7,27,8,0,8,0
1371513600,36,1,5,17,7,0,6,0
1372118400,18,0,5,6,4,0,3,0
1372723200,54,0,7,34,6,0,7,0
1373328000,16,0,2,6,4,0,4,0
1373932800,26,0,4,14,7,0,1,0
1374537600,43,0,8,17,12,0,6,0
1375142400,19,0,5,10,2,0,2,0
1375747200,18,0,3,11,3,0,1,0
1376352000,10,0,1,6,1,0,2,0
1376956800,10,0,4,3,2,0,1,0
1377561600,34,0,3,17,5,0,9,0
1378166400,6,0,0,4,1,0,1,0
1378771200,15,0,2,8,3,0,2,0
1379376000,22,0,3,15,3,0,1,0
1379980800,4,0,1,2,1,0,0,0
1380585600,9,0,1,7,1,0,0,0
1381190400,15,1,3,8,2,0,1,0
1381795200,7,0,3,2,1,0,1,0
1382400000,7,0,3,4,0,0,0,0
1383004800,27,0,4,16,3,0,4,0
1383609600,1,0,0,1,0,0,0,0
1384214400,10,0,4,3,2,0,1,0
1384819200,5,0,2,3,0,0,0,0
1385424000,7,0,1,4,2,0,0,0
1386028800,7,0,2,2,2,0,1,0
1386633600,6,0,0,4,2,0,0,0
1387238400,11,0,4,3,2,0,2,0
1387843200,7,0,0,5,2,0,0,0
1388448000,0,0,0,0,0,0,0,0
1389052800,2,0,2,0,0,0,0,0
1389657600,0,0,0,0,0,0,0,0
1390262400,6,0,1,4,0,0,1,0
1390867200,4,0,0,4,0,0,0,0
1391472000,6,0,0,5,0,0,1,0
1392076800,0,0,0,0,0,0,0,0
1392681600,1,0,1,0,0,0,0,0
1393286400,9,0,2,6,1,0,0,0
1393891200,42,0,3,27,5,0,7,0
1394496000,51,0,4,31,6,0,10,0
1395100800,27,0,5,15,4,0,3,0
1395705600,20,0,2,13,2,0,3,0
1396310400,53,0,6,28,9,0,10,0
1396915200,21,0,1,12,6,0,2,0
1397520000,0,0,0,0,0,0,0,0
1398124800,4,0,0,3,1,0,0,0
1398729600,0,0,0,0,0,0,0,0
1399334400,3,0,1,1,1,0,0,0
1399939200,0,0,0,0,0,0,0,0
1400544000,0,0,0,0,0,0,0,0
1401148800,0,0,0,0,0,0,0,0
1401753600,0,0,0,0,0,0,0,0
1402358400,0,0,0,0,0,0,0,0
1402963200,1,0,0,0,0,1,0,0
1403568000,0,0,0,0,0,0,0,0
1404172800,2,0,1,1,0,0,0,0
1404777600,2,0,2,0,0,0,0,0
1405382400,1,0,1,0,0,0,0,0
1405987200,0,0,0,0,0,0,0,0
1406592000,0,0,0,0,0,0,0,0
1407196800,0,0,0,0,0,0,0,0
1407801600,0,0,0,0,0,0,0,0
1408406400,0,0,0,0,0,0,0,0
1409011200,0,0,0,0,0,0,0,0
1409616000,0,0,0,0,0,0,0,0
1410220800,0,0,0,0,0,0,0,0
1410825600,0,0,0,0,0,0,0,0
1411430400,0,0,0,0,0,0,0,0
1412035200,0,0,0,0,0,0,0,0
1412640000,1,0,1,0,0,0,0,0
1413244800,0,0,0,0,0,0,0,0
1413849600,2,0,1,1,0,0,0,0
1414454400,1,0,0,1,0,0,0,0
1415059200,1,0,1,0,0,0,0,0
1415664000,6,0,1,0,0,5,0,0
1416268800,0,0,0,0,0,0,0,0
1416873600,0,0,0,0,0,0,0,0
1417478400,0,0,0,0,0,0,0,0
1418083200,3,0,0,1,0,0,2,0
1418688000,2,0,1,0,0,0,1,0
1419292800,2,0,0,2,0,0,0,0
1419897600,0,0,0,0,0,0,0,0
1420502400,0,0,0,0,0,0,0,0
1421107200,0,0,0,0,0,0,0,0
1421712000,0,0,0,0,0,0,0,0
1422316800,2,0,1,0,0,0,1,0
1422921600,0,0,0,0,0,0,0,0
1423526400,0,0,0,0,0,0,0,0
1424131200,0,0,0,0,0,0,0,0
1424736000,4,0,2,0,1,0,1,0
1425340800,0,0,0,0,0,0,0,0
1425945600,0,0,0,0,0,0,0,0
1426550400,1,0,1,0,0,0,0,0
1427155200,0,0,0,0,0,0,0,0
1427760000,0,0,0,0,0,0,0,0
1428364800,0,0,0,0,0,0,0,0
1428969600,2,0,1,0,0,0,1,0
