date,total,accept,badge,comment,post,review,revision,suggest
1218352587,0,0,0,0,0,0,0,0
1218957387,0,0,0,0,0,0,0,0
1219562187,1,0,0,0,1,0,0,0
1220166987,0,0,0,0,0,0,0,0
1220771787,2,0,0,0,2,0,0,0
1221376587,0,0,0,0,0,0,0,0
1221981387,0,0,0,0,0,0,0,0
1222586187,0,0,0,0,0,0,0,0
1223190987,0,0,0,0,0,0,0,0
1223795787,1,0,0,0,1,0,0,0
1224400587,4,0,0,3,1,0,0,0
1225005387,1,0,0,1,0,0,0,0
1225610187,2,0,0,1,1,0,0,0
1226214987,0,0,0,0,0,0,0,0
1226819787,0,0,0,0,0,0,0,0
1227424587,0,0,0,0,0,0,0,0
1228029387,0,0,0,0,0,0,0,0
1228634187,0,0,0,0,0,0,0,0
1229238987,0,0,0,0,0,0,0,0
1229843787,0,0,0,0,0,0,0,0
1230448587,0,0,0,0,0,0,0,0
1231053387,0,0,0,0,0,0,0,0
1231658187,0,0,0,0,0,0,0,0
1232262987,0,0,0,0,0,0,0,0
1232867787,0,0,0,0,0,0,0,0
1233472587,0,0,0,0,0,0,0,0
1234077387,0,0,0,0,0,0,0,0
1234682187,0,0,0,0,0,0,0,0
1235286987,0,0,0,0,0,0,0,0
1235891787,0,0,0,0,0,0,0,0
1236496587,0,0,0,0,0,0,0,0
1237101387,0,0,0,0,0,0,0,0
1237706187,0,0,0,0,0,0,0,0
1238310987,0,0,0,0,0,0,0,0
1238915787,0,0,0,0,0,0,0,0
1239520587,0,0,0,0,0,0,0,0
1240125387,0,0,0,0,0,0,0,0
1240730187,0,0,0,0,0,0,0,0
1241334987,0,0,0,0,0,0,0,0
1241939787,0,0,0,0,0,0,0,0
1242544587,0,0,0,0,0,0,0,0
1243149387,0,0,0,0,0,0,0,0
1243754187,0,0,0,0,0,0,0,0
1244358987,0,0,0,0,0,0,0,0
1244963787,0,0,0,0,0,0,0,0
1245568587,0,0,0,0,0,0,0,0
1246173387,0,0,0,0,0,0,0,0
1246778187,72,1,11,35,23,0,2,0
1247382987,17,0,2,9,6,0,0,0
1247987787,16,1,3,8,3,0,1,0
1248592587,18,1,1,8,7,0,1,0
1249197387,9,0,2,2,4,0,1,0
1249802187,11,0,1,4,6,0,0,0
1250406987,23,1,1,16,5,0,0,0
1251011787,16,0,0,12,4,0,0,0
1251616587,1,0,0,0,1,0,0,0
1252221387,12,0,2,8,2,0,0,0
1252826187,12,0,1,8,2,0,1,0
1253430987,1,0,0,1,0,0,0,0
1254035787,13,0,0,8,4,0,1,0
1254640587,21,0,1,15,3,0,2,0
1255245387,8,0,1,6,1,0,0,0
1255850187,5,0,0,2,2,0,1,0
1256454987,7,0,1,2,4,0,0,0
1257059787,16,0,0,8,5,0,3,0
1257664587,24,0,1,14,7,0,2,0
1258269387,6,1,1,4,0,0,0,0
1258874187,5,0,0,3,2,0,0,0
1259478987,0,0,0,0,0,0,0,0
1260083787,0,0,0,0,0,0,0,0
1260688587,0,0,0,0,0,0,0,0
1261293387,0,0,0,0,0,0,0,0
1261898187,1,0,1,0,0,0,0,0
1262502987,0,0,0,0,0,0,0,0
1263107787,1,0,1,0,0,0,0,0
1263712587,0,0,0,0,0,0,0,0
1264317387,0,0,0,0,0,0,0,0
1264922187,0,0,0,0,0,0,0,0
1265526987,0,0,0,0,0,0,0,0
1266131787,0,0,0,0,0,0,0,0
1266736587,0,0,0,0,0,0,0,0
1267341387,0,0,0,0,0,0,0,0
1267946187,0,0,0,0,0,0,0,0
1268550987,0,0,0,0,0,0,0,0
1269155787,0,0,0,0,0,0,0,0
1269760587,0,0,0,0,0,0,0,0
1270365387,0,0,0,0,0,0,0,0
1270970187,0,0,0,0,0,0,0,0
1271574987,0,0,0,0,0,0,0,0
1272179787,0,0,0,0,0,0,0,0
1272784587,0,0,0,0,0,0,0,0
1273389387,1,0,1,0,0,0,0,0
1273994187,1,0,1,0,0,0,0,0
1274598987,0,0,0,0,0,0,0,0
1275203787,1,0,1,0,0,0,0,0
1275808587,0,0,0,0,0,0,0,0
1276413387,0,0,0,0,0,0,0,0
1277018187,2,0,2,0,0,0,0,0
1277622987,0,0,0,0,0,0,0,0
1278227787,1,0,1,0,0,0,0,0
1278832587,0,0,0,0,0,0,0,0
1279437387,5,0,0,4,1,0,0,0
1280042187,16,0,1,12,3,0,0,0
1280646987,13,1,0,9,3,0,0,0
1281251787,25,0,0,16,7,0,2,0
1281856587,21,0,0,11,9,0,1,0
1282461387,10,0,1,7,1,0,1,0
1283066187,10,0,0,7,3,0,0,0
1283670987,10,0,0,6,3,0,1,0
1284275787,1,0,0,0,1,0,0,0
1284880587,18,0,0,14,2,0,2,0
1285485387,2,0,0,1,0,0,1,0
1286090187,0,0,0,0,0,0,0,0
1286694987,0,0,0,0,0,0,0,0
1287299787,0,0,0,0,0,0,0,0
1287904587,1,0,1,0,0,0,0,0
1288509387,0,0,0,0,0,0,0,0
1289114187,1,0,1,0,0,0,0,0
1289718987,0,0,0,0,0,0,0,0
1290323787,1,0,1,0,0,0,0,0
1290928587,4,0,0,3,1,0,0,0
1291533387,5,0,1,3,0,0,1,0
