date,total,accept,badge,comment,post,review,revision,suggest
1218499200,0,0,0,0,0,0,0,0
1219104000,0,0,0,0,0,0,0,0
1219708800,0,0,0,0,0,0,0,0
1220313600,0,0,0,0,0,0,0,0
1220918400,0,0,0,0,0,0,0,0
1221523200,0,0,0,0,0,0,0,0
1222128000,0,0,0,0,0,0,0,0
1222732800,0,0,0,0,0,0,0,0
1223337600,0,0,0,0,0,0,0,0
1223942400,0,0,0,0,0,0,0,0
1224547200,0,0,0,0,0,0,0,0
1225152000,0,0,0,0,0,0,0,0
1225756800,0,0,0,0,0,0,0,0
1226361600,0,0,0,0,0,0,0,0
1226966400,0,0,0,0,0,0,0,0
1227571200,0,0,0,0,0,0,0,0
1228176000,0,0,0,0,0,0,0,0
1228780800,0,0,0,0,0,0,0,0
1229385600,0,0,0,0,0,0,0,0
1229990400,0,0,0,0,0,0,0,0
1230595200,0,0,0,0,0,0,0,0
1231200000,0,0,0,0,0,0,0,0
1231804800,0,0,0,0,0,0,0,0
1232409600,0,0,0,0,0,0,0,0
1233014400,0,0,0,0,0,0,0,0
1233619200,0,0,0,0,0,0,0,0
1234224000,0,0,0,0,0,0,0,0
1234828800,0,0,0,0,0,0,0,0
1235433600,0,0,0,0,0,0,0,0
1236038400,0,0,0,0,0,0,0,0
1236643200,0,0,0,0,0,0,0,0
1237248000,0,0,0,0,0,0,0,0
1237852800,0,0,0,0,0,0,0,0
1238457600,0,0,0,0,0,0,0,0
1239062400,0,0,0,0,0,0,0,0
1239667200,0,0,0,0,0,0,0,0
1240272000,0,0,0,0,0,0,0,0
1240876800,0,0,0,0,0,0,0,0
1241481600,0,0,0,0,0,0,0,0
1242086400,1,0,1,0,0,0,0,0
1242691200,0,0,0,0,0,0,0,0
1243296000,136,1,5,38,73,0,19,0
1243900800,126,0,1,30,76,0,19,0
1244505600,160,1,3,56,69,0,31,0
1245110400,149,0,2,54,56,0,37,0
1245715200,168,1,0,83,62,0,22,0
1246320000,220,1,4,102,68,0,45,0
1246924800,184,3,3,74,61,0,43,0
1247529600,213,0,5,87,65,0,56,0
1248134400,166,7,0,85,49,0,25,0
1248739200,193,6,5,88,44,0,50,0
1249344000,149,0,1,62,50,0,36,0
1249948800,177,2,4,70,67,0,34,0
1250553600,98,0,2,34,38,0,24,0
1251158400,33,0,1,18,10,0,4,0
1251763200,4,0,0,0,3,0,1,0
1252368000,11,0,0,3,3,0,5,0
1252972800,60,0,0,22,17,0,21,0
1253577600,138,1,1,52,41,0,43,0
1254182400,211,1,0,89,59,0,62,0
1254787200,132,2,3,52,35,0,40,0
1255392000,176,1,4,54,63,0,54,0
1255996800,120,0,1,41,48,0,30,0
1256601600,113,0,0,40,41,0,32,0
1257206400,37,0,6,16,8,0,7,0
1257811200,139,1,4,54,38,0,42,0
1258416000,143,1,5,58,45,0,34,0
1259020800,157,0,4,50,50,0,53,0
1259625600,119,0,1,42,47,0,29,0
1260230400,93,0,3,35,29,0,26,0
1260835200,75,0,1,35,21,0,18,0
1261440000,49,2,0,20,16,0,11,0
1262044800,22,0,0,8,5,0,9,0
1262649600,43,0,1,21,8,0,13,0
1263254400,58,0,1,31,13,0,13,0
1263859200,62,0,1,28,19,0,14,0
1264464000,121,0,0,59,25,0,37,0
1265068800,78,1,1,36,21,0,19,0
1265673600,93,0,0,32,31,0,30,0
1266278400,77,0,4,30,21,0,22,0
1266883200,39,1,0,17,8,0,13,0
1267488000,86,2,1,50,17,0,16,0
1268092800,63,0,1,28,16,0,18,0
1268697600,22,0,0,9,6,0,7,0
1269302400,13,0,1,3,3,0,6,0
1269907200,102,5,1,50,16,0,30,0
1270512000,57,0,0,34,9,0,14,0
1271116800,116,1,1,49,32,0,33,0
1271721600,129,0,4,52,34,0,39,0
1272326400,109,0,0,44,30,0,35,0
1272931200,108,1,7,44,26,0,30,0
1273536000,147,1,6,78,24,0,38,0
1274140800,176,0,3,82,47,0,44,0
1274745600,171,0,4,71,52,0,44,0
1275350400,148,0,1,60,48,0,39,0
1275955200,80,0,1,33,22,0,24,0
1276560000,45,0,0,26,11,0,8,0
1277164800,33,0,0,12,6,0,15,0
1277769600,51,0,2,24,9,0,16,0
1278374400,54,0,0,25,16,0,13,0
1278979200,39,1,2,18,7,0,11,0
1279584000,68,1,2,28,10,0,27,0
1280188800,46,1,0,19,9,0,17,0
1280793600,84,0,0,45,10,0,29,0
1281398400,88,0,0,44,17,0,27,0
1282003200,80,0,1,40,14,0,25,0
1282608000,55,0,0,32,11,0,12,0
1283212800,46,0,2,22,9,0,13,0
1283817600,101,0,0,46,23,0,32,0
1284422400,73,1,0,30,18,0,24,0
1285027200,44,2,0,16,10,0,16,0
1285632000,48,0,0,31,6,0,11,0
1286236800,39,0,8,15,3,0,13,0
1286841600,18,0,0,8,5,0,5,0
1287446400,71,1,2,32,19,0,17,0
1288051200,78,0,4,22,14,0,38,0
1288656000,87,0,4,49,18,0,16,0
1289260800,74,0,5,38,15,0,16,0
1289865600,55,0,0,26,14,0,15,0
1290470400,42,0,1,13,14,0,14,0
1291075200,17,0,1,8,1,0,7,0
1291680000,49,0,1,20,12,0,16,0
1292284800,28,0,2,12,5,0,9,0
1292889600,10,0,0,7,1,0,2,0
1293494400,5,0,0,3,1,0,1,0
1294099200,11,0,0,5,2,0,4,0
1294704000,21,0,0,14,3,0,4,0
1295308800,12,0,0,7,3,0,2,0
1295913600,38,0,0,23,5,0,10,0
1296518400,12,0,1,9,1,0,1,0
1297123200,158,0,4,17,8,94,35,0
1297728000,419,0,1,55,35,227,101,0
1298332800,458,0,0,65,25,277,91,0
1298937600,243,0,0,48,21,114,60,0
1299542400,109,0,0,55,10,13,31,0
1300147200,65,0,0,22,7,15,21,0
1300752000,34,0,1,14,2,7,10,0
1301356800,93,0,6,48,13,1,25,0
1301961600,49,0,1,24,1,1,22,0
1302566400,76,0,1,37,6,0,32,0
1303171200,54,0,0,30,5,2,17,0
1303776000,78,0,0,17,6,30,25,0
1304380800,47,1,0,21,3,4,18,0
1304985600,42,0,2,24,1,0,15,0
1305590400,63,0,0,33,7,4,19,0
1306195200,73,1,1,30,11,9,21,0
1306800000,51,0,1,20,5,1,24,0
1307404800,79,1,1,38,7,4,28,0
1308009600,88,0,1,31,3,29,24,0
1308614400,51,0,3,31,2,0,15,0
1309219200,71,0,4,27,2,10,28,0
1309824000,50,0,0,11,6,20,13,0
1310428800,81,0,2,14,2,24,39,0
1311033600,60,0,0,23,5,7,25,0
1311638400,89,0,0,23,6,31,29,0
1312243200,87,0,4,15,3,10,55,0
1312848000,52,1,1,19,3,1,27,0
1313452800,38,1,2,23,3,2,7,0
1314057600,23,0,3,3,0,10,7,0
1314662400,128,0,7,38,4,16,63,0
1315267200,93,1,1,25,3,30,33,0
1315872000,83,0,1,17,2,40,23,0
1316476800,129,0,0,28,5,3,93,0
1317081600,82,0,4,19,4,35,20,0
1317686400,31,0,1,11,2,1,16,0
1318291200,50,0,0,15,4,3,28,0
1318896000,48,0,0,31,4,0,13,0
1319500800,38,1,1,14,6,1,15,0
1320105600,19,0,0,6,2,1,10,0
1320710400,99,0,0,18,1,56,24,0
1321315200,40,0,0,18,1,1,20,0
1321920000,34,0,4,12,2,0,16,0
1322524800,162,1,0,43,3,70,45,0
1323129600,137,0,1,19,5,65,47,0
1323734400,42,0,4,13,0,13,12,0
1324339200,176,0,2,23,2,125,24,0
1324944000,93,1,1,25,2,31,33,0
1325548800,68,0,2,6,2,37,21,0
1326153600,40,0,1,21,0,1,17,0
1326758400,122,1,1,32,0,50,38,0
1327363200,104,0,0,42,6,1,55,0
1327968000,114,1,3,39,12,4,55,0
1328572800,121,0,1,26,2,75,17,0
1329177600,27,0,2,10,1,0,14,0
1329782400,24,0,0,9,5,2,8,0
1330387200,120,0,2,57,9,11,41,0
1330992000,40,1,0,23,4,3,9,0
1331596800,48,0,4,25,3,6,10,0
1332201600,136,0,1,28,5,77,25,0
1332806400,71,0,5,22,8,4,32,0
1333411200,160,0,1,53,9,33,64,0
1334016000,70,0,0,31,9,6,24,0
1334620800,99,0,4,62,10,2,21,0
1335225600,106,0,2,52,13,10,29,0
1335830400,70,0,2,39,6,3,20,0
1336435200,117,1,2,61,8,10,35,0
1337040000,43,0,2,19,9,0,13,0
1337644800,66,0,0,39,2,2,23,0
1338249600,22,0,0,9,3,1,9,0
1338854400,83,0,3,31,8,13,28,0
1339459200,98,0,5,45,5,7,36,0
1340064000,76,0,4,40,2,4,26,0
1340668800,104,0,0,64,6,2,32,0
1341273600,273,0,2,103,17,13,138,0
1341878400,109,1,0,66,3,3,36,0
1342483200,229,0,0,92,9,69,59,0
1343088000,138,0,3,60,4,2,69,0
1343692800,71,1,4,32,6,5,23,0
1344297600,96,0,1,33,4,10,48,0
1344902400,125,0,1,66,7,16,35,0
1345507200,154,0,0,94,15,6,39,0
1346112000,106,0,2,62,8,12,22,0
1346716800,55,0,0,32,0,1,22,0
1347321600,46,0,3,19,6,0,18,0
1347926400,13,0,3,8,1,0,1,0
1348531200,4,0,2,1,0,0,1,0
1349136000,105,0,3,58,4,2,38,0
1349740800,75,0,2,45,5,0,23,0
1350345600,126,0,2,47,13,3,61,0
1350950400,192,0,5,80,17,5,85,0
1351555200,135,0,0,76,7,14,38,0
1352160000,74,0,4,34,9,0,27,0
1352764800,61,0,5,34,3,0,19,0
1353369600,32,0,3,10,3,1,15,0
1353974400,66,0,2,37,5,1,21,0
1354579200,98,0,1,56,7,0,34,0
1355184000,59,0,0,28,5,1,25,0
1355788800,147,0,0,97,11,1,38,0
1356393600,80,0,1,45,5,5,24,0
1356998400,163,0,6,73,8,15,61,0
1357603200,224,0,1,146,9,5,63,0
1358208000,97,0,6,55,5,0,31,0
1358812800,113,1,4,60,5,5,38,0
1359417600,130,0,3,71,7,2,47,0
1360022400,98,0,5,56,1,4,32,0
1360627200,41,0,1,14,3,1,22,0
1361232000,73,0,5,41,2,1,24,0
1361836800,154,0,1,53,6,2,92,0
1362441600,173,0,4,91,12,2,64,0
1363046400,95,0,1,44,14,1,35,0
1363651200,101,0,1,71,10,1,18,0
1364256000,111,0,0,85,4,2,20,0
1364860800,114,0,1,84,7,2,20,0
1365465600,194,1,1,129,15,1,47,0
1366070400,152,0,5,95,15,4,33,0
1366675200,182,0,2,121,10,3,46,0
1367280000,140,0,2,90,14,2,32,0
1367884800,121,0,3,72,9,5,32,0
1368489600,127,0,1,72,7,2,45,0
1369094400,163,0,3,116,7,0,37,0
1369699200,98,0,1,57,4,7,29,0
1370304000,151,0,3,92,10,1,45,0
1370908800,110,0,2,62,8,1,37,0
1371513600,60,0,1,31,5,4,19,0
1372118400,59,1,1,40,2,0,15,0
1372723200,166,0,1,123,0,3,39,0
1373328000,74,0,3,47,2,2,20,0
1373932800,167,0,1,116,17,3,30,0
1374537600,78,0,2,49,7,1,19,0
1375142400,53,0,0,37,2,2,12,0
1375747200,143,0,0,101,11,0,31,0
1376352000,168,0,3,87,14,0,64,0
1376956800,71,0,0,48,8,0,15,0
1377561600,90,0,2,54,6,6,22,0
1378166400,81,0,1,34,6,2,38,0
1378771200,86,0,4,47,2,2,31,0
1379376000,73,0,2,36,3,0,32,0
1379980800,148,0,2,68,1,3,74,0
1380585600,148,0,3,82,9,15,39,0
1381190400,67,0,0,39,4,0,24,0
1381795200,26,0,1,18,1,0,6,0
1382400000,62,0,0,35,3,0,24,0
1383004800,79,0,1,48,4,4,22,0
1383609600,79,0,1,48,5,3,22,0
1384214400,125,0,4,50,2,5,64,0
1384819200,80,0,1,36,5,1,37,0
1385424000,63,0,1,32,6,4,20,0
1386028800,67,0,3,46,1,1,16,0
1386633600,70,0,4,39,2,1,24,0
1387238400,89,0,0,48,7,0,34,0
1387843200,66,0,0,27,3,16,20,0
1388448000,91,0,0,45,17,3,26,0
1389052800,37,0,2,20,3,0,12,0
1389657600,127,0,0,91,6,1,29,0
1390262400,93,0,0,66,6,2,19,0
1390867200,106,0,1,89,1,1,14,0
1391472000,133,0,0,86,14,1,32,0
1392076800,144,0,4,88,4,1,47,0
1392681600,61,0,1,45,4,0,11,0
1393286400,84,0,1,50,10,1,22,0
1393891200,62,0,0,45,3,1,13,0
1394496000,85,0,2,48,4,2,29,0
1395100800,74,0,1,49,3,1,20,0
1395705600,99,0,0,70,6,1,22,0
1396310400,54,0,0,27,6,2,19,0
1396915200,123,0,0,83,6,3,31,0
1397520000,61,0,1,46,1,1,12,0
1398124800,99,0,2,69,2,1,25,0
1398729600,104,0,1,69,7,2,25,0
1399334400,99,0,1,61,8,2,27,0
1399939200,101,0,4,62,2,0,33,0
1400544000,54,0,1,36,5,1,11,0
1401148800,44,0,2,26,4,1,11,0
1401753600,139,0,0,93,7,2,37,0
1402358400,106,0,0,77,6,0,23,0
1402963200,94,0,1,54,4,0,35,0
1403568000,51,0,2,37,2,1,9,0
1404172800,157,0,0,104,5,0,48,0
1404777600,54,0,2,32,5,0,15,0
1405382400,124,0,0,85,7,1,31,0
1405987200,121,0,0,79,8,0,34,0
1406592000,86,0,4,49,5,1,27,0
1407196800,126,0,2,71,7,0,46,0
1407801600,87,0,1,59,6,0,21,0
1408406400,121,0,0,89,3,1,28,0
1409011200,87,0,3,47,1,1,35,0
1409616000,38,0,0,16,1,0,21,0
1410220800,87,0,4,49,4,0,30,0
1410825600,113,0,0,41,8,10,54,0
1411430400,90,0,3,52,7,3,25,0
1412035200,86,0,3,55,7,2,19,0
1412640000,75,0,4,51,3,3,14,0
1413244800,16,0,0,8,0,1,7,0
1413849600,57,0,0,43,3,0,11,0
1414454400,26,0,0,13,2,0,11,0
1415059200,39,0,0,23,2,0,14,0
1415664000,24,0,2,14,2,0,6,0
1416268800,37,0,0,28,2,0,7,0
1416873600,28,0,1,19,1,0,7,0
1417478400,107,0,1,70,10,1,25,0
1418083200,26,0,2,9,2,1,12,0
1418688000,42,0,0,34,1,0,7,0
1419292800,100,0,4,61,8,3,24,0
1419897600,31,0,0,19,1,3,8,0
1420502400,51,0,3,30,4,0,14,0
1421107200,48,1,4,35,1,2,5,0
1421712000,119,0,1,78,10,2,28,0
1422316800,49,0,2,32,3,0,12,0
1422921600,78,0,1,53,3,2,19,0
1423526400,89,0,1,57,5,1,25,0
1424131200,22,0,2,14,1,0,5,0
1424736000,37,0,1,21,0,8,7,0
1425340800,19,0,2,16,0,0,1,0
1425945600,43,0,2,30,0,0,11,0
1426550400,18,0,3,12,0,0,3,0
1427155200,50,0,2,43,0,0,5,0
1427760000,44,0,1,26,4,0,13,0
1428364800,43,0,2,27,2,1,11,0
1428969600,69,0,1,48,1,2,17,0
