date,total,accept,badge,comment,post,review,revision,suggest
1218499200,0,0,0,0,0,0,0,0
1219104000,0,0,0,0,0,0,0,0
1219708800,0,0,0,0,0,0,0,0
1220313600,0,0,0,0,0,0,0,0
1220918400,0,0,0,0,0,0,0,0
1221523200,0,0,0,0,0,0,0,0
1222128000,25,0,7,7,10,0,1,0
1222732800,33,0,3,21,5,0,4,0
1223337600,28,0,2,14,5,0,7,0
1223942400,30,0,2,15,7,0,6,0
1224547200,11,0,0,8,1,0,2,0
1225152000,13,0,0,5,5,0,3,0
1225756800,10,0,1,2,4,0,3,0
1226361600,22,0,1,12,5,0,4,0
1226966400,3,0,0,2,1,0,0,0
1227571200,12,0,1,6,5,0,0,0
1228176000,5,0,0,0,4,0,1,0
1228780800,13,0,2,7,2,0,2,0
1229385600,17,0,0,8,6,0,3,0
1229990400,23,0,0,8,7,0,8,0
1230595200,11,0,0,1,4,0,6,0
1231200000,11,0,0,4,2,0,5,0
1231804800,39,0,0,15,3,0,21,0
1232409600,50,0,1,22,8,0,19,0
1233014400,56,0,2,17,10,0,27,0
1233619200,31,0,1,11,7,0,12,0
1234224000,59,1,0,29,14,0,15,0
1234828800,52,0,1,28,11,0,12,0
1235433600,61,0,0,31,11,0,19,0
1236038400,125,0,6,52,14,0,53,0
1236643200,86,0,3,38,8,0,37,0
1237248000,111,0,1,56,6,0,48,0
1237852800,100,0,1,36,14,0,49,0
1238457600,104,0,6,31,12,0,55,0
1239062400,114,0,1,42,11,0,60,0
1239667200,93,0,2,42,11,0,38,0
1240272000,133,0,5,55,21,0,52,0
1240876800,138,0,7,60,20,0,51,0
1241481600,208,0,4,83,23,0,98,0
1242086400,140,0,2,57,17,0,64,0
1242691200,150,0,2,64,23,0,61,0
1243296000,128,0,3,63,16,0,46,0
1243900800,78,0,0,39,11,0,28,0
1244505600,164,0,0,95,18,0,51,0
1245110400,152,0,9,78,16,0,49,0
1245715200,131,0,3,79,17,0,32,0
1246320000,150,1,5,84,15,0,45,0
1246924800,74,0,1,44,9,0,20,0
1247529600,1,0,1,0,0,0,0,0
1248134400,21,0,1,11,3,0,6,0
1248739200,92,0,2,58,11,0,21,0
1249344000,61,0,3,26,8,0,24,0
1249948800,51,0,4,23,5,0,19,0
1250553600,27,0,1,12,1,0,13,0
1251158400,30,0,0,15,3,0,12,0
1251763200,0,0,0,0,0,0,0,0
1252368000,0,0,0,0,0,0,0,0
1252972800,7,0,0,2,0,0,5,0
1253577600,29,0,2,11,5,0,11,0
1254182400,30,0,0,20,1,0,9,0
1254787200,33,0,1,16,3,0,13,0
1255392000,10,0,1,4,0,0,5,0
1255996800,38,0,1,20,3,0,14,0
1256601600,21,0,0,9,0,0,12,0
1257206400,25,0,2,11,1,0,11,0
1257811200,47,0,3,15,2,0,27,0
1258416000,30,0,0,17,2,0,11,0
1259020800,29,0,2,13,3,0,11,0
1259625600,18,0,2,8,1,0,7,0
1260230400,23,0,1,8,2,0,12,0
1260835200,49,0,0,24,3,0,22,0
1261440000,27,0,0,16,1,0,10,0
1262044800,40,0,0,18,2,0,20,0
1262649600,26,0,2,13,3,0,8,0
1263254400,34,0,2,20,1,0,11,0
1263859200,51,0,0,11,3,0,37,0
1264464000,30,1,1,13,1,0,14,0
1265068800,15,0,0,9,0,0,6,0
1265673600,76,0,3,32,4,0,37,0
1266278400,30,0,1,19,1,0,9,0
1266883200,29,0,0,12,2,0,15,0
1267488000,31,0,3,17,2,0,9,0
1268092800,90,0,0,48,7,0,35,0
1268697600,104,0,1,42,11,0,50,0
1269302400,50,0,0,33,7,0,10,0
1269907200,66,0,2,29,6,0,29,0
1270512000,54,0,1,22,5,0,26,0
1271116800,44,0,1,19,7,0,17,0
1271721600,6,0,0,4,0,0,2,0
1272326400,8,0,0,1,1,0,6,0
1272931200,27,0,2,12,2,0,11,0
1273536000,17,0,0,6,3,0,8,0
1274140800,27,0,3,5,1,0,18,0
1274745600,20,0,0,12,3,0,5,0
1275350400,37,0,2,21,1,0,13,0
1275955200,11,0,0,8,0,0,3,0
1276560000,14,0,0,9,0,0,5,0
1277164800,16,0,1,8,3,0,4,0
1277769600,10,0,0,4,1,0,5,0
1278374400,12,0,0,5,3,0,4,0
1278979200,22,0,3,13,0,0,6,0
1279584000,13,0,0,7,0,0,6,0
1280188800,6,0,2,3,0,0,1,0
1280793600,7,0,0,4,0,0,3,0
1281398400,5,0,1,2,1,0,1,0
1282003200,11,0,0,5,0,0,6,0
1282608000,13,0,4,7,0,0,2,0
1283212800,3,0,1,1,0,0,1,0
1283817600,8,0,2,3,0,0,3,0
1284422400,5,0,0,3,0,0,2,0
1285027200,2,0,1,1,0,0,0,0
1285632000,5,0,0,1,0,0,4,0
1286236800,11,0,7,1,0,0,3,0
1286841600,11,0,3,3,2,0,3,0
1287446400,1,0,1,0,0,0,0,0
1288051200,3,0,1,0,1,0,1,0
1288656000,7,0,0,3,0,0,4,0
1289260800,12,1,1,7,0,0,3,0
1289865600,4,0,0,3,0,0,1,0
1290470400,3,0,1,1,0,0,1,0
1291075200,4,0,1,2,0,0,1,0
1291680000,4,0,0,2,0,0,2,0
1292284800,2,0,2,0,0,0,0,0
1292889600,8,0,0,1,0,0,7,0
1293494400,11,0,0,3,1,0,7,0
1294099200,14,0,0,9,0,0,5,0
1294704000,8,0,0,3,1,0,4,0
1295308800,8,0,2,2,0,0,4,0
1295913600,9,0,0,6,0,0,3,0
1296518400,35,0,3,1,0,20,11,0
1297123200,10,0,1,0,0,6,3,0
1297728000,32,0,3,1,0,20,8,0
1298332800,18,0,1,3,0,11,3,0
1298937600,13,0,1,5,0,2,5,0
1299542400,10,0,2,0,0,6,2,0
1300147200,7,0,0,0,0,4,3,0
1300752000,18,0,0,5,0,3,10,0
1301356800,22,0,0,6,1,6,9,0
1301961600,11,0,1,4,0,0,6,0
1302566400,16,0,0,4,0,1,11,0
1303171200,20,0,1,3,0,9,7,0
1303776000,6,0,1,1,0,2,2,0
1304380800,14,0,0,5,0,6,3,0
1304985600,17,0,1,3,1,2,10,0
1305590400,11,0,0,5,0,2,4,0
1306195200,15,0,1,6,0,3,5,0
1306800000,4,0,0,2,0,1,1,0
1307404800,25,0,1,13,2,2,7,0
1308009600,29,0,15,3,0,4,7,0
1308614400,12,0,0,6,0,0,6,0
1309219200,26,0,1,7,0,4,14,0
1309824000,12,0,1,2,0,4,5,0
1310428800,32,0,7,6,2,7,10,0
1311033600,18,0,2,4,1,1,10,0
1311638400,33,0,3,1,0,13,16,0
1312243200,20,0,0,7,0,5,8,0
1312848000,26,0,2,7,1,0,16,0
1313452800,21,0,2,6,0,4,9,0
1314057600,6,0,1,2,0,0,3,0
1314662400,19,0,1,3,0,4,11,0
1315267200,12,0,3,6,0,0,3,0
1315872000,12,0,1,4,0,0,7,0
1316476800,14,0,4,2,1,1,6,0
1317081600,5,0,1,0,0,0,4,0
1317686400,3,0,2,0,1,0,0,0
1318291200,5,0,3,1,0,0,1,0
1318896000,1,0,0,0,0,0,1,0
1319500800,6,0,0,0,0,0,6,0
1320105600,13,0,0,7,0,0,6,0
1320710400,11,0,3,5,0,0,3,0
1321315200,12,0,0,5,0,3,4,0
1321920000,14,0,3,3,0,3,5,0
1322524800,9,0,2,4,0,0,3,0
1323129600,10,0,1,5,0,1,3,0
1323734400,5,0,3,0,0,0,2,0
1324339200,7,0,3,1,0,0,3,0
1324944000,8,0,1,3,0,0,4,0
1325548800,1,0,0,1,0,0,0,0
1326153600,7,0,1,2,0,0,4,0
1326758400,18,0,3,7,0,5,3,0
1327363200,3,0,1,1,0,0,1,0
1327968000,1,0,0,0,0,0,1,0
1328572800,14,0,0,4,0,0,10,0
1329177600,29,0,1,7,0,16,5,0
1329782400,14,0,5,5,0,0,4,0
1330387200,11,0,1,3,0,1,6,0
1330992000,21,0,4,6,0,1,10,0
1331596800,7,0,3,1,0,0,3,0
1332201600,7,0,1,2,0,0,4,0
1332806400,10,0,1,1,0,2,6,0
1333411200,10,0,1,3,0,1,5,0
1334016000,17,0,2,6,0,0,9,0
1334620800,11,0,0,4,0,5,2,0
1335225600,6,0,0,2,0,2,2,0
1335830400,4,0,2,1,0,0,1,0
1336435200,18,0,2,4,0,1,11,0
1337040000,11,0,3,1,0,7,0,0
1337644800,16,0,1,0,0,5,10,0
1338249600,7,0,0,0,0,5,2,0
1338854400,2,0,0,0,0,0,2,0
1339459200,15,0,8,1,0,1,5,0
1340064000,13,0,4,0,0,6,3,0
1340668800,9,0,1,3,1,2,2,0
1341273600,15,0,1,5,0,6,3,0
1341878400,1,0,0,1,0,0,0,0
1342483200,12,0,3,1,0,6,2,0
1343088000,4,0,1,1,0,1,1,0
1343692800,3,0,0,0,0,2,1,0
1344297600,4,0,1,2,0,0,1,0
1344902400,4,0,4,0,0,0,0,0
1345507200,6,0,2,3,0,0,1,0
1346112000,8,0,4,2,0,0,2,0
1346716800,6,0,2,0,0,0,4,0
1347321600,3,0,2,1,0,0,0,0
1347926400,2,0,2,0,0,0,0,0
1348531200,16,0,3,3,0,4,6,0
1349136000,16,0,0,3,1,1,11,0
1349740800,5,0,1,2,0,0,2,0
1350345600,5,0,1,0,0,0,4,0
1350950400,1,0,0,1,0,0,0,0
1351555200,8,0,1,0,0,1,6,0
1352160000,6,0,0,2,0,0,4,0
1352764800,8,0,3,0,0,0,5,0
1353369600,11,0,4,2,0,1,4,0
1353974400,3,0,0,0,0,0,3,0
1354579200,8,0,0,1,0,1,6,0
1355184000,7,0,5,1,0,0,1,0
1355788800,4,0,1,1,0,0,2,0
1356393600,18,0,3,3,0,7,5,0
1356998400,17,0,0,1,0,0,16,0
1357603200,6,0,0,1,1,0,4,0
1358208000,7,0,1,3,1,0,2,0
1358812800,19,0,1,10,1,0,7,0
1359417600,11,0,0,3,0,0,8,0
1360022400,8,0,3,4,0,0,1,0
1360627200,9,0,2,2,0,0,5,0
1361232000,35,0,4,16,1,2,12,0
1361836800,15,0,5,3,2,0,5,0
1362441600,11,0,3,4,0,0,4,0
1363046400,5,0,1,2,0,0,2,0
1363651200,3,0,2,0,0,1,0,0
1364256000,4,0,1,0,0,1,2,0
1364860800,1,0,1,0,0,0,0,0
1365465600,11,0,1,4,0,0,6,0
1366070400,2,0,0,1,0,0,1,0
1366675200,3,0,2,0,0,0,1,0
1367280000,6,0,2,0,0,0,4,0
1367884800,14,0,1,1,0,7,5,0
1368489600,6,0,2,0,0,1,3,0
1369094400,3,0,1,0,0,0,2,0
1369699200,9,0,1,1,0,2,5,0
1370304000,7,0,1,4,0,0,2,0
1370908800,9,0,1,1,0,3,4,0
1371513600,33,0,2,11,0,8,12,0
1372118400,26,0,1,11,1,0,13,0
1372723200,11,0,2,2,1,0,6,0
1373328000,2,0,0,0,0,1,1,0
1373932800,6,0,1,1,0,0,4,0
1374537600,4,0,2,1,0,0,1,0
1375142400,3,0,0,0,0,0,3,0
1375747200,4,0,1,0,0,0,3,0
1376352000,5,0,0,1,0,0,4,0
1376956800,2,0,0,0,0,0,2,0
1377561600,3,0,0,0,0,0,3,0
1378166400,5,0,1,1,0,1,2,0
1378771200,1,0,1,0,0,0,0,0
1379376000,9,0,2,1,0,1,5,0
1379980800,12,0,0,1,0,6,5,0
1380585600,3,0,3,0,0,0,0,0
1381190400,5,0,1,3,0,0,1,0
1381795200,3,0,2,0,0,0,1,0
1382400000,0,0,0,0,0,0,0,0
1383004800,2,0,1,0,0,0,1,0
1383609600,0,0,0,0,0,0,0,0
1384214400,1,0,1,0,0,0,0,0
1384819200,1,0,1,0,0,0,0,0
1385424000,1,0,1,0,0,0,0,0
1386028800,3,0,0,2,0,1,0,0
1386633600,1,0,1,0,0,0,0,0
1387238400,4,0,0,0,0,0,4,0
1387843200,15,0,2,1,0,9,3,0
1388448000,18,0,0,0,0,7,11,0
1389052800,4,0,0,1,0,0,3,0
1389657600,1,0,0,0,0,0,1,0
1390262400,0,0,0,0,0,0,0,0
1390867200,1,0,1,0,0,0,0,0
1391472000,2,0,1,0,0,0,1,0
1392076800,9,0,2,1,0,0,6,0
1392681600,6,0,3,2,0,0,1,0
1393286400,4,0,3,0,0,0,1,0
1393891200,11,0,0,1,0,8,2,0
1394496000,4,0,0,0,0,1,3,0
1395100800,2,0,0,0,0,0,2,0
1395705600,0,0,0,0,0,0,0,0
1396310400,2,0,1,0,0,0,1,0
1396915200,4,0,1,0,0,0,3,0
1397520000,2,0,0,0,0,0,2,0
1398124800,5,0,1,1,0,0,3,0
1398729600,5,0,2,1,0,0,2,0
1399334400,0,0,0,0,0,0,0,0
1399939200,6,0,2,0,0,3,1,0
1400544000,4,0,0,4,0,0,0,0
1401148800,8,0,2,1,0,3,2,0
1401753600,0,0,0,0,0,0,0,0
1402358400,2,0,1,0,0,0,1,0
1402963200,2,0,2,0,0,0,0,0
1403568000,4,0,3,0,0,0,1,0
1404172800,3,0,1,1,0,0,1,0
1404777600,3,0,2,0,0,0,1,0
1405382400,3,0,1,0,0,1,1,0
1405987200,0,0,0,0,0,0,0,0
1406592000,4,0,2,0,0,0,2,0
1407196800,1,0,1,0,0,0,0,0
1407801600,0,0,0,0,0,0,0,0
1408406400,3,0,0,0,0,1,2,0
1409011200,3,0,3,0,0,0,0,0
1409616000,7,0,0,0,1,1,5,0
1410220800,7,0,2,3,0,0,2,0
1410825600,3,0,2,1,0,0,0,0
1411430400,3,0,2,0,0,0,1,0
1412035200,5,0,1,0,0,0,4,0
1412640000,12,0,2,1,1,0,8,0
1413244800,4,0,0,0,0,0,4,0
1413849600,0,0,0,0,0,0,0,0
1414454400,3,0,3,0,0,0,0,0
1415059200,1,0,1,0,0,0,0,0
1415664000,3,0,0,1,0,0,2,0
1416268800,1,0,1,0,0,0,0,0
1416873600,16,0,0,8,0,3,5,0
1417478400,2,0,1,1,0,0,0,0
1418083200,8,0,1,2,0,4,1,0
1418688000,4,0,3,0,0,1,0,0
1419292800,21,0,0,1,1,12,7,0
1419897600,3,0,0,1,0,0,2,0
1420502400,5,0,0,2,0,0,3,0
1421107200,4,0,2,1,0,0,1,0
1421712000,1,0,1,0,0,0,0,0
1422316800,15,0,2,3,0,6,4,0
1422921600,3,0,2,1,0,0,0,0
1423526400,6,0,1,2,1,0,2,0
1424131200,3,0,2,0,0,0,1,0
1424736000,3,0,2,0,0,0,1,0
1425340800,2,0,2,0,0,0,0,0
1425945600,1,0,0,0,0,0,1,0
1426550400,1,0,0,0,0,0,1,0
1427155200,2,0,0,0,0,1,1,0
1427760000,6,0,0,0,0,4,2,0
1428364800,3,0,1,2,0,0,0,0
1428969600,9,0,3,4,0,0,2,0
