date,total,accept,badge,comment,post,review,revision,suggest
1218542400,0,0,0,0,0,0,0,0
1219147200,0,0,0,0,0,0,0,0
1219752000,0,0,0,0,0,0,0,0
1220356800,0,0,0,0,0,0,0,0
1220961600,0,0,0,0,0,0,0,0
1221566400,0,0,0,0,0,0,0,0
1222171200,7,1,5,0,1,0,0,0
1222776000,1,0,1,0,0,0,0,0
1223380800,0,0,0,0,0,0,0,0
1223985600,0,0,0,0,0,0,0,0
1224590400,5,0,1,2,1,0,1,0
1225195200,5,2,0,0,3,0,0,0
1225800000,6,0,3,2,1,0,0,0
1226404800,3,0,1,2,0,0,0,0
1227009600,43,2,5,8,17,0,11,0
1227614400,42,1,3,14,7,0,17,0
1228219200,30,1,0,8,1,0,20,0
1228824000,60,2,1,23,12,0,22,0
1229428800,143,2,1,46,26,0,68,0
1230033600,99,0,2,35,17,0,45,0
1230638400,66,0,3,26,9,0,28,0
1231243200,40,0,3,17,1,0,19,0
1231848000,48,1,1,22,9,0,15,0
1232452800,47,1,2,16,3,0,25,0
1233057600,88,1,2,34,4,0,47,0
1233662400,37,1,1,24,2,0,9,0
1234267200,60,0,1,32,5,0,22,0
1234872000,41,1,0,19,2,0,19,0
1235476800,78,0,2,15,4,0,57,0
1236081600,116,2,1,43,5,0,65,0
1236686400,121,3,0,42,4,0,72,0
1237291200,68,0,2,28,7,0,31,0
1237896000,66,2,2,29,8,0,25,0
1238500800,71,1,1,23,2,0,44,0
1239105600,33,0,2,5,5,0,21,0
1239710400,35,0,0,3,4,0,28,0
1240315200,21,1,2,7,2,0,9,0
1240920000,35,0,2,8,3,0,22,0
1241524800,26,1,1,4,3,0,17,0
1242129600,16,0,1,1,1,0,13,0
1242734400,12,0,0,4,0,0,8,0
1243339200,7,0,2,2,1,0,2,0
1243944000,23,0,2,4,10,0,7,0
1244548800,27,0,0,4,5,0,18,0
1245153600,113,0,2,21,30,0,60,0
1245758400,57,0,0,8,6,0,43,0
1246363200,4,0,1,0,1,0,2,0
1246968000,3,0,0,2,0,0,1,0
1247572800,9,1,1,2,1,0,4,0
1248177600,32,0,1,9,4,0,18,0
1248782400,50,0,6,15,6,0,23,0
1249387200,20,0,1,4,2,0,13,0
1249992000,13,0,1,2,1,0,9,0
1250596800,14,0,1,3,3,0,7,0
1251201600,15,0,0,5,4,0,6,0
