date,total,accept,badge,comment,post,review,revision,suggest
1218499200,0,0,0,0,0,0,0,0
1219104000,0,0,0,0,0,0,0,0
1219708800,0,0,0,0,0,0,0,0
1220313600,0,0,0,0,0,0,0,0
1220918400,0,0,0,0,0,0,0,0
1221523200,0,0,0,0,0,0,0,0
1222128000,0,0,0,0,0,0,0,0
1222732800,0,0,0,0,0,0,0,0
1223337600,0,0,0,0,0,0,0,0
1223942400,0,0,0,0,0,0,0,0
1224547200,0,0,0,0,0,0,0,0
1225152000,0,0,0,0,0,0,0,0
1225756800,0,0,0,0,0,0,0,0
1226361600,0,0,0,0,0,0,0,0
1226966400,0,0,0,0,0,0,0,0
1227571200,0,0,0,0,0,0,0,0
1228176000,0,0,0,0,0,0,0,0
1228780800,0,0,0,0,0,0,0,0
1229385600,0,0,0,0,0,0,0,0
1229990400,0,0,0,0,0,0,0,0
1230595200,0,0,0,0,0,0,0,0
1231200000,0,0,0,0,0,0,0,0
1231804800,0,0,0,0,0,0,0,0
1232409600,0,0,0,0,0,0,0,0
1233014400,0,0,0,0,0,0,0,0
1233619200,0,0,0,0,0,0,0,0
1234224000,0,0,0,0,0,0,0,0
1234828800,0,0,0,0,0,0,0,0
1235433600,0,0,0,0,0,0,0,0
1236038400,0,0,0,0,0,0,0,0
1236643200,0,0,0,0,0,0,0,0
1237248000,0,0,0,0,0,0,0,0
1237852800,0,0,0,0,0,0,0,0
1238457600,0,0,0,0,0,0,0,0
1239062400,0,0,0,0,0,0,0,0
1239667200,0,0,0,0,0,0,0,0
1240272000,0,0,0,0,0,0,0,0
1240876800,0,0,0,0,0,0,0,0
1241481600,0,0,0,0,0,0,0,0
1242086400,0,0,0,0,0,0,0,0
1242691200,0,0,0,0,0,0,0,0
1243296000,0,0,0,0,0,0,0,0
1243900800,0,0,0,0,0,0,0,0
1244505600,0,0,0,0,0,0,0,0
1245110400,0,0,0,0,0,0,0,0
1245715200,0,0,0,0,0,0,0,0
1246320000,0,0,0,0,0,0,0,0
1246924800,0,0,0,0,0,0,0,0
1247529600,0,0,0,0,0,0,0,0
1248134400,0,0,0,0,0,0,0,0
1248739200,0,0,0,0,0,0,0,0
1249344000,0,0,0,0,0,0,0,0
1249948800,0,0,0,0,0,0,0,0
1250553600,0,0,0,0,0,0,0,0
1251158400,0,0,0,0,0,0,0,0
1251763200,0,0,0,0,0,0,0,0
1252368000,0,0,0,0,0,0,0,0
1252972800,0,0,0,0,0,0,0,0
1253577600,0,0,0,0,0,0,0,0
1254182400,0,0,0,0,0,0,0,0
1254787200,0,0,0,0,0,0,0,0
1255392000,0,0,0,0,0,0,0,0
1255996800,0,0,0,0,0,0,0,0
1256601600,0,0,0,0,0,0,0,0
1257206400,0,0,0,0,0,0,0,0
1257811200,0,0,0,0,0,0,0,0
1258416000,57,1,7,10,12,0,27,0
1259020800,25,0,0,4,14,0,7,0
1259625600,28,0,1,7,9,0,11,0
1260230400,0,0,0,0,0,0,0,0
1260835200,0,0,0,0,0,0,0,0
1261440000,133,0,2,42,41,0,48,0
1262044800,136,0,1,49,36,0,50,0
1262649600,77,0,2,32,20,0,23,0
1263254400,209,0,0,71,44,0,94,0
1263859200,148,0,2,54,38,0,54,0
1264464000,93,0,0,41,22,0,30,0
1265068800,134,1,1,65,27,0,40,0
1265673600,197,1,1,78,43,0,74,0
1266278400,85,0,0,39,24,0,22,0
1266883200,88,0,0,36,29,0,23,0
1267488000,248,0,1,106,59,0,82,0
1268092800,224,0,4,78,67,0,75,0
1268697600,113,0,1,42,34,0,36,0
1269302400,173,0,2,72,38,0,61,0
1269907200,147,0,2,61,38,0,46,0
1270512000,145,1,0,66,28,0,50,0
1271116800,157,0,0,99,26,0,32,0
1271721600,149,0,1,64,31,0,53,0
1272326400,175,0,6,82,29,0,58,0
1272931200,86,0,0,39,25,0,22,0
1273536000,146,0,1,74,25,0,46,0
1274140800,33,0,0,13,10,0,10,0
1274745600,1,0,1,0,0,0,0,0
1275350400,0,0,0,0,0,0,0,0
1275955200,11,0,1,3,3,0,4,0
1276560000,53,0,2,27,12,0,12,0
1277164800,105,0,0,55,24,0,26,0
1277769600,164,0,0,87,33,0,44,0
1278374400,192,0,0,123,30,0,39,0
1278979200,182,0,8,105,43,0,26,0
1279584000,151,0,1,88,33,0,29,0
1280188800,160,0,1,70,43,0,46,0
1280793600,244,0,0,126,50,0,68,0
1281398400,223,0,0,129,50,0,44,0
1282003200,45,0,0,28,7,0,10,0
1282608000,173,0,0,101,40,0,32,0
1283212800,159,0,1,76,32,0,50,0
1283817600,99,0,0,60,23,0,16,0
1284422400,55,0,0,38,8,0,9,0
1285027200,167,0,3,89,28,0,47,0
1285632000,102,0,2,46,25,0,29,0
1286236800,93,0,3,49,21,0,20,0
1286841600,145,0,1,84,29,0,31,0
1287446400,127,0,0,74,26,0,27,0
1288051200,185,0,10,93,38,0,44,0
1288656000,271,0,4,142,40,0,85,0
1289260800,183,0,5,98,27,0,53,0
1289865600,160,0,3,86,33,0,38,0
1290470400,188,0,0,121,28,0,39,0
1291075200,182,0,1,114,24,0,43,0
1291680000,63,0,1,39,11,0,12,0
1292284800,215,1,0,112,35,0,67,0
1292889600,115,0,1,59,20,0,35,0
1293494400,16,0,0,11,3,0,2,0
1294099200,14,0,1,6,2,0,5,0
1294704000,206,0,0,123,26,0,57,0
1295308800,213,0,1,122,42,0,48,0
1295913600,305,0,1,181,30,0,93,0
1296518400,159,0,0,78,21,2,58,0
1297123200,143,0,0,96,16,9,22,0
1297728000,132,0,0,82,19,2,29,0
1298332800,41,0,1,26,4,0,10,0
1298937600,104,0,2,54,17,5,26,0
1299542400,99,0,3,66,9,2,19,0
1300147200,112,0,1,65,18,10,18,0
1300752000,170,1,4,92,20,8,45,0
1301356800,88,0,4,50,14,0,20,0
1301961600,173,0,4,120,15,2,32,0
1302566400,93,0,2,66,9,2,14,0
1303171200,158,0,1,107,16,0,34,0
1303776000,70,0,0,51,8,0,11,0
1304380800,139,0,3,91,12,3,30,0
1304985600,43,0,2,29,3,1,8,0
1305590400,145,0,2,92,21,3,27,0
1306195200,64,0,2,38,7,2,15,0
1306800000,50,0,4,34,6,0,6,0
1307404800,73,0,2,43,11,0,17,0
1308009600,40,0,1,30,2,4,3,0
1308614400,98,0,1,63,14,0,20,0
1309219200,97,0,2,63,12,0,20,0
1309824000,60,0,0,42,7,0,11,0
1310428800,70,0,4,48,9,0,9,0
1311033600,165,0,0,100,26,1,38,0
1311638400,112,0,2,81,8,1,20,0
1312243200,120,0,2,79,13,1,25,0
1312848000,88,0,2,61,7,2,16,0
1313452800,113,0,1,80,17,1,14,0
1314057600,29,0,0,20,3,1,5,0
1314662400,56,0,0,33,8,3,12,0
1315267200,49,0,1,31,6,0,11,0
1315872000,68,0,2,51,8,0,7,0
1316476800,82,0,5,49,8,0,20,0
1317081600,101,0,3,66,15,0,17,0
1317686400,69,0,4,42,5,1,17,0
1318291200,37,0,0,33,2,0,2,0
1318896000,77,0,2,53,6,1,15,0
1319500800,93,0,0,68,12,1,12,0
1320105600,72,0,6,44,7,6,9,0
1320710400,24,0,2,19,2,0,1,0
1321315200,76,0,2,50,6,3,15,0
1321920000,134,0,3,91,9,7,24,0
1322524800,80,0,0,56,11,1,12,0
1323129600,52,0,3,28,6,0,15,0
1323734400,69,0,3,46,6,1,13,0
1324339200,29,0,3,12,1,0,13,0
1324944000,33,0,4,22,1,1,5,0
1325548800,50,0,2,35,6,0,7,0
1326153600,113,0,3,68,16,0,26,0
1326758400,62,0,2,36,2,0,22,0
1327363200,69,0,3,46,6,0,14,0
1327968000,78,0,4,52,5,0,17,0
1328572800,102,0,2,67,9,2,22,0
1329177600,148,0,6,86,14,0,42,0
1329782400,196,0,3,115,16,2,60,0
1330387200,79,0,0,56,8,0,15,0
1330992000,77,0,3,41,8,1,24,0
1331596800,72,0,2,52,8,0,10,0
1332201600,97,0,0,52,10,2,33,0
1332806400,56,0,2,32,7,0,15,0
1333411200,23,0,1,17,2,0,3,0
1334016000,6,0,3,0,0,0,3,0
1334620800,18,0,2,11,2,0,3,0
1335225600,4,0,1,2,0,0,1,0
1335830400,18,0,3,5,5,0,5,0
1336435200,37,0,0,20,6,0,11,0
1337040000,25,0,5,15,2,0,3,0
1337644800,78,0,2,39,10,0,27,0
1338249600,62,0,2,34,8,0,18,0
1338854400,4,0,1,0,1,0,2,0
1339459200,10,0,7,3,0,0,0,0
1340064000,83,0,1,58,7,0,17,0
1340668800,124,0,6,63,10,3,42,0
1341273600,63,0,3,34,10,0,16,0
1341878400,19,0,1,9,2,1,6,0
1342483200,14,0,3,6,2,0,3,0
1343088000,12,0,1,8,0,0,3,0
1343692800,13,0,7,4,0,0,2,0
1344297600,2,0,1,0,0,0,1,0
1344902400,26,0,6,13,1,0,6,0
1345507200,2,0,2,0,0,0,0,0
1346112000,34,0,5,10,4,0,15,0
1346716800,95,0,6,50,13,4,22,0
1347321600,91,0,1,54,6,1,29,0
1347926400,25,0,3,17,1,0,4,0
1348531200,58,0,4,15,4,21,14,0
1349136000,73,0,5,35,5,19,9,0
1349740800,150,0,4,88,12,0,46,0
1350345600,57,0,1,36,7,0,13,0
1350950400,35,0,4,18,3,1,9,0
1351555200,130,0,5,78,10,1,36,0
1352160000,38,0,3,31,1,0,3,0
1352764800,58,0,5,26,5,4,18,0
1353369600,17,0,2,6,2,0,7,0
1353974400,13,0,1,3,0,0,9,0
1354579200,33,0,2,12,4,0,15,0
1355184000,3,0,3,0,0,0,0,0
1355788800,5,0,3,1,0,0,1,0
1356393600,13,0,2,7,1,0,3,0
1356998400,6,0,6,0,0,0,0,0
1357603200,123,0,5,69,18,1,30,0
1358208000,22,0,6,13,1,0,2,0
1358812800,63,0,3,44,3,0,13,0
1359417600,17,0,1,13,0,0,3,0
1360022400,31,0,1,17,3,0,10,0
1360627200,17,0,3,7,0,0,7,0
1361232000,60,0,5,32,3,0,20,0
1361836800,23,0,1,14,3,0,5,0
1362441600,60,0,5,38,3,0,14,0
1363046400,68,0,5,44,2,0,17,0
1363651200,43,0,6,8,2,5,22,0
1364256000,30,0,7,15,1,1,6,0
1364860800,26,0,5,8,1,0,12,0
1365465600,30,0,0,8,2,0,20,0
1366070400,13,0,3,2,0,0,8,0
1366675200,25,0,2,6,1,1,15,0
1367280000,26,0,2,11,1,0,12,0
1367884800,71,0,3,31,4,1,32,0
1368489600,36,0,8,11,1,0,16,0
1369094400,36,0,5,8,1,0,22,0
1369699200,25,0,2,11,2,1,9,0
1370304000,26,0,10,2,0,0,14,0
1370908800,33,0,6,14,2,0,11,0
1371513600,25,0,2,16,1,0,6,0
1372118400,44,0,4,6,3,1,30,0
1372723200,41,0,6,9,1,0,25,0
1373328000,54,1,5,19,2,1,26,0
1373932800,32,0,7,8,1,1,15,0
1374537600,59,0,5,29,3,1,21,0
1375142400,93,0,4,48,3,0,38,0
1375747200,103,0,9,56,6,1,31,0
1376352000,76,0,5,37,4,1,29,0
1376956800,59,0,9,28,2,0,20,0
1377561600,19,0,3,10,0,0,6,0
1378166400,33,0,5,13,1,1,13,0
1378771200,14,0,4,5,0,0,5,0
1379376000,24,0,4,9,0,0,11,0
1379980800,3,0,0,1,0,0,2,0
1380585600,8,0,1,3,1,0,3,0
1381190400,4,0,2,0,0,0,2,0
1381795200,7,0,0,3,1,0,3,0
1382400000,3,0,2,0,0,0,1,0
1383004800,8,0,4,4,0,0,0,0
1383609600,44,0,0,12,1,0,31,0
1384214400,39,0,3,14,4,0,18,0
1384819200,4,0,4,0,0,0,0,0
1385424000,7,0,4,2,0,0,1,0
1386028800,8,0,4,1,1,0,2,0
1386633600,10,0,7,2,0,0,1,0
1387238400,4,0,3,1,0,0,0,0
1387843200,8,0,1,5,0,0,2,0
1388448000,5,0,5,0,0,0,0,0
1389052800,17,0,4,3,2,0,8,0
1389657600,10,0,7,0,1,0,2,0
1390262400,2,0,1,1,0,0,0,0
1390867200,3,0,2,1,0,0,0,0
1391472000,8,0,5,2,0,0,1,0
1392076800,20,0,5,7,1,1,6,0
1392681600,35,0,3,16,4,0,12,0
1393286400,16,0,4,5,2,0,5,0
1393891200,21,0,3,10,0,0,8,0
1394496000,21,0,1,10,2,4,4,0
1395100800,53,0,6,9,2,17,19,0
1395705600,28,0,4,11,3,1,9,0
1396310400,14,0,5,5,1,1,2,0
1396915200,8,0,4,2,0,0,2,0
1397520000,2,0,2,0,0,0,0,0
1398124800,1,0,1,0,0,0,0,0
1398729600,2,0,1,1,0,0,0,0
1399334400,3,0,3,0,0,0,0,0
1399939200,3,0,2,1,0,0,0,0
1400544000,7,0,2,0,0,0,5,0
1401148800,0,0,0,0,0,0,0,0
1401753600,7,0,2,3,0,0,2,0
1402358400,36,0,4,6,3,0,23,0
1402963200,4,0,2,1,0,0,1,0
1403568000,10,0,1,2,2,0,5,0
1404172800,3,0,3,0,0,0,0,0
1404777600,3,0,1,1,0,0,1,0
1405382400,1,0,0,1,0,0,0,0
1405987200,14,0,3,4,2,0,5,0
1406592000,12,0,5,2,0,0,5,0
1407196800,23,0,6,1,1,0,15,0
1407801600,20,0,4,4,3,0,9,0
1408406400,4,0,2,0,0,0,2,0
1409011200,4,0,2,1,0,0,1,0
1409616000,8,0,3,2,0,0,3,0
1410220800,9,0,1,6,0,0,2,0
1410825600,3,0,0,1,0,0,2,0
1411430400,1,0,1,0,0,0,0,0
1412035200,12,0,5,6,0,0,1,0
1412640000,13,0,4,5,1,1,2,0
1413244800,2,0,2,0,0,0,0,0
1413849600,19,0,1,10,1,0,7,0
1414454400,3,0,3,0,0,0,0,0
1415059200,4,0,3,0,0,0,1,0
1415664000,1,0,1,0,0,0,0,0
1416268800,3,0,1,1,0,0,1,0
1416873600,1,0,1,0,0,0,0,0
1417478400,14,0,1,7,1,0,5,0
1418083200,3,0,3,0,0,0,0,0
1418688000,5,0,4,1,0,0,0,0
1419292800,0,0,0,0,0,0,0,0
1419897600,24,0,3,7,3,1,10,0
1420502400,0,0,0,0,0,0,0,0
1421107200,6,0,5,1,0,0,0,0
1421712000,0,0,0,0,0,0,0,0
1422316800,3,0,2,1,0,0,0,0
1422921600,2,0,2,0,0,0,0,0
1423526400,0,0,0,0,0,0,0,0
1424131200,3,0,3,0,0,0,0,0
1424736000,4,0,2,2,0,0,0,0
1425340800,7,0,2,2,1,0,2,0
1425945600,4,0,2,2,0,0,0,0
1426550400,3,0,0,2,0,0,1,0
1427155200,3,0,2,0,0,0,1,0
1427760000,3,0,0,3,0,0,0,0
1428364800,39,0,4,16,3,2,14,0
1428969600,7,0,3,3,0,0,1,0
