date,total,accept,badge,comment,post,review,revision,suggest
1218499200,0,0,0,0,0,0,0,0
1219104000,0,0,0,0,0,0,0,0
1219708800,0,0,0,0,0,0,0,0
1220313600,0,0,0,0,0,0,0,0
1220918400,0,0,0,0,0,0,0,0
1221523200,0,0,0,0,0,0,0,0
1222128000,0,0,0,0,0,0,0,0
1222732800,0,0,0,0,0,0,0,0
1223337600,0,0,0,0,0,0,0,0
1223942400,0,0,0,0,0,0,0,0
1224547200,0,0,0,0,0,0,0,0
1225152000,0,0,0,0,0,0,0,0
1225756800,0,0,0,0,0,0,0,0
1226361600,0,0,0,0,0,0,0,0
1226966400,0,0,0,0,0,0,0,0
1227571200,0,0,0,0,0,0,0,0
1228176000,0,0,0,0,0,0,0,0
1228780800,0,0,0,0,0,0,0,0
1229385600,0,0,0,0,0,0,0,0
1229990400,0,0,0,0,0,0,0,0
1230595200,0,0,0,0,0,0,0,0
1231200000,42,0,5,5,31,0,1,0
1231804800,123,0,6,22,80,0,15,0
1232409600,32,0,1,6,25,0,0,0
1233014400,75,0,5,7,46,0,17,0
1233619200,49,0,2,9,28,0,10,0
1234224000,67,0,2,20,35,0,10,0
1234828800,96,0,2,22,44,0,28,0
1235433600,113,0,1,30,56,0,26,0
1236038400,43,0,3,6,24,0,10,0
1236643200,35,0,0,8,22,0,5,0
1237248000,17,0,0,3,9,0,5,0
1237852800,31,0,2,10,12,0,7,0
1238457600,87,0,0,22,48,0,17,0
1239062400,97,0,3,49,30,0,15,0
1239667200,62,0,1,18,31,0,12,0
1240272000,5,0,1,1,3,0,0,0
1240876800,3,0,0,1,2,0,0,0
1241481600,0,0,0,0,0,0,0,0
1242086400,0,0,0,0,0,0,0,0
1242691200,0,0,0,0,0,0,0,0
1243296000,0,0,0,0,0,0,0,0
1243900800,0,0,0,0,0,0,0,0
1244505600,0,0,0,0,0,0,0,0
1245110400,0,0,0,0,0,0,0,0
1245715200,0,0,0,0,0,0,0,0
1246320000,14,0,0,4,8,0,2,0
1246924800,0,0,0,0,0,0,0,0
1247529600,48,0,0,8,31,0,9,0
1248134400,1,0,0,0,1,0,0,0
1248739200,0,0,0,0,0,0,0,0
1249344000,0,0,0,0,0,0,0,0
1249948800,2,0,0,0,2,0,0,0
1250553600,0,0,0,0,0,0,0,0
1251158400,16,0,1,4,7,0,4,0
1251763200,1,0,1,0,0,0,0,0
1252368000,1,0,1,0,0,0,0,0
1252972800,0,0,0,0,0,0,0,0
1253577600,0,0,0,0,0,0,0,0
1254182400,0,0,0,0,0,0,0,0
1254787200,0,0,0,0,0,0,0,0
1255392000,1,0,1,0,0,0,0,0
1255996800,1,0,0,0,1,0,0,0
1256601600,1,0,1,0,0,0,0,0
1257206400,0,0,0,0,0,0,0,0
1257811200,0,0,0,0,0,0,0,0
1258416000,0,0,0,0,0,0,0,0
1259020800,0,0,0,0,0,0,0,0
1259625600,0,0,0,0,0,0,0,0
1260230400,1,0,1,0,0,0,0,0
1260835200,0,0,0,0,0,0,0,0
1261440000,0,0,0,0,0,0,0,0
1262044800,44,0,0,4,28,0,12,0
1262649600,50,0,1,10,24,0,15,0
1263254400,0,0,0,0,0,0,0,0
1263859200,0,0,0,0,0,0,0,0
1264464000,0,0,0,0,0,0,0,0
1265068800,1,0,0,0,0,0,1,0
1265673600,5,0,1,2,1,0,1,0
1266278400,38,0,0,7,20,0,11,0
1266883200,191,0,3,45,61,0,82,0
1267488000,164,0,1,48,48,0,67,0
1268092800,88,0,0,17,25,0,46,0
1268697600,0,0,0,0,0,0,0,0
1269302400,0,0,0,0,0,0,0,0
1269907200,4,0,0,0,2,0,2,0
1270512000,24,0,0,7,10,0,7,0
1271116800,14,0,0,0,8,0,6,0
1271721600,14,0,0,2,3,0,9,0
1272326400,3,0,0,0,1,0,2,0
1272931200,8,0,2,0,4,0,2,0
1273536000,11,0,0,3,3,0,5,0
1274140800,25,0,2,7,9,0,7,0
1274745600,7,0,0,0,4,0,3,0
1275350400,9,0,1,1,4,0,3,0
1275955200,19,0,4,4,4,0,7,0
1276560000,11,0,1,4,4,0,2,0
1277164800,0,0,0,0,0,0,0,0
1277769600,14,0,0,1,7,0,6,0
1278374400,0,0,0,0,0,0,0,0
1278979200,1,0,1,0,0,0,0,0
1279584000,17,0,0,4,6,0,7,0
1280188800,7,0,0,0,3,0,4,0
1280793600,16,0,0,2,6,0,8,0
1281398400,27,0,0,3,11,0,13,0
1282003200,26,0,0,5,5,0,16,0
1282608000,18,0,1,2,5,0,10,0
1283212800,7,0,1,0,1,0,5,0
1283817600,3,0,1,2,0,0,0,0
1284422400,3,0,1,1,0,0,1,0
1285027200,0,0,0,0,0,0,0,0
1285632000,5,1,0,2,1,0,1,0
1286236800,10,0,2,3,3,0,2,0
1286841600,0,0,0,0,0,0,0,0
1287446400,3,0,1,0,1,0,1,0
1288051200,24,0,0,4,6,0,14,0
1288656000,8,0,0,1,1,0,6,0
1289260800,7,0,2,0,0,0,5,0
1289865600,21,0,2,5,4,0,10,0
1290470400,4,0,1,0,0,0,3,0
1291075200,19,0,0,4,4,0,11,0
1291680000,53,0,2,9,7,0,35,0
1292284800,34,0,1,10,7,0,16,0
1292889600,14,0,0,1,2,0,11,0
1293494400,3,0,0,0,0,0,3,0
1294099200,6,0,1,1,0,0,4,0
1294704000,57,0,0,13,9,0,35,0
1295308800,23,0,0,4,3,0,16,0
1295913600,78,0,1,14,10,0,53,0
1296518400,46,0,2,3,5,0,36,0
1297123200,38,0,0,6,3,5,24,0
1297728000,67,1,4,6,7,15,34,0
1298332800,9,0,0,0,1,6,2,0
1298937600,33,0,0,2,4,2,25,0
1299542400,50,1,0,6,2,8,33,0
1300147200,12,0,0,0,0,1,11,0
1300752000,24,0,0,0,1,6,17,0
1301356800,77,0,0,7,4,20,46,0
1301961600,88,0,0,19,7,26,36,0
1302566400,12,0,3,0,1,0,8,0
1303171200,29,0,1,4,6,0,18,0
1303776000,26,0,0,6,2,0,18,0
1304380800,115,0,0,23,12,12,68,0
1304985600,157,0,0,26,17,24,90,0
1305590400,60,0,0,14,5,0,41,0
1306195200,49,0,1,4,0,0,44,0
1306800000,80,0,1,6,5,4,64,0
1307404800,90,0,1,17,8,13,51,0
1308009600,19,0,0,2,2,2,13,0
1308614400,13,0,1,0,1,0,11,0
1309219200,5,0,0,0,1,0,4,0
1309824000,3,0,0,1,0,0,2,0
1310428800,15,0,2,2,2,1,8,0
1311033600,18,0,0,1,0,0,17,0
1311638400,15,0,1,1,2,0,11,0
1312243200,2,0,0,1,0,0,1,0
1312848000,23,0,1,0,4,1,17,0
1313452800,53,0,2,8,6,0,37,0
1314057600,57,0,0,8,7,1,41,0
1314662400,55,0,0,18,5,0,32,0
1315267200,69,0,0,10,12,1,46,0
1315872000,30,0,0,6,2,0,22,0
1316476800,43,0,0,8,5,0,30,0
1317081600,41,0,2,6,9,0,24,0
1317686400,68,0,0,15,15,0,38,0
1318291200,27,0,0,4,2,0,21,0
1318896000,19,0,0,2,2,0,15,0
1319500800,13,0,3,1,1,0,8,0
1320105600,76,0,0,16,7,0,53,0
1320710400,48,0,3,12,6,0,27,0
1321315200,83,0,2,25,9,1,46,0
1321920000,643,1,3,12,5,1,621,0
1322524800,77,0,1,26,6,0,44,0
1323129600,54,0,2,20,2,0,30,0
1323734400,55,0,0,14,0,4,37,0
1324339200,73,0,1,17,0,1,54,0
1324944000,57,0,1,19,0,0,37,0
1325548800,34,0,1,15,1,0,17,0
1326153600,45,0,0,9,0,0,36,0
1326758400,76,0,0,19,0,0,57,0
1327363200,66,0,0,17,1,0,48,0
1327968000,79,0,2,29,2,0,46,0
1328572800,41,0,3,14,3,0,21,0
1329177600,45,0,1,17,1,0,26,0
1329782400,61,0,0,7,1,0,53,0
1330387200,28,0,3,9,0,0,16,0
1330992000,58,0,5,23,5,1,24,0
1331596800,40,0,1,12,10,0,17,0
1332201600,102,0,0,15,6,1,80,0
1332806400,45,0,0,15,6,1,23,0
1333411200,21,0,1,5,4,0,11,0
1334016000,262,0,3,9,2,1,247,0
1334620800,23,0,0,3,2,2,16,0
1335225600,114,0,0,5,2,0,107,0
1335830400,287,0,1,5,2,5,274,0
1336435200,202,0,0,7,1,2,192,0
1337040000,55,0,0,9,1,0,45,0
1337644800,98,0,0,14,2,3,79,0
1338249600,57,0,1,8,3,8,37,0
1338854400,19,1,0,3,1,0,14,0
1339459200,49,0,5,17,3,3,21,0
1340064000,37,0,1,12,0,4,20,0
1340668800,65,0,1,24,3,3,34,0
1341273600,51,0,0,15,2,5,29,0
1341878400,13,0,0,3,5,0,5,0
1342483200,109,0,3,20,9,1,76,0
1343088000,67,0,0,16,7,3,41,0
1343692800,425,0,0,31,9,4,381,0
1344297600,61,0,0,20,5,1,35,0
1344902400,71,0,3,18,5,0,45,0
1345507200,80,0,2,18,5,0,55,0
1346112000,57,0,0,15,6,0,36,0
1346716800,325,0,2,12,6,2,303,0
1347321600,76,0,0,10,7,0,59,0
1347926400,130,0,1,22,6,1,100,0
1348531200,81,0,2,7,5,4,63,0
1349136000,37,0,1,13,10,2,11,0
1349740800,64,0,4,16,8,2,34,0
1350345600,111,0,4,41,12,0,54,0
1350950400,78,0,1,15,6,2,54,0
1351555200,123,0,1,33,15,19,55,0
1352160000,54,1,5,22,5,0,21,0
1352764800,63,0,2,18,9,0,34,0
1353369600,94,0,1,39,9,0,45,0
1353974400,49,0,2,19,4,0,24,0
1354579200,103,0,0,47,10,1,45,0
1355184000,108,0,0,20,5,3,80,0
1355788800,40,0,0,20,4,0,16,0
1356393600,22,1,0,10,2,0,9,0
1356998400,25,0,0,15,2,3,5,0
1357603200,62,0,3,18,5,0,36,0
1358208000,128,0,1,14,3,0,110,0
1358812800,38,0,1,9,2,1,25,0
1359417600,101,0,2,6,3,0,90,0
1360022400,12,0,3,4,0,0,5,0
1360627200,74,0,1,4,0,1,68,0
1361232000,85,0,2,0,0,0,83,0
1361836800,21,0,1,8,2,0,10,0
1362441600,38,0,0,9,0,0,29,0
1363046400,41,0,5,8,3,0,25,0
1363651200,34,0,1,8,1,0,24,0
1364256000,38,0,0,6,1,0,31,0
1364860800,9,0,0,2,1,0,6,0
1365465600,11,0,2,2,0,0,7,0
1366070400,17,0,2,4,0,0,11,0
1366675200,9,0,0,1,0,0,8,0
1367280000,16,0,2,11,0,0,3,0
1367884800,16,1,1,6,0,0,8,0
1368489600,4,0,1,1,0,0,2,0
1369094400,2,0,1,0,0,0,1,0
1369699200,3,0,2,0,0,0,1,0
1370304000,4,0,0,1,0,0,3,0
1370908800,3,0,2,0,0,0,1,0
1371513600,5,0,3,1,0,0,1,0
1372118400,7,0,1,0,0,0,6,0
1372723200,14,0,0,9,1,0,4,0
1373328000,1,0,0,1,0,0,0,0
1373932800,1,0,1,0,0,0,0,0
1374537600,4,0,1,3,0,0,0,0
1375142400,0,0,0,0,0,0,0,0
1375747200,1,0,0,1,0,0,0,0
1376352000,3,0,1,0,1,0,1,0
1376956800,0,0,0,0,0,0,0,0
1377561600,0,0,0,0,0,0,0,0
1378166400,0,0,0,0,0,0,0,0
1378771200,1,0,1,0,0,0,0,0
1379376000,4,0,3,0,0,0,1,0
1379980800,3,0,1,1,0,0,1,0
1380585600,4,0,2,2,0,0,0,0
1381190400,15,0,2,4,2,0,7,0
1381795200,4,0,3,0,0,0,1,0
1382400000,3,0,1,0,0,0,2,0
1383004800,1,0,1,0,0,0,0,0
1383609600,1,0,0,0,0,0,1,0
1384214400,2,0,2,0,0,0,0,0
1384819200,1,0,1,0,0,0,0,0
1385424000,4,0,3,0,0,0,1,0
1386028800,1,0,1,0,0,0,0,0
1386633600,4,0,3,1,0,0,0,0
1387238400,1,0,0,1,0,0,0,0
1387843200,2,0,0,0,0,0,2,0
1388448000,1,0,0,0,0,0,1,0
1389052800,2,0,2,0,0,0,0,0
1389657600,1,0,0,1,0,0,0,0
1390262400,7,0,3,1,0,0,3,0
1390867200,1,0,0,0,0,0,1,0
1391472000,2,0,2,0,0,0,0,0
1392076800,4,0,4,0,0,0,0,0
1392681600,2,0,1,0,0,0,1,0
1393286400,4,0,0,0,0,0,4,0
1393891200,4,0,3,1,0,0,0,0
1394496000,0,0,0,0,0,0,0,0
1395100800,1,0,0,0,0,0,1,0
1395705600,4,0,0,0,0,0,4,0
1396310400,1,0,1,0,0,0,0,0
1396915200,1,0,0,1,0,0,0,0
1397520000,5,0,0,1,1,0,3,0
1398124800,5,0,1,2,1,0,1,0
1398729600,4,1,1,0,1,0,1,0
1399334400,11,1,0,8,0,0,2,0
1399939200,1,0,0,0,0,0,1,0
1400544000,3,0,0,1,0,0,2,0
1401148800,4,0,2,0,0,0,2,0
1401753600,3,0,1,0,0,0,2,0
1402358400,2,0,1,1,0,0,0,0
1402963200,2,0,2,0,0,0,0,0
1403568000,2,0,0,1,0,0,1,0
1404172800,3,0,0,1,0,0,2,0
1404777600,1,0,1,0,0,0,0,0
1405382400,0,0,0,0,0,0,0,0
1405987200,4,0,2,1,0,0,1,0
1406592000,5,0,0,2,0,0,3,0
1407196800,3,0,0,0,0,0,3,0
1407801600,4,0,1,2,0,0,1,0
1408406400,3,0,0,1,1,0,1,0
1409011200,8,0,1,2,1,0,4,0
1409616000,3,0,0,2,0,0,1,0
1410220800,1,0,0,1,0,0,0,0
1410825600,3,0,1,2,0,0,0,0
1411430400,2,0,1,0,0,0,1,0
1412035200,2,0,0,1,1,0,0,0
1412640000,4,0,2,0,0,0,2,0
1413244800,0,0,0,0,0,0,0,0
1413849600,3,0,2,0,0,0,1,0
1414454400,1,0,0,0,0,0,1,0
1415059200,2,0,1,0,0,0,1,0
1415664000,2,0,1,0,0,0,1,0
1416268800,0,0,0,0,0,0,0,0
1416873600,1,0,1,0,0,0,0,0
1417478400,2,0,1,0,0,0,1,0
1418083200,1,0,1,0,0,0,0,0
1418688000,0,0,0,0,0,0,0,0
1419292800,1,0,0,0,0,0,1,0
1419897600,2,0,2,0,0,0,0,0
1420502400,2,0,1,0,0,0,1,0
1421107200,0,0,0,0,0,0,0,0
1421712000,1,0,1,0,0,0,0,0
1422316800,2,0,0,0,0,0,2,0
1422921600,4,0,3,0,0,0,1,0
1423526400,2,0,1,0,0,0,1,0
1424131200,0,0,0,0,0,0,0,0
1424736000,2,0,1,0,0,0,1,0
1425340800,0,0,0,0,0,0,0,0
1425945600,2,0,0,1,0,0,1,0
1426550400,0,0,0,0,0,0,0,0
1427155200,4,0,2,1,0,0,1,0
1427760000,2,0,2,0,0,0,0,0
1428364800,2,0,0,2,0,0,0,0
1428969600,0,0,0,0,0,0,0,0
