date,total,accept,badge,comment,post,review,revision,suggest
1218542400,7,2,0,1,3,0,1,0
1219147200,18,4,0,0,11,0,3,0
1219752000,32,6,0,0,24,0,2,0
1220356800,41,12,0,3,23,0,3,0
1220961600,47,9,0,5,25,0,8,0
1221566400,49,7,8,9,20,0,5,0
1222171200,24,3,4,7,8,0,2,0
1222776000,50,4,5,24,14,0,3,0
1223380800,67,2,3,32,14,0,16,0
1223985600,96,8,3,48,22,0,15,0
1224590400,28,2,2,9,11,0,4,0
1225195200,52,4,2,25,16,0,5,0
1225800000,91,5,3,51,24,0,8,0
1226404800,35,2,0,24,6,0,3,0
1227009600,47,6,2,24,9,0,6,0
1227614400,38,2,2,28,5,0,1,0
1228219200,1,0,1,0,0,0,0,0
1228824000,7,0,2,3,2,0,0,0
1229428800,0,0,0,0,0,0,0,0
1230033600,1,0,1,0,0,0,0,0
1230638400,4,1,2,0,1,0,0,0
1231243200,3,0,1,2,0,0,0,0
1231848000,5,1,2,1,0,0,1,0
1232452800,1,0,1,0,0,0,0,0
1233057600,10,0,2,4,2,0,2,0
1233662400,9,1,0,5,2,0,1,0
1234267200,1,0,1,0,0,0,0,0
1234872000,4,0,3,0,1,0,0,0
1235476800,3,0,1,2,0,0,0,0
1236081600,1,1,0,0,0,0,0,0
1236686400,0,0,0,0,0,0,0,0
1237291200,2,0,1,1,0,0,0,0
1237896000,1,0,1,0,0,0,0,0
1238500800,10,1,0,4,5,0,0,0
1239105600,7,1,1,4,1,0,0,0
1239710400,3,0,1,1,1,0,0,0
1240315200,7,0,3,3,0,0,1,0
1240920000,6,0,0,4,0,0,2,0
1241524800,5,0,1,3,1,0,0,0
1242129600,7,0,1,2,4,0,0,0
1242734400,5,0,1,1,1,0,2,0
1243339200,9,0,1,5,3,0,0,0
1243944000,12,0,3,5,3,0,1,0
1244548800,5,0,3,2,0,0,0,0
1245153600,4,0,0,3,1,0,0,0
1245758400,9,0,1,4,3,0,1,0
1246363200,22,0,2,13,4,0,3,0
1246968000,91,0,3,43,12,0,33,0
1247572800,44,0,0,23,9,0,12,0
1248177600,63,1,1,39,12,0,10,0
1248782400,87,0,3,53,20,0,11,0
1249387200,26,0,1,14,7,0,4,0
1249992000,41,0,1,22,10,0,8,0
1250596800,53,0,1,26,10,0,16,0
1251201600,31,0,1,16,10,0,4,0
1251806400,24,0,0,13,10,0,1,0
1252411200,40,2,3,25,8,0,2,0
1253016000,33,2,1,15,8,0,7,0
1253620800,78,0,5,38,22,0,13,0
1254225600,51,0,2,32,10,0,7,0
1254830400,42,2,2,23,7,0,8,0
1255435200,49,0,2,30,10,0,7,0
1256040000,83,1,5,45,14,0,18,0
1256644800,56,2,3,18,19,0,14,0
1257249600,70,0,4,37,11,0,18,0
1257854400,59,2,4,25,9,0,19,0
1258459200,29,1,5,12,3,0,8,0
1259064000,29,1,2,10,7,0,9,0
1259668800,6,1,2,2,0,0,1,0
1260273600,13,0,1,9,2,0,1,0
1260878400,4,0,2,1,1,0,0,0
1261483200,7,0,3,1,3,0,0,0
1262088000,4,0,3,0,1,0,0,0
1262692800,10,2,1,5,2,0,0,0
1263297600,8,0,0,3,3,0,2,0
1263902400,6,0,4,0,0,0,2,0
1264507200,8,0,0,4,3,0,1,0
1265112000,3,0,2,0,1,0,0,0
1265716800,0,0,0,0,0,0,0,0
1266321600,1,0,1,0,0,0,0,0
1266926400,3,0,2,0,1,0,0,0
1267531200,1,0,1,0,0,0,0,0
1268136000,5,0,5,0,0,0,0,0
1268740800,1,0,0,0,1,0,0,0
1269345600,2,0,1,1,0,0,0,0
1269950400,2,0,2,0,0,0,0,0
1270555200,1,0,1,0,0,0,0,0
1271160000,2,0,2,0,0,0,0,0
1271764800,2,0,2,0,0,0,0,0
1272369600,2,0,2,0,0,0,0,0
1272974400,0,0,0,0,0,0,0,0
1273579200,3,0,2,1,0,0,0,0
1274184000,2,0,2,0,0,0,0,0
1274788800,3,0,3,0,0,0,0,0
1275393600,4,0,4,0,0,0,0,0
1275998400,1,0,1,0,0,0,0,0
1276603200,2,0,2,0,0,0,0,0
1277208000,1,0,1,0,0,0,0,0
1277812800,4,0,3,1,0,0,0,0
1278417600,2,0,0,2,0,0,0,0
1279022400,2,0,1,1,0,0,0,0
1279627200,17,0,0,11,4,0,2,0
1280232000,38,1,3,14,9,0,11,0
1280836800,37,0,1,6,6,0,24,0
1281441600,44,0,5,6,2,0,31,0
1282046400,44,0,0,23,13,0,8,0
1282651200,12,0,1,8,2,0,1,0
1283256000,35,0,2,15,7,0,11,0
1283860800,19,0,0,12,5,0,2,0
1284465600,7,0,0,4,2,0,1,0
1285070400,2,0,2,0,0,0,0,0
1285675200,1,0,1,0,0,0,0,0
1286280000,6,0,6,0,0,0,0,0
1286884800,1,0,1,0,0,0,0,0
1287489600,4,0,4,0,0,0,0,0
1288094400,3,0,1,2,0,0,0,0
1288699200,2,0,2,0,0,0,0,0
1289304000,3,0,3,0,0,0,0,0
1289908800,3,0,3,0,0,0,0,0
1290513600,4,0,4,0,0,0,0,0
1291118400,8,2,1,3,1,0,1,0
1291723200,6,0,0,4,1,0,1,0
1292328000,5,0,4,0,1,0,0,0
1292932800,2,0,1,0,1,0,0,0
